Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-10,1,1,23.226,TAM,BAL,False,1,5,20.00,4,0,0,39.6,1,1,0.80,0.80,0,0,,0,0,,0,0,0,0,,,,,,,False,False,0,27,Bruce Gradkowski
2006,2006-09-17,2,2,,TAM,ATL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,3,14,Bruce Gradkowski
2006,2006-09-24,3,3,23.240,TAM,CAR,False,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,0,0,,0,0,,0,0,0,0,,,,,,,False,False,24,26,Bruce Gradkowski
2006,2006-10-08,4,5,23.254,TAM,NOR,True,20,31,64.52,225,2,0,107.6,2,6,7.26,8.55,6,19,3.17,0,1,1,0,0,0,0,,,,,,,True,False,21,24,Bruce Gradkowski
2006,2006-10-15,5,6,23.261,TAM,CIN,True,25,44,56.82,184,2,1,72.5,2,10,4.18,4.07,4,19,4.75,0,0,,0,0,0,0,,,,,,,False,True,14,13,Bruce Gradkowski
2006,2006-10-22,6,7,23.268,TAM,PHI,True,13,26,50.00,104,0,0,60.4,2,19,4.00,4.00,3,11,3.67,0,1,0,0,1,0,0,,,,,,,False,True,23,21,Bruce Gradkowski
2006,2006-10-29,7,8,23.275,TAM,NYG,True,20,48,41.67,139,0,0,49.3,2,5,2.90,2.90,3,18,6.00,0,2,1,0,2,0,0,,,,,,,True,False,3,17,Bruce Gradkowski
2006,2006-11-05,8,9,23.282,TAM,NOR,True,18,31,58.06,185,2,0,96.8,4,27,5.97,7.26,2,12,6.00,0,3,1,0,0,0,0,,,,,,,False,False,14,31,Bruce Gradkowski
2006,2006-11-13,9,10,23.290,TAM,CAR,True,17,32,53.13,173,1,2,53.3,3,20,5.41,3.22,5,22,4.40,0,1,1,0,0,0,0,,,,,,,True,False,10,24,Bruce Gradkowski
2006,2006-11-19,10,11,23.296,TAM,WAS,True,14,21,66.67,178,2,1,104.9,0,0,8.48,8.24,6,9,1.50,0,1,1,0,0,-2,0,,,,,,,False,True,20,17,Bruce Gradkowski
2006,2006-11-23,11,12,23.300,TAM,DAL,True,10,20,50.00,120,0,2,29.2,1,10,6.00,1.50,4,17,4.25,0,0,,0,0,0,0,,,,,,,True,False,10,38,Bruce Gradkowski
2006,2006-12-03,12,13,23.310,TAM,PIT,True,20,34,58.82,175,0,3,35.8,5,31,5.15,1.18,6,26,4.33,0,0,,0,0,0,0,,,,,,,True,False,3,20,Bruce Gradkowski
2006,2006-12-10,13,14,23.317,TAM,ATL,True,13,24,54.17,121,0,0,68.2,1,12,5.04,5.04,2,8,4.00,0,1,1,0,0,0,0,,,,,,,False,False,6,17,Bruce Gradkowski
