Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2005,2005-09-12,1,1,23.314,ATL,PHI,False,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,14,10,Roddy White
2005,2005-09-18,2,2,23.320,ATL,SEA,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,18,21,Roddy White
2005,2005-09-25,3,3,23.327,ATL,BUF,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,24,16,Roddy White
2005,2005-10-02,4,4,23.334,ATL,MIN,False,4,2,12,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,False,True,30,10,Roddy White
2005,2005-10-09,5,5,23.341,ATL,NWE,False,4,0,2,,0,0.0%,0.50,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,28,31,Roddy White
2005,2005-10-16,6,6,23.348,ATL,NOR,False,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,1,1,2,0,,0,,0,0,0,0,,,,,,,True,True,34,31,Roddy White
2005,2005-10-24,7,7,23.356,ATL,NYJ,False,4,2,20,10.00,0,50.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,True,27,14,Roddy White
2005,2005-11-06,8,9,24.004,ATL,MIA,True,5,3,50,16.67,0,60.0%,10.00,1,16,16.00,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,17,10,Roddy White
2005,2005-11-13,9,10,24.011,ATL,GNB,True,2,2,22,11.00,1,100.0%,11.00,1,2,2.00,0,,1,6,0.0,,,,,,1,1,0,0,0,0,,,,,,,False,False,25,33,Roddy White
2005,2005-11-20,10,11,24.018,ATL,TAM,True,6,4,108,27.00,0,66.7%,18.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,27,30,Roddy White
2005,2005-11-24,11,12,24.022,ATL,DET,True,4,2,25,12.50,0,50.0%,6.25,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,27,7,Roddy White
2005,2005-12-04,12,13,24.032,ATL,CAR,True,4,3,35,11.67,0,75.0%,8.75,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,6,24,Roddy White
2005,2005-12-12,13,14,24.040,ATL,NOR,True,5,2,65,32.50,1,40.0%,13.00,1,-7,-7.00,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,36,17,Roddy White
2005,2005-12-18,14,15,24.046,ATL,CHI,True,6,1,19,19.00,0,16.7%,3.17,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,False,3,16,Roddy White
2005,2005-12-24,15,16,24.052,ATL,TAM,True,8,3,31,10.33,0,37.5%,3.88,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,24,27,Roddy White
2005,2006-01-01,16,17,24.060,ATL,CAR,False,10,4,47,11.75,1,40.0%,4.70,1,1,1.00,0,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,False,11,44,Roddy White
2006,2006-09-10,1,1,24.312,ATL,CAR,True,5,1,5,5.00,0,20.0%,1.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,20,6,Roddy White
2006,2006-09-17,2,2,24.319,ATL,TAM,True,1,1,18,18.00,0,100.0%,18.00,0,0,,0,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,False,True,14,3,Roddy White
2006,2006-09-25,3,3,24.327,ATL,NOR,False,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,3,23,Roddy White
2006,2006-10-01,4,4,24.333,ATL,ARI,False,5,4,26,6.50,0,80.0%,5.20,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,32,10,Roddy White
2006,2006-10-15,5,6,24.347,ATL,NYG,True,6,2,20,10.00,0,33.3%,3.33,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,14,27,Roddy White
2006,2006-10-22,6,7,24.354,ATL,PIT,True,7,2,10,5.00,0,28.6%,1.43,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,41,38,Roddy White
2006,2006-10-29,7,8,24.361,ATL,CIN,False,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,29,27,Roddy White
2006,2006-11-05,8,9,25.003,ATL,DET,True,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,30,Roddy White
2006,2006-11-12,9,10,25.010,ATL,CLE,False,5,5,99,19.80,0,100.0%,19.80,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,13,17,Roddy White
2006,2006-11-19,10,11,25.017,ATL,BAL,False,2,1,49,49.00,0,50.0%,24.50,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,10,24,Roddy White
2006,2006-11-26,11,12,25.024,ATL,NOR,False,6,1,14,14.00,0,16.7%,2.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,13,31,Roddy White
2006,2006-12-03,12,13,25.031,ATL,WAS,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,24,14,Roddy White
2006,2006-12-10,13,14,25.038,ATL,TAM,False,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,17,6,Roddy White
2006,2006-12-16,14,15,25.044,ATL,DAL,False,5,3,104,34.67,0,60.0%,20.80,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,28,38,Roddy White
2006,2006-12-24,15,16,25.052,ATL,CAR,False,2,1,12,12.00,0,50.0%,6.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,3,10,Roddy White
