Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-10-01,4.0,4.0,25.087,CAR,NWE,W 33-30,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,1,35,35.00,0,0,0%,0,0%,7,25%,True,Michael Palardy,True,33,30
2017.0,2017-10-08,5.0,5.0,25.094,CAR,DET,W 27-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,234,46.80,0,0,0%,0,0%,12,38%,True,Michael Palardy,True,27,24
2017.0,2017-10-12,6.0,6.0,25.098,CAR,PHI,L 23-28,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,3,136,45.33,0,0,0%,0,0%,8,25%,False,Michael Palardy,False,23,28
2017.0,2017-10-22,7.0,7.0,25.108,CAR,CHI,L 3-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,263,52.60,0,0,0%,0,0%,6,27%,True,Michael Palardy,False,3,17
2017.0,2017-10-29,8.0,8.0,25.115,CAR,TAM,W 17-3,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,7,353,50.43,0,0,0%,0,0%,10,43%,True,Michael Palardy,True,17,3
2017.0,2017-11-05,9.0,9.0,25.122,CAR,ATL,W 20-17,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,249,49.80,0,0,0%,0,0%,9,36%,False,Michael Palardy,True,20,17
2017.0,2017-11-13,10.0,10.0,25.13,CAR,MIA,W 45-21,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,85,42.50,0,0,0%,0,0%,9,32%,False,Michael Palardy,True,45,21
2017.0,2017-11-26,11.0,12.0,25.143,CAR,NYJ,W 35-27,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,284,47.33,0,0,0%,0,0%,10,27%,True,Michael Palardy,True,35,27
2017.0,2017-12-03,12.0,13.0,25.15,CAR,NOR,L 21-31,False,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0.0,0,0,0,,,1,0,0,1,0,0,5,215,43.00,0,0,0%,0,0%,9,31%,True,Michael Palardy,False,21,31
2017.0,2017-12-10,13.0,14.0,25.157,CAR,MIN,W 31-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,260,43.33,0,0,0%,0,0%,11,35%,False,Michael Palardy,True,31,24
2017.0,2017-12-17,14.0,15.0,25.164,CAR,GNB,W 31-24,False,0,0,,0,0,0,,0,0,,,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,174,43.50,0,0,0%,0,0%,9,35%,False,Michael Palardy,True,31,24
