Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,23.065,PIT,NWE,L 3-33,False,5,3,25,8.33,0,60.0%,5.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,24,36%,0,0%,0,0%,True,Diontae Johnson,False,3,33
2019.0,2019-09-15,2.0,2.0,23.072,PIT,SEA,L 26-28,False,4,1,17,17.00,0,25.0%,4.25,0,0,,0,0,0,,0,1,11,11.00,0,,0,0,0,0,0,0,0,0,26,46%,0,0%,2,7%,False,Diontae Johnson,False,26,28
2019.0,2019-09-22,3.0,3.0,23.079,PIT,SFO,L 20-24,True,6,3,52,17.33,1,50.0%,8.67,1,6,6.00,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,42,79%,0,0%,0,0%,True,Diontae Johnson,False,20,24
2019.0,2019-09-30,4.0,4.0,23.087,PIT,CIN,W 27-3,True,6,6,77,12.83,1,100.0%,12.83,0,0,,0,0,0,,0,0,0,,0,,1,6,1,1,0,0,0,0,37,64%,0,0%,1,4%,False,Diontae Johnson,True,27,3
2019.0,2019-10-06,5.0,5.0,23.093,PIT,BAL,L 23-26,True,8,5,27,5.40,0,62.5%,3.38,0,0,,0,0,0,,0,0,0,,0,,0,0,1,0,0,0,0,0,53,91%,0,0%,0,0%,False,Diontae Johnson,False,23,26
2019.0,2019-10-13,6.0,6.0,23.1,PIT,LAC,W 24-17,True,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,69%,0,0%,2,8%,True,Diontae Johnson,True,24,17
2019.0,2019-10-28,7.0,8.0,23.115,PIT,MIA,W 27-14,True,7,5,84,16.80,1,71.4%,12.00,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,32,43%,0,0%,0,0%,False,Diontae Johnson,True,27,14
2019.0,2019-11-03,8.0,9.0,23.121,PIT,IND,W 26-24,True,2,1,3,3.00,0,50.0%,1.50,1,2,2.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,42,68%,0,0%,0,0%,False,Diontae Johnson,True,26,24
2019.0,2019-11-10,9.0,10.0,23.128,PIT,LAR,W 17-12,True,6,4,64,16.00,0,66.7%,10.67,0,0,,0,0,0,,0,3,22,7.33,0,,0,0,1,0,0,0,0,0,53,73%,0,0%,3,8%,False,Diontae Johnson,True,17,12
2019.0,2019-11-14,10.0,11.0,23.132,PIT,CLE,L 7-21,True,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0,,0,1,10,10.00,0,,0,0,0,0,0,0,0,0,38,53%,0,0%,5,19%,True,Diontae Johnson,False,7,21
2019.0,2019-11-24,11.0,12.0,23.142,PIT,CIN,W 16-10,False,6,3,29,9.67,0,50.0%,4.83,0,0,,0,0,0,,0,4,21,5.25,0,,0,0,0,0,0,0,0,0,48,67%,0,0%,9,30%,True,Diontae Johnson,True,16,10
2019.0,2019-12-01,12.0,13.0,23.149,PIT,CLE,W 20-13,True,5,1,14,14.00,0,20.0%,2.80,1,17,17.00,0,0,0,,0,2,14,7.00,0,,0,0,0,0,0,0,0,0,36,64%,0,0%,3,13%,False,Diontae Johnson,True,20,13
2019.0,2019-12-08,13.0,14.0,23.156,PIT,ARI,W 23-17,True,8,6,60,10.00,1,75.0%,7.50,1,16,16.00,0,0,0,,0,2,86,43.00,1,,2,12,0,0,0,0,0,0,41,69%,0,0%,5,20%,True,Diontae Johnson,True,23,17
2019.0,2019-12-15,14.0,15.0,23.163,PIT,BUF,L 10-17,False,7,5,62,12.40,0,71.4%,8.86,0,0,,0,0,0,,0,2,20,10.00,0,,0,0,2,1,0,0,0,0,44,75%,0,0%,6,25%,False,Diontae Johnson,False,10,17
2019.0,2019-12-22,15.0,16.0,23.17,PIT,NYJ,L 10-16,True,9,8,81,10.13,1,88.9%,9.00,0,0,,0,0,0,,0,3,40,13.33,0,,1,6,0,0,0,0,0,0,56,84%,0,0%,7,25%,True,Diontae Johnson,False,10,16
2019.0,2019-12-29,16.0,17.0,23.177,PIT,BAL,L 10-28,True,7,4,54,13.50,0,57.1%,7.71,0,0,,0,0,0,,0,2,24,12.00,0,,0,0,0,0,0,0,0,0,39,78%,0,0%,4,13%,True,Diontae Johnson,False,10,28
2020.0,2020-09-14,1.0,1.0,24.071,PIT,NYG,W 26-16,True,10,6,57,9.50,0,60.0%,5.70,0,0,,0,0,0,,0,3,13,4.33,0,,0,0,1,1,0,0,0,0,55,86%,0,0%,6,23%,True,Diontae Johnson,True,26,16
2020.0,2020-09-20,2.0,2.0,24.077,PIT,DEN,W 26-21,True,13,8,92,11.50,1,61.5%,7.08,0,0,,0,1,24,24.00,0,2,25,12.50,0,,1,6,0,0,0,1,0,0,54,83%,0,0%,6,20%,False,Diontae Johnson,True,26,21
2020.0,2020-09-27,3.0,3.0,24.084,PIT,HOU,W 28-21,True,2,0,0,,0,0.0%,0.00,1,9,9.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,19,24%,0,0%,2,7%,False,Diontae Johnson,True,28,21
2020.0,2020-10-11,4.0,5.0,24.098,PIT,PHI,W 38-29,True,1,1,-2,-2.00,0,100.0%,-2.00,0,0,,0,0,0,,0,2,12,6.00,0,,0,0,0,0,0,0,0,0,6,8%,0,0%,2,8%,False,Diontae Johnson,True,38,29
2020.0,2020-10-18,5.0,6.0,,PIT,CLE,W 38-7,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Diontae Johnson,True,38,7
2020.0,2020-10-25,6.0,7.0,24.112,PIT,TEN,W 27-24,True,15,9,80,8.89,2,60.0%,5.33,0,0,,0,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,59,75%,0,0%,0,0%,True,Diontae Johnson,True,27,24
2020.0,2020-11-01,7.0,8.0,24.119,PIT,BAL,W 28-24,True,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,76%,0,0%,0,0%,True,Diontae Johnson,True,28,24
2020.0,2020-11-08,8.0,9.0,24.126,PIT,DAL,W 24-19,True,10,6,77,12.83,0,60.0%,7.70,1,4,4.00,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,59,86%,0,0%,0,0%,True,Diontae Johnson,True,24,19
2020.0,2020-11-15,9.0,10.0,24.133,PIT,CIN,W 36-10,True,11,6,116,19.33,1,54.5%,10.55,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,63,86%,0,0%,1,3%,False,Diontae Johnson,True,36,10
2020.0,2020-11-22,10.0,11.0,24.14,PIT,JAX,W 27-3,True,16,12,111,9.25,0,75.0%,6.94,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,60,80%,0,0%,0,0%,True,Diontae Johnson,True,27,3
