Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2021.0,2021-09-12,1.0,1.0,23.007,NWE,,MIA,L 16-17,True,29,39,74.36,281,1,0,102.6,1,13,7.21,7.72,0,0,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,75.0,100%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2021-09-19,2.0,2.0,23.014,NWE,@,NYJ,W 25-6,True,22,30,73.33,186,0,0,89.0,3,27,6.2,6.2,0,0,,0,0.0,0,0,0,0,0,1,0,0,0,0,0,59.0,100%,0.0,0%,0.0,0%,True,Mac Jones
2021.0,2021-09-26,3.0,3.0,23.021,NWE,,NOR,L 13-28,True,30,51,58.82,270,1,3,55.2,2,19,5.29,3.04,6,28,4.67,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72.0,100%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2021-10-03,4.0,4.0,23.028,NWE,,TAM,L 17-19,True,31,40,77.5,275,2,1,101.6,4,25,6.88,6.75,1,-1,-1.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59.0,100%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2021-10-10,5.0,5.0,23.035,NWE,@,HOU,W 25-22,True,23,30,76.67,231,1,1,95.3,1,5,7.7,6.87,1,3,3.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64.0,100%,0.0,0%,0.0,0%,True,Mac Jones
2021.0,2021-10-17,6.0,6.0,23.042,NWE,,DAL,L 29-35,True,15,21,71.43,229,2,1,118.9,2,14,10.9,10.67,2,-4,-2.0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,54.0,100%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2021-10-24,7.0,7.0,23.049,NWE,,NYJ,W 54-13,True,24,36,66.67,307,2,0,111.7,1,8,8.53,9.64,3,19,6.33,0,0.0,0,0,0,0,0,0,0,0,0,0,0,64.0,84%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2021-10-31,8.0,8.0,23.056,NWE,@,LAC,W 27-24,True,18,35,51.43,217,0,0,70.8,1,7,6.2,6.2,4,10,2.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,77.0,100%,0.0,0%,0.0,0%,True,Mac Jones
2021.0,2021-11-07,9.0,9.0,23.063,NWE,@,CAR,W 24-6,True,12,18,66.67,139,1,1,85.2,2,17,7.72,6.33,2,4,2.0,0,0.0,1,0,1,0,0,1,1,0,1,-2,0,56.0,90%,0.0,0%,0.0,0%,True,Mac Jones
2021.0,2021-11-14,10.0,10.0,23.07,NWE,,CLE,W 45-7,True,19,23,82.61,198,3,0,142.1,2,15,8.61,11.22,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,58.0,87%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2021-11-18,11.0,11.0,23.074,NWE,@,ATL,W 25-0,True,22,26,84.62,207,1,1,96.6,3,33,7.96,7.0,6,1,0.17,0,0.0,0,1,1,0,0,0,0,0,0,0,0,64.0,100%,0.0,0%,0.0,0%,True,Mac Jones
2021.0,2021-11-28,12.0,12.0,23.084,NWE,,TEN,W 36-13,True,23,32,71.88,310,2,0,123.2,2,21,9.69,10.94,2,11,5.5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59.0,98%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2021-12-06,13.0,13.0,23.092,NWE,@,BUF,W 14-10,True,2,3,66.67,19,0,0,84.0,0,0,6.33,6.33,5,-3,-0.6,0,0.0,0,0,0,0,0,1,0,0,0,0,0,51.0,100%,0.0,0%,0.0,0%,True,Mac Jones
2021.0,2021-12-18,14.0,15.0,23.104,NWE,@,IND,L 17-27,True,26,45,57.78,299,2,2,74.2,1,15,6.64,5.53,1,12,12.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68.0,100%,0.0,0%,0.0,0%,True,Mac Jones
2021.0,2021-12-26,15.0,16.0,23.112,NWE,,BUF,L 21-33,True,14,32,43.75,145,0,2,31.4,1,6,4.53,1.72,6,33,5.5,0,0.0,0,0,0,0,0,1,0,0,0,0,0,64.0,100%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2022-01-02,16.0,17.0,23.119,NWE,,JAX,W 50-10,True,22,30,73.33,227,3,0,128.1,0,0,7.57,9.57,2,12,6.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59.0,82%,0.0,0%,0.0,0%,False,Mac Jones
2021.0,2022-01-09,17.0,18.0,23.126,NWE,@,MIA,L 24-33,True,20,30,66.67,261,1,1,91.1,2,16,8.7,7.87,3,4,1.33,0,0.0,0,0,0,0,0,1,1,0,0,-2,0,62.0,100%,0.0,0%,0.0,0%,True,Mac Jones
,17 Games,,,,,,,10-7-0,False,352,521,67.56,3801,22,13,92.5,28,241,7.3,7.02,44,129,2.93,0,0.0,1,1,2,0,0,7,3,0,1,-4,0,,,,,,,False,Mac Jones
