Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,23.315,BUF,CHI,W 23-20,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,215,43.0,0,0.0,0%,0.0,0%,10.0,34%,True,Colton Schmidt,True,23,20
2014.0,2014-09-14,2.0,2.0,23.322,BUF,MIA,W 29-10,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,4,134,33.5,0,0.0,0%,0.0,0%,12.0,39%,False,Colton Schmidt,True,29,10
2014.0,2014-09-21,3.0,3.0,23.329,BUF,SDG,L 10-22,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,226,45.2,0,0.0,0%,0.0,0%,8.0,31%,False,Colton Schmidt,False,10,22
2014.0,2014-09-28,4.0,4.0,23.336,BUF,HOU,L 17-23,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,9,413,45.89,0,0.0,0%,0.0,0%,12.0,36%,True,Colton Schmidt,False,17,23
2014.0,2014-10-05,5.0,5.0,23.343,BUF,DET,W 17-14,False,0,0,,0,0.0,1,0,1,0.0,0.0,0,0,0,0,0,0,8,345,43.13,0,0.0,0%,0.0,0%,12.0,38%,True,Colton Schmidt,True,17,14
2014.0,2014-10-12,6.0,6.0,23.35,BUF,NWE,L 22-37,False,0,0,,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,249,49.8,0,0.0,0%,0.0,0%,8.0,26%,False,Colton Schmidt,False,22,37
2014.0,2014-10-19,7.0,7.0,23.357,BUF,MIN,W 17-16,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,5,223,44.6,0,0.0,0%,0.0,0%,8.0,30%,False,Colton Schmidt,True,17,16
2014.0,2014-10-26,8.0,8.0,23.364,BUF,NYJ,W 43-23,False,0,0,,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,6,249,41.5,0,0.0,0%,0.0,0%,14.0,40%,True,Colton Schmidt,True,43,23
2014.0,2014-11-09,9.0,10.0,24.013,BUF,KAN,L 13-17,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,6,282,47.0,0,0.0,0%,0.0,0%,9.0,32%,False,Colton Schmidt,False,13,17
2014.0,2014-11-13,10.0,11.0,24.017,BUF,MIA,L 9-22,False,0,0,,0,0.0,0,0,0,,,0,0,0,0,0,0,2,74,37.0,0,0.0,0%,0.0,0%,7.0,30%,True,Colton Schmidt,False,9,22
