Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-11,1,1,25.068,WAS,MIN,True,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,16,19,Brandon Lloyd
2006,2006-09-17,2,2,25.074,WAS,DAL,True,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,10,27,Brandon Lloyd
2006,2006-09-24,3,3,25.081,WAS,HOU,True,4,2,20,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,31,15,Brandon Lloyd
2006,2006-10-01,4,4,25.088,WAS,JAX,True,5,3,49,16.33,0,60.0%,9.80,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,True,36,30,Brandon Lloyd
2006,2006-10-08,5,5,25.095,WAS,NYG,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,19,Brandon Lloyd
2006,2006-10-15,6,6,25.102,WAS,TEN,True,2,1,52,52.00,0,50.0%,26.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,22,25,Brandon Lloyd
2006,2006-10-22,7,7,25.109,WAS,IND,True,5,4,37,9.25,0,80.0%,7.40,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,22,36,Brandon Lloyd
2006,2006-11-05,8,9,25.123,WAS,DAL,True,4,2,26,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,22,19,Brandon Lloyd
2006,2006-11-12,9,10,25.130,WAS,PHI,True,8,2,47,23.50,0,25.0%,5.88,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,3,27,Brandon Lloyd
2006,2006-11-19,10,11,25.137,WAS,TAM,True,8,2,24,12.00,0,25.0%,3.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,17,20,Brandon Lloyd
2006,2006-11-26,11,12,25.144,WAS,CAR,True,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,17,13,Brandon Lloyd
2006,2006-12-03,12,13,25.151,WAS,ATL,True,6,2,26,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,14,24,Brandon Lloyd
2006,2006-12-10,13,14,25.158,WAS,PHI,False,1,1,40,40.00,0,100.0%,40.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,19,21,Brandon Lloyd
2006,2006-12-17,14,15,25.165,WAS,NOR,False,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,16,10,Brandon Lloyd
2006,2006-12-24,15,16,25.172,WAS,STL,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,31,37,Brandon Lloyd
2006,2006-12-30,16,17,,WAS,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,28,34,Brandon Lloyd
2007,2007-09-09,1,1,26.066,WAS,MIA,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,16,13,Brandon Lloyd
2007,2007-09-17,2,2,26.074,WAS,PHI,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,True,20,12,Brandon Lloyd
2007,2007-09-23,3,3,26.080,WAS,NYG,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,17,24,Brandon Lloyd
2007,2007-10-07,4,5,26.094,WAS,DET,False,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,34,3,Brandon Lloyd
2007,2007-10-14,5,6,26.101,WAS,GNB,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,14,17,Brandon Lloyd
2007,2007-10-21,6,7,26.108,WAS,ARI,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,True,21,19,Brandon Lloyd
2007,2007-10-28,7,8,26.115,WAS,NWE,False,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,False,7,52,Brandon Lloyd
2007,2007-11-04,8,9,,WAS,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,23,20,Brandon Lloyd
2007,2007-11-11,9,10,26.129,WAS,PHI,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,False,25,33,Brandon Lloyd
