Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-10-12,5,6,26.144,CLE,PIT,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,244,40.67,0,0,0%,0,0%,11,37%,False,True,31,10,Spencer Lanning
2014,2014-10-19,6,7,26.151,CLE,JAX,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,353,50.43,0,0,0%,0,0%,9,31%,True,False,6,24,Spencer Lanning
2014,2014-10-26,7,8,26.158,CLE,OAK,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,324,46.29,0,0,0%,0,0%,13,39%,False,True,23,13,Spencer Lanning
2014,2014-11-02,8,9,26.165,CLE,TAM,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,184,36.80,0,0,0%,0,0%,9,33%,False,True,22,17,Spencer Lanning
2014,2014-11-06,9,10,26.169,CLE,CIN,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,311,44.43,0,0,0%,0,0%,12,43%,True,True,24,3,Spencer Lanning
2014,2014-11-16,10,11,26.179,CLE,HOU,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,1,0,0,6,231,38.50,0,0,0%,0,0%,10,34%,False,False,7,23,Spencer Lanning
2014,2014-11-23,11,12,26.186,CLE,ATL,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,1,41,41.00,0,0,0%,0,0%,8,30%,True,True,26,24,Spencer Lanning
2014,2014-11-30,12,13,26.193,CLE,BUF,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,254,42.33,0,0,0%,0,0%,9,29%,True,False,10,26,Spencer Lanning
2014,2014-12-07,13,14,26.200,CLE,IND,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,9,407,45.22,0,0,0%,0,0%,14,40%,False,False,24,25,Spencer Lanning
2014,2014-12-14,14,15,26.207,CLE,CIN,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,335,47.86,0,0,0%,0,0%,8,35%,False,False,0,30,Spencer Lanning
2014,2014-12-21,15,16,26.214,CLE,CAR,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,279,46.50,0,0,0%,0,0%,13,52%,True,False,13,17,Spencer Lanning
2014,2014-12-28,16,17,26.221,CLE,BAL,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,307,43.86,0,0,0%,0,0%,10,37%,True,False,10,20,Spencer Lanning
2015,2015-10-04,4,4,27.136,CHI,OAK,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,136,45.33,0,0,0%,0,0%,8,29%,False,True,22,20,Spencer Lanning
,33 Games,,,,,,False,1,1,100.00,11,1,0,152.1,0,0,11.00,31.00,1,1,100.0,,,,0,1,0.0,3,0,3,0,0,0,0,0,1,0,0,180,7934,44.08,1,,,,,,,False,False,21,0,Spencer Lanning
