Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2021.0,2021-09-26,3.0,3.0,24.111,CHI,CLE,L 6-26,True,10,34,3.40,0,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,37,82%,0,0%,0,0%,True,David Montgomery,False,6,26
2021.0,2021-10-03,4.0,4.0,24.118,CHI,DET,W 24-14,True,23,106,4.61,2,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,36,62%,0,0%,0,0%,False,David Montgomery,True,24,14
2021.0,2021-10-10,5.0,5.0,,CHI,LVR,W 20-9,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,David Montgomery,True,20,9
2021.0,2021-10-17,6.0,6.0,,CHI,GNB,L 14-24,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,David Montgomery,False,14,24
2021.0,2021-10-24,7.0,7.0,,CHI,TAM,L 3-38,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,David Montgomery,False,3,38
2021.0,2021-10-31,8.0,8.0,,CHI,SFO,L 22-33,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,David Montgomery,False,22,33
2021.0,2021-11-08,9.0,9.0,24.154,CHI,PIT,L 27-29,True,13,63,4.85,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,True,David Montgomery,False,27,29
2021.0,2021-11-21,10.0,11.0,24.167,CHI,BAL,L 13-16,True,14,58,4.14,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,95%,0,0%,0,0%,False,David Montgomery,False,13,16
2021.0,2021-11-25,11.0,12.0,24.171,CHI,DET,W 16-14,True,17,46,2.71,0,3,3,28,9.33,0,100.0%,9.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,84%,0,0%,0,0%,True,David Montgomery,True,16,14
2021.0,2021-12-05,12.0,13.0,24.181,CHI,ARI,L 22-33,True,21,90,4.29,1,9,8,51,6.38,0,88.9%,5.67,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,1,1,0,0,0,0,0,1,3,0,53,70%,0,0%,0,0%,False,David Montgomery,False,22,33
2021.0,2021-12-12,13.0,14.0,24.188,CHI,GNB,L 30-45,True,10,42,4.20,0,7,6,39,6.50,0,85.7%,5.57,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,84%,0,0%,0,0%,True,David Montgomery,False,30,45
2021.0,2021-12-20,14.0,15.0,24.196,CHI,MIN,L 9-17,True,18,60,3.33,0,6,5,23,4.60,0,83.3%,3.83,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,51,70%,0,0%,0,0%,False,David Montgomery,False,9,17
2021.0,2021-12-26,15.0,16.0,24.202,CHI,SEA,W 25-24,True,21,45,2.14,1,9,7,61,8.71,0,77.8%,6.78,0,0,,0,0,0,,0,0,,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,58,78%,0,0%,0,0%,True,David Montgomery,True,25,24
2021.0,2022-01-02,16.0,17.0,24.209,CHI,NYG,W 29-3,True,22,64,2.91,2,2,2,17,8.50,0,100.0%,8.50,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,45,68%,0,0%,0,0%,False,David Montgomery,True,29,3
2021.0,2022-01-09,17.0,18.0,24.216,CHI,MIN,L 17-31,True,20,72,3.60,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,60%,0,0%,0,0%,True,David Montgomery,False,17,31
,44 Games,,,,,,21-23-0,False,714,2808,3.93,21,154,121,924,7.64,3,78.6%,6.00,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,24,146,0.0,0,1,1,0,0,4,4,0,1,3,0,,,,,,,False,David Montgomery,False,23,0
