Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2011-01-02,16,17,30.091,BAL,,CIN,W 13-7,True,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-09-11,1,1,30.343,BAL,,PIT,W 35-7,True,7,4,74,18.50,1,57.1%,10.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-09-18,2,2,30.350,BAL,@,TEN,L 13-26,True,7,3,46,15.33,0,42.9%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin
2011,2011-09-25,3,3,30.357,BAL,@,STL,W 37-7,True,14,7,74,10.57,0,50.0%,5.29,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin
2011,2011-10-02,4,4,30.364,BAL,,NYJ,W 34-17,True,2,1,28,28.00,0,50.0%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-10-16,5,6,31.013,BAL,,HOU,W 29-14,True,9,8,132,16.50,0,88.9%,14.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-10-24,6,7,31.021,BAL,@,JAX,L 7-12,True,12,4,40,10.00,1,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Anquan Boldin
2011,2011-10-30,7,8,31.027,BAL,,ARI,W 30-27,True,12,7,145,20.71,0,58.3%,12.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-11-06,8,9,31.034,BAL,@,PIT,W 23-20,True,10,7,88,12.57,0,70.0%,8.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin
2011,2011-11-13,9,10,31.041,BAL,@,SEA,L 17-22,True,9,2,22,11.00,0,22.2%,2.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin
2011,2011-11-20,10,11,31.048,BAL,,CIN,W 31-24,True,2,1,35,35.00,1,50.0%,17.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-11-24,11,12,31.052,BAL,,SFO,W 16-6,True,9,4,63,15.75,0,44.4%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-12-04,12,13,31.062,BAL,@,CLE,W 24-10,True,4,2,32,16.00,0,50.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin
2011,2011-12-11,13,14,31.069,BAL,,IND,W 24-10,True,6,5,57,11.40,0,83.3%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Anquan Boldin
2011,2011-12-18,14,15,31.076,BAL,@,SDG,L 14-34,True,3,2,51,25.50,0,66.7%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Anquan Boldin
2011,2011-12-24,15,16,,BAL,,CLE,W 20-14,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Anquan Boldin
