Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2003,2003-12-14,14,15,28.199,NYG,@,NOR,L 7-45,False,1,1,100.0,,1,0.0,0,1,0.0,1,0,1,0,,0,0,,0,,,,,,,True,Matt Bryant
2003,2003-12-21,15,16,28.206,NYG,@,DAL,L 3-19,False,,,,1,1,100.0,0,3,0.0,0,0,0,0,,0,0,,0,,,,,,,True,Matt Bryant
2003,2003-12-28,16,17,28.213,NYG,,CAR,L 24-37,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0,0,,0,,,,,,,False,Matt Bryant
2004,2004-10-10,5,5,29.134,IND,,OAK,W 35-14,False,5,5,100.0,,1,0.0,0,5,0.0,1,0,1,0,,0,0,,0,,,,,,,False,Matt Bryant
2004,2004-10-17,6,6,29.141,MIA,@,BUF,L 13-20,False,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2004,2004-10-24,7,7,29.148,MIA,,STL,W 31-14,False,4,4,100.0,1,1,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2004,2004-11-01,8,8,29.156,MIA,@,NYJ,L 14-41,False,2,2,100.0,,,,0,2,0.0,,,,,,0,0,,,,,,,,,True,Matt Bryant
2004,2004-11-07,9,9,,MIA,,ARI,L 23-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Matt Bryant
2005,2005-09-11,1,1,30.105,TAM,@,MIN,W 24-13,False,3,3,100.0,1,1,100.0,0,6,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2005,2005-09-18,2,2,30.112,TAM,,BUF,W 19-3,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2005,2005-09-25,3,3,30.119,TAM,@,GNB,W 17-16,False,2,2,100.0,1,1,100.0,0,5,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2005,2005-10-02,4,4,30.126,TAM,,DET,W 17-13,False,2,2,100.0,1,2,50.0,0,5,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
2005,2005-10-09,5,5,30.133,TAM,@,NYJ,L 12-14,False,,,,4,4,100.0,0,12,0.0,,,,,,0,0,,0,,,,,,,True,Matt Bryant
2005,2005-10-16,6,6,30.140,TAM,,MIA,W 27-13,False,3,3,100.0,2,2,100.0,0,9,0.0,,,,,,0,0,,0,,,,,,,False,Matt Bryant
