Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,22.299,JAX,@,PHI,L 17-34,True,9,4,110,27.50,2,44.4%,12.22,2,12,0,0,0,0,0,0,65,89%,0,0%,0,0%,True,Allen Hurns
2014,2014-09-14,2,2,22.306,JAX,@,WAS,L 10-41,True,6,2,13,6.50,0,33.3%,2.17,0,0,0,0,0,0,0,0,48,96%,0,0%,0,0%,True,Allen Hurns
2014,2014-09-21,3,3,22.313,JAX,,IND,L 17-44,False,3,1,63,63.00,1,33.3%,21.00,1,6,0,0,0,0,0,0,52,87%,0,0%,0,0%,False,Allen Hurns
2014,2014-09-28,4,4,22.320,JAX,@,SDG,L 14-33,True,6,5,68,13.60,0,83.3%,11.33,0,0,0,0,0,0,0,0,60,91%,0,0%,0,0%,True,Allen Hurns
2014,2014-10-05,5,5,22.327,JAX,,PIT,L 9-17,True,11,4,26,6.50,0,36.4%,2.36,0,0,0,0,0,0,0,0,55,98%,0,0%,0,0%,False,Allen Hurns
2014,2014-10-12,6,6,22.334,JAX,@,TEN,L 14-16,False,4,2,18,9.00,0,50.0%,4.50,0,0,0,0,0,0,0,0,49,64%,0,0%,1,4%,True,Allen Hurns
2014,2014-10-19,7,7,22.341,JAX,,CLE,W 24-6,True,2,1,7,7.00,0,50.0%,3.50,0,0,0,0,0,0,0,0,38,52%,0,0%,0,0%,False,Allen Hurns
2014,2014-10-26,8,8,22.348,JAX,,MIA,L 13-27,False,4,3,49,16.33,0,75.0%,12.25,0,0,0,0,0,0,0,0,39,55%,0,0%,1,3%,False,Allen Hurns
2014,2014-11-02,9,9,22.355,JAX,@,CIN,L 23-33,False,9,7,112,16.00,2,77.8%,12.44,2,12,0,0,0,0,0,0,54,86%,0,0%,0,0%,True,Allen Hurns
2014,2014-11-09,10,10,22.362,JAX,,DAL,L 17-31,False,2,1,9,9.00,0,50.0%,4.50,0,0,0,0,0,0,0,0,33,46%,0,0%,0,0%,False,Allen Hurns
2014,2014-11-23,11,12,23.011,JAX,@,IND,L 3-23,True,4,1,13,13.00,0,25.0%,3.25,0,0,0,0,0,0,0,0,49,91%,0,0%,0,0%,True,Allen Hurns
2014,2014-11-30,12,13,23.018,JAX,,NYG,W 25-24,True,8,4,42,10.50,0,50.0%,5.25,0,0,0,0,0,0,0,0,61,90%,0,0%,0,0%,False,Allen Hurns
2014,2014-12-07,13,14,23.025,JAX,,HOU,L 13-27,False,10,5,36,7.20,1,50.0%,3.60,1,6,0,0,0,0,0,0,64,90%,0,0%,0,0%,False,Allen Hurns
2014,2014-12-14,14,15,23.032,JAX,@,BAL,L 12-20,False,9,6,70,11.67,0,66.7%,7.78,0,0,0,0,0,0,0,0,53,78%,0,0%,0,0%,True,Allen Hurns
2014,2014-12-18,15,16,23.036,JAX,,TEN,W 21-13,False,6,3,26,8.67,0,50.0%,4.33,0,0,0,0,0,0,0,0,36,61%,0,0%,0,0%,False,Allen Hurns
2014,2014-12-28,16,17,23.046,JAX,@,HOU,L 17-23,True,4,2,15,7.50,0,50.0%,3.75,0,0,0,0,0,0,0,0,32,56%,0,0%,0,0%,True,Allen Hurns
2015,2015-09-13,1,1,23.305,JAX,,CAR,L 9-20,True,7,5,60,12.00,0,71.4%,8.57,0,0,1,1,0,0,0,0,64,96%,0,0%,0,0%,False,Allen Hurns
2015,2015-09-20,2,2,23.312,JAX,,MIA,W 23-20,True,4,4,68,17.00,0,100.0%,17.00,0,0,0,0,0,0,0,0,58,79%,0,0%,0,0%,False,Allen Hurns
2015,2015-09-27,3,3,23.319,JAX,@,NWE,L 17-51,True,4,2,70,35.00,1,50.0%,17.50,1,6,0,0,0,0,0,0,47,82%,0,0%,0,0%,True,Allen Hurns
2015,2015-10-04,4,4,23.326,JAX,@,IND,L 13-16,True,15,11,116,10.55,1,73.3%,7.73,1,6,1,0,0,0,0,0,72,88%,0,0%,0,0%,True,Allen Hurns
2015,2015-10-11,5,5,23.333,JAX,@,TAM,L 31-38,True,6,5,116,23.20,1,83.3%,19.33,1,6,0,0,0,0,0,0,58,98%,0,0%,0,0%,True,Allen Hurns
2015,2015-10-18,6,6,23.340,JAX,,HOU,L 20-31,False,7,2,30,15.00,1,28.6%,4.29,1,6,0,0,0,0,0,0,78,96%,0,0%,2,7%,False,Allen Hurns
2015,2015-10-25,7,7,23.347,JAX,,BUF,W 34-31,True,8,2,53,26.50,1,25.0%,6.63,1,6,0,0,0,0,0,0,59,88%,0,0%,1,3%,False,Allen Hurns
2015,2015-11-08,8,9,23.361,JAX,@,NYJ,L 23-28,True,8,5,122,24.40,1,62.5%,15.25,1,6,0,0,0,0,0,0,66,100%,0,0%,1,3%,True,Allen Hurns
2015,2015-11-15,9,10,24.003,JAX,@,BAL,W 22-20,True,9,5,62,12.40,1,55.6%,6.89,1,6,0,0,0,0,0,0,66,89%,0,0%,0,0%,True,Allen Hurns
2015,2015-11-19,10,11,24.007,JAX,,TEN,W 19-13,True,4,3,19,6.33,0,75.0%,4.75,0,0,0,0,0,0,0,0,42,70%,0,0%,0,0%,False,Allen Hurns
2015,2015-11-29,11,12,24.017,JAX,,SDG,L 25-31,True,9,4,42,10.50,0,44.4%,4.67,0,0,0,0,0,0,0,0,57,80%,0,0%,0,0%,False,Allen Hurns
2015,2015-12-06,12,13,,JAX,@,TEN,L 39-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Allen Hurns
2015,2015-12-13,13,14,24.031,JAX,,IND,W 51-16,True,4,3,105,35.00,1,75.0%,26.25,1,6,0,0,0,0,0,0,42,65%,0,0%,0,0%,False,Allen Hurns
2015,2015-12-20,14,15,24.038,JAX,,ATL,L 17-23,True,5,2,44,22.00,0,40.0%,8.80,0,0,0,0,0,1,0,0,54,87%,0,0%,0,0%,False,Allen Hurns
2015,2015-12-27,15,16,24.045,JAX,@,NOR,L 27-38,True,10,8,107,13.38,2,80.0%,10.70,2,12,0,0,0,0,0,0,51,89%,0,0%,0,0%,True,Allen Hurns
2015,2016-01-03,16,17,24.052,JAX,@,HOU,L 6-30,True,5,3,17,5.67,0,60.0%,3.40,0,0,0,0,0,0,0,0,51,89%,0,0%,0,0%,True,Allen Hurns
2016,2016-09-11,1,1,24.304,JAX,,GNB,L 23-27,True,5,4,75,18.75,0,80.0%,15.00,0,0,0,0,0,0,0,0,63,88%,0,0%,0,0%,False,Allen Hurns
2016,2016-09-18,2,2,24.311,JAX,@,SDG,L 14-38,True,10,5,64,12.80,0,50.0%,6.40,0,0,0,0,0,0,0,0,58,88%,0,0%,0,0%,True,Allen Hurns
