Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2008.0,2008-09-07,1.0,1.0,,SEA,BUF,L 10-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Justin Forsett,False,10,34
2008.0,2008-09-14,2.0,2.0,22.336,IND,MIN,W 18-15,False,0,0,,0,0,0,0,,0,0.0%,,4,84,21.00,0,2,30,15.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Justin Forsett,True,18,15
2008.0,2008-09-21,3.0,3.0,22.343,IND,JAX,L 21-23,False,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,1,0,0.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Justin Forsett,False,21,23
2008.0,2008-10-05,4.0,5.0,22.357,IND,HOU,W 31-27,False,0,0,,0,0,0,0,,0,0.0%,,5,115,23.00,0,1,6,6.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Justin Forsett,True,31,27
2008.0,2008-10-19,6.0,7.0,23.005,SEA,TAM,L 10-20,False,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,2,36,18.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Justin Forsett,False,10,20
2008.0,2008-10-26,7.0,8.0,23.012,SEA,SFO,W 34-13,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,4,26,6.50,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Justin Forsett,True,34,13
2008.0,2008-11-02,8.0,9.0,23.019,SEA,PHI,L 7-26,False,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,4,28,7.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Justin Forsett,False,7,26
2008.0,2008-11-09,9.0,10.0,23.026,SEA,MIA,L 19-21,False,0,0,,0,0,0,0,,0,0.0%,,1,32,32.00,0,3,49,16.33,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Justin Forsett,False,19,21
2008.0,2008-11-16,10.0,11.0,23.033,SEA,ARI,L 20-26,False,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,1,20,20.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Justin Forsett,False,20,26
2008.0,2008-11-23,11.0,12.0,23.04,SEA,WAS,L 17-20,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Justin Forsett,False,17,20
