Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2013,2013-10-13,5,6,26.333,MIN,CAR,False,0,0,,0,0,0,,0,0,,,0,0,,0,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,22,35%,0,0%,6,26%,False,False,10,35,Joe Webb
2013,2013-10-21,6,7,26.341,MIN,NYG,False,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,21,68%,True,False,7,23,Joe Webb
2013,2013-10-27,7,8,26.347,MIN,GNB,False,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,16,34%,0,0%,9,28%,False,False,31,44,Joe Webb
2013,2013-11-03,8,9,26.354,MIN,DAL,False,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,8,11%,0,0%,9,32%,True,False,23,27,Joe Webb
2013,2013-11-07,9,10,26.358,MIN,WAS,False,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0,,0,0.0%,,1,9,9.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,17,33%,0,0%,9,32%,False,True,34,27,Joe Webb
2013,2013-11-17,10,11,27.003,MIN,SEA,False,0,0,,0,0,0,,0,0,,,0,0,,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,50%,0,0%,0,0%,True,False,20,41,Joe Webb
2013,2013-11-24,11,12,27.010,MIN,GNB,False,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,2,2%,0,0%,0,0%,True,False,26,26,Joe Webb
2013,2013-12-01,12,13,27.017,MIN,CHI,False,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,5,6%,0,0%,1,3%,False,True,23,20,Joe Webb
2013,2013-12-08,13,14,27.024,MIN,BAL,False,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,10,15%,0,0%,0,0%,True,False,26,29,Joe Webb
2013,2013-12-15,14,15,27.031,MIN,PHI,False,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,17,23%,0,0%,19,54%,False,True,48,30,Joe Webb
2013,2013-12-22,15,16,27.038,MIN,CIN,False,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,5,10%,0,0%,12,44%,True,False,14,42,Joe Webb
2013,2013-12-29,16,17,27.045,MIN,DET,True,,,,,,,,,,,,,,,,0,,,,,0.0%,,,,,,0,0,0.0,,,,,,0,,,0,0,0,16,28%,0,0%,12,46%,False,True,14,13,Joe Webb
2014,2014-09-07,1,1,,CAR,TAM,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,20,14,Joe Webb
2014,2014-09-14,2,2,,CAR,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,7,Joe Webb
2014,2014-09-21,3,3,,CAR,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,19,37,Joe Webb
2014,2014-09-28,4,4,,CAR,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,38,Joe Webb
2014,2014-10-05,5,5,,CAR,CHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,31,24,Joe Webb
2014,2014-10-12,6,6,,CAR,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,37,37,Joe Webb
