Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2003,2003-09-07,1,1,,JAX,CAR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,23,24,Byron Leftwich
2003,2003-09-14,2,2,23.243,JAX,BUF,False,7,8,87.50,92,1,0,154.2,0,0,11.50,14.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,False,17,38,Byron Leftwich
2003,2003-09-21,3,3,23.250,JAX,IND,False,4,5,80.00,32,1,0,132.9,0,0,6.40,10.40,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,False,13,23,Byron Leftwich
2003,2003-09-28,4,4,23.257,JAX,HOU,True,17,36,47.22,231,1,3,42.7,0,0,6.42,3.22,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,True,False,20,24,Byron Leftwich
2003,2003-10-05,5,5,23.264,JAX,SDG,True,19,28,67.86,336,2,0,132.4,3,23,12.00,13.43,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,,,,,,,False,True,27,21,Byron Leftwich
2003,2003-10-12,6,6,23.271,JAX,MIA,True,24,42,57.14,256,0,3,45.3,4,12,6.10,2.88,5,24,4.80,1,0,0,0,,0,0.0%,,1,6,2,1,0,2,0,0,,,,,,,False,False,10,24,Byron Leftwich
2003,2003-10-26,7,8,23.285,JAX,TEN,True,15,27,55.56,158,1,2,54.2,2,5,5.85,3.26,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,False,False,17,30,Byron Leftwich
2003,2003-11-02,8,9,23.292,JAX,BAL,True,22,34,64.71,208,1,1,79.0,4,22,6.12,5.38,0,0,,0,0,0,0,,0,0.0%,,0,0,3,2,0,0,0,0,,,,,,,True,False,17,24,Byron Leftwich
2003,2003-11-09,9,10,23.299,JAX,IND,True,12,22,54.55,179,1,0,96.6,0,0,8.14,9.05,3,6,2.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,False,True,28,23,Byron Leftwich
2003,2003-11-16,10,11,23.306,JAX,TEN,True,15,31,48.39,151,0,2,35.8,1,6,4.87,1.97,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,True,False,3,10,Byron Leftwich
2003,2003-11-23,11,12,23.313,JAX,NYJ,True,17,33,51.52,172,0,1,54.1,1,0,5.21,3.85,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,False,10,13,Byron Leftwich
2003,2003-11-30,12,13,23.320,JAX,TAM,True,20,34,58.82,224,2,0,98.2,0,0,6.59,7.76,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,17,10,Byron Leftwich
2003,2003-12-07,13,14,23.327,JAX,HOU,True,18,29,62.07,194,1,0,93.2,1,12,6.69,7.38,1,-2,-2.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,True,27,0,Byron Leftwich
