Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-11-25,11.0,12.0,,WAS,SFO,L 6-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Thompson,False,6,27
2013.0,2013-12-01,12.0,13.0,,WAS,NYG,L 17-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Thompson,False,17,24
2013.0,2013-12-08,13.0,14.0,,WAS,KAN,L 10-45,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Thompson,False,10,45
2013.0,2013-12-15,14.0,15.0,,WAS,ATL,L 26-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Thompson,False,26,27
2013.0,2013-12-22,15.0,16.0,,WAS,DAL,L 23-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Thompson,False,23,24
2013.0,2013-12-29,16.0,17.0,,WAS,NYG,L 6-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Thompson,False,6,20
2014.0,2014-12-14,14.0,15.0,24.055,WAS,NYG,L 13-24,False,3,12,4.00,0,4,3,22,7.33,1,75.0%,5.50,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,20,29%,0,0%,1,4%,True,Chris Thompson,False,13,24
2014.0,2014-12-20,15.0,16.0,24.061,WAS,PHI,W 27-24,False,0,0,,0,3,3,5,1.67,0,100.0%,1.67,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,10,18%,0,0%,0,0%,False,Chris Thompson,True,27,24
2014.0,2014-12-28,16.0,17.0,,WAS,DAL,L 17-44,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Thompson,False,17,44
2015.0,2015-09-13,1.0,1.0,24.328,WAS,MIA,L 10-17,False,3,11,3.67,0,1,0,0,,0,0.0%,0.00,1,36,36.00,0,0,0,,0,0,0,0,0,0,0,0,0,19,25%,0,0%,4,20%,False,Chris Thompson,False,10,17
2015.0,2015-09-20,2.0,2.0,24.335,WAS,STL,W 24-10,False,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,7,10%,0,0%,3,10%,False,Chris Thompson,True,24,10
2015.0,2015-09-24,3.0,3.0,24.339,WAS,NYG,L 21-32,False,2,29,14.50,0,11,8,57,7.13,1,72.7%,5.18,0,0,,0,0,0,,0,1,6,1,0,0,0,0,0,38,50%,0,0%,13,45%,True,Chris Thompson,False,21,32
2015.0,2015-10-04,4.0,4.0,24.349,WAS,PHI,W 23-20,False,6,53,8.83,0,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,33,39%,0,0%,16,53%,False,Chris Thompson,True,23,20
2015.0,2015-10-11,5.0,5.0,24.356,WAS,ATL,L 19-25,False,3,15,5.00,0,7,6,33,5.50,0,85.7%,4.71,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,26,43%,0,0%,3,12%,True,Chris Thompson,False,19,25
2015.0,2015-10-18,6.0,6.0,24.363,WAS,NYJ,L 20-34,False,5,12,2.40,0,10,6,26,4.33,0,60.0%,2.60,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,37,59%,0,0%,7,22%,True,Chris Thompson,False,20,34
2015.0,2015-10-25,7.0,7.0,,WAS,TAM,W 31-30,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Thompson,True,31,30
2015.0,2015-11-08,8.0,9.0,25.019,WAS,NWE,L 10-27,False,0,0,,0,4,2,21,10.50,0,50.0%,5.25,1,18,18.00,0,0,0,,0,0,0,0,0,0,0,0,0,22,38%,0,0%,5,23%,True,Chris Thompson,False,10,27
2015.0,2015-11-15,9.0,10.0,25.026,WAS,NOR,W 47-14,False,2,54,27.00,0,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,10,16%,0,0%,7,24%,False,Chris Thompson,True,47,14
2015.0,2015-11-22,10.0,11.0,25.033,WAS,CAR,L 16-44,False,4,10,2.50,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,27,56%,0,0%,15,47%,True,Chris Thompson,False,16,44
2015.0,2015-11-29,11.0,12.0,25.04,WAS,NYG,W 20-14,False,2,7,3.50,0,1,1,9,9.00,0,100.0%,9.00,1,9,9.00,0,0,0,,0,0,0,0,0,0,0,0,0,10,14%,0,0%,7,25%,False,Chris Thompson,True,20,14
2015.0,2015-12-07,12.0,13.0,25.048,WAS,DAL,L 16-19,False,1,6,6.00,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,17,26%,0,0%,6,19%,False,Chris Thompson,False,16,19
2015.0,2015-12-13,13.0,14.0,,WAS,CHI,W 24-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Thompson,True,24,21
2015.0,2015-12-20,14.0,15.0,,WAS,BUF,W 35-25,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Thompson,True,35,25
2015.0,2015-12-26,15.0,16.0,25.067,WAS,PHI,W 38-24,False,0,0,,0,1,1,12,12.00,1,100.0%,12.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,9,12%,0,0%,5,14%,True,Chris Thompson,True,38,24
2015.0,2016-01-03,16.0,17.0,25.075,WAS,DAL,W 34-23,False,7,19,2.71,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,18,28%,0,0%,9,29%,True,Chris Thompson,True,34,23
2016.0,2016-09-12,1.0,1.0,25.328,WAS,PIT,L 16-38,False,4,23,5.75,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,39,67%,0,0%,7,28%,False,Chris Thompson,False,16,38
2016.0,2016-09-18,2.0,2.0,25.334,WAS,DAL,L 23-27,False,2,1,0.50,0,4,3,57,19.00,0,75.0%,14.25,1,28,28.00,0,0,0,,0,0,0,0,0,0,0,0,0,28,42%,0,0%,6,22%,False,Chris Thompson,False,23,27
2016.0,2016-09-25,3.0,3.0,25.341,WAS,NYG,W 29-27,False,6,23,3.83,0,2,1,-7,-7.00,0,50.0%,-3.50,1,25,25.00,0,0,0,,0,0,0,0,0,0,0,0,0,34,48%,0,0%,6,18%,True,Chris Thompson,True,29,27
2016.0,2016-10-02,4.0,4.0,25.348,WAS,CLE,W 31-20,False,3,24,8.00,0,4,2,16,8.00,1,50.0%,4.00,1,26,26.00,0,0,0,,0,1,6,0,0,0,0,0,0,20,32%,0,0%,4,17%,False,Chris Thompson,True,31,20
2016.0,2016-10-09,5.0,5.0,25.355,WAS,BAL,W 16-10,False,2,12,6.00,0,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,21,32%,0,0%,3,11%,True,Chris Thompson,True,16,10
2016.0,2016-10-16,6.0,6.0,25.362,WAS,PHI,W 27-20,False,9,37,4.11,0,3,3,29,9.67,0,100.0%,9.67,2,34,17.00,0,0,0,,0,0,0,0,0,0,0,0,0,36,49%,0,0%,5,17%,False,Chris Thompson,True,27,20
2016.0,2016-10-23,7.0,7.0,26.003,WAS,DET,L 17-20,False,12,73,6.08,0,7,7,40,5.71,0,100.0%,5.71,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,43,59%,0,0%,5,23%,True,Chris Thompson,False,17,20
2016.0,2016-10-30,8.0,8.0,26.01,WAS,CIN,T 27-27,False,7,14,2.00,0,5,5,27,5.40,0,100.0%,5.40,3,53,17.67,0,0,0,,0,0,0,0,0,0,0,0,0,48,53%,0,0%,6,19%,True,Chris Thompson,False,27,27
2016.0,2016-11-13,9.0,10.0,26.024,WAS,MIN,W 26-20,False,4,25,6.25,0,3,3,11,3.67,0,100.0%,3.67,1,27,27.00,0,0,0,,0,0,0,1,1,0,0,0,0,21,33%,0,0%,3,12%,False,Chris Thompson,True,26,20
2016.0,2016-11-20,10.0,11.0,26.031,WAS,GNB,W 42-24,False,2,10,5.00,0,3,1,9,9.00,0,33.3%,3.00,2,40,20.00,0,0,0,,0,0,0,0,0,0,0,0,0,23,35%,0,0%,5,17%,False,Chris Thompson,True,42,24
2016.0,2016-11-24,11.0,12.0,26.035,WAS,DAL,L 26-31,False,4,17,4.25,0,6,5,17,3.40,0,83.3%,2.83,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,43,57%,0,0%,6,23%,True,Chris Thompson,False,26,31
2016.0,2016-12-04,12.0,13.0,26.045,WAS,ARI,L 23-31,False,2,24,12.00,0,2,1,21,21.00,0,50.0%,10.50,1,26,26.00,0,0,0,,0,0,0,0,0,0,1,0,0,26,43%,0,0%,6,21%,True,Chris Thompson,False,23,31
2016.0,2016-12-11,13.0,14.0,26.052,WAS,PHI,W 27-22,False,3,38,12.67,1,1,0,0,,0,0.0%,0.00,4,85,21.25,0,0,0,,0,1,6,0,0,0,0,0,0,17,35%,0,0%,6,24%,True,Chris Thompson,True,27,22
2016.0,2016-12-19,14.0,15.0,26.06,WAS,CAR,L 15-26,False,2,10,5.00,0,7,5,26,5.20,0,71.4%,3.71,1,16,16.00,0,0,0,,0,0,0,0,0,0,0,0,0,35,55%,0,0%,7,20%,False,Chris Thompson,False,15,26
2016.0,2016-12-24,15.0,16.0,26.065,WAS,CHI,W 41-21,False,3,20,6.67,1,1,1,17,17.00,1,100.0%,17.00,0,0,,0,0,0,,0,2,12,0,0,0,0,0,0,22,33%,0,0%,4,15%,True,Chris Thompson,True,41,21
2016.0,2017-01-01,16.0,17.0,26.073,WAS,NYG,L 10-19,False,3,5,1.67,0,8,6,37,6.17,0,75.0%,4.63,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,31,56%,0,0%,4,14%,False,Chris Thompson,False,10,19
2017.0,2017-09-10,1.0,1.0,26.325,WAS,PHI,L 17-30,False,3,4,1.33,0,5,4,52,13.00,1,80.0%,10.40,1,18,18.00,0,0,0,,0,1,6,0,0,0,0,0,0,30,48%,0,0%,6,23%,False,Chris Thompson,False,17,30
2017.0,2017-09-17,2.0,2.0,26.332,WAS,LAR,W 27-20,False,3,77,25.67,2,7,3,29,9.67,0,42.9%,4.14,1,16,16.00,0,0,0,,0,2,12,0,0,0,1,0,0,29,41%,0,0%,4,13%,True,Chris Thompson,True,27,20
2017.0,2017-09-24,3.0,3.0,26.339,WAS,OAK,W 27-10,False,8,38,4.75,0,7,6,150,25.00,1,85.7%,21.43,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,28,41%,0,0%,3,10%,False,Chris Thompson,True,27,10
2017.0,2017-10-02,4.0,4.0,26.347,WAS,KAN,L 20-29,False,6,23,3.83,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,1,1,0,0,-2,0,26,52%,0,0%,6,21%,True,Chris Thompson,False,20,29
2017.0,2017-10-15,5.0,6.0,26.36,WAS,SFO,W 26-24,True,16,33,2.06,0,5,4,105,26.25,0,80.0%,21.00,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0,45,61%,0,0%,4,13%,False,Chris Thompson,True,26,24
2017.0,2017-10-23,6.0,7.0,27.003,WAS,PHI,L 24-34,False,7,38,5.43,0,5,5,26,5.20,1,100.0%,5.20,1,18,18.00,0,0,0,,0,1,6,0,0,0,0,0,0,37,58%,0,0%,7,22%,True,Chris Thompson,False,24,34
2017.0,2017-10-29,7.0,8.0,27.009,WAS,DAL,L 19-33,False,4,18,4.50,0,9,8,76,9.50,0,88.9%,8.44,3,61,20.33,0,0,0,,0,0,0,1,1,0,0,0,0,47,80%,0,0%,8,24%,False,Chris Thompson,False,19,33
2017.0,2017-11-05,8.0,9.0,27.016,WAS,SEA,W 17-14,False,4,20,5.00,0,6,4,11,2.75,0,66.7%,1.83,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,33,52%,0,0%,0,0%,True,Chris Thompson,True,17,14
2017.0,2017-11-12,9.0,10.0,27.023,WAS,MIN,L 30-38,False,9,26,2.89,0,7,3,41,13.67,0,42.9%,5.86,2,52,26.00,0,0,0,,0,0,0,0,0,0,0,0,0,45,60%,0,0%,3,10%,False,Chris Thompson,False,30,38
2017.0,2017-11-19,10.0,11.0,27.03,WAS,NOR,L 31-34,False,4,17,4.25,0,1,1,16,16.00,1,100.0%,16.00,0,0,,0,0,0,,0,1,6,0,0,0,0,0,0,18,26%,0,0%,0,0%,True,Chris Thompson,False,31,34
2017.0,2017-11-23,11.0,12.0,,WAS,NYG,W 20-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Thompson,True,20,10
2017.0,2017-11-30,12.0,13.0,,WAS,DAL,L 14-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Thompson,False,14,38
2017.0,2017-12-10,13.0,14.0,,WAS,LAC,L 13-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Thompson,False,13,30
2017.0,2017-12-17,14.0,15.0,,WAS,ARI,W 20-15,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Thompson,True,20,15
2017.0,2017-12-24,15.0,16.0,,WAS,DEN,W 27-11,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Chris Thompson,True,27,11
2017.0,2017-12-31,16.0,17.0,,WAS,NYG,L 10-18,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Thompson,False,10,18
2018.0,2018-09-09,1.0,1.0,27.324,WAS,ARI,W 24-6,False,5,65,13.00,0,7,6,63,10.50,1,85.7%,9.00,1,0,0.00,0,0,0,,0,1,6,0,0,0,0,0,0,33,42%,0,0%,1,5%,True,Chris Thompson,True,24,6
2018.0,2018-09-16,2.0,2.0,27.331,WAS,IND,L 9-21,False,4,1,0.25,0,14,13,92,7.08,0,92.9%,6.57,0,0,,0,0,0,,0,0,0,0,0,0,1,5,0,50,68%,0,0%,0,0%,False,Chris Thompson,False,9,21
2018.0,2018-09-23,3.0,3.0,27.338,WAS,GNB,W 31-17,False,6,17,2.83,0,2,1,0,0.00,0,50.0%,0.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,25,41%,0,0%,0,0%,False,Chris Thompson,True,31,17
2018.0,2018-10-08,4.0,5.0,27.353,WAS,NOR,L 19-43,False,8,17,2.13,0,8,6,45,7.50,0,75.0%,5.63,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,40,66%,0,0%,0,0%,True,Chris Thompson,False,19,43
2018.0,2018-10-14,5.0,6.0,,WAS,CAR,W 23-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Thompson,True,23,17
2018.0,2018-10-21,6.0,7.0,,WAS,DAL,W 20-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Thompson,True,20,17
2018.0,2018-10-28,7.0,8.0,28.008,WAS,NYG,W 20-13,False,3,13,4.33,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,26,38%,0,0%,1,3%,True,Chris Thompson,True,20,13
