Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-09,1.0,1.0,22.324,WAS,PHI,L 27-33,False,0,0,,0,0,0,0,,0,0.0%,,3,56,18.67,0,1,5,5.00,0,0,0,0,0,0,0,0,0,0,0%,0,0%,9,29%,False,Chris Thompson,False,27,33
2013.0,2013-09-15,2.0,2.0,22.33,WAS,GNB,L 20-38,False,0,0,,0,0,0,0,,0,0.0%,,3,59,19.67,0,2,9,4.50,0,0,0,0,0,0,0,0,0,0,0%,0,0%,10,36%,True,Chris Thompson,False,20,38
2013.0,2013-09-22,3.0,3.0,22.337,WAS,DET,L 20-27,False,0,0,,0,0,0,0,,0,0.0%,,2,45,22.50,0,2,11,5.50,0,0,0,0,0,0,0,0,0,0,0%,0,0%,10,31%,False,Chris Thompson,False,20,27
2013.0,2013-09-29,4.0,4.0,22.344,WAS,OAK,W 24-14,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,11,5.50,0,0,0,0,0,0,0,0,0,0,0%,0,0%,8,26%,True,Chris Thompson,True,24,14
2013.0,2013-10-13,5.0,6.0,,WAS,DAL,L 16-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Thompson,False,16,31
2013.0,2013-10-20,6.0,7.0,,WAS,CHI,W 45-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Thompson,True,45,41
2013.0,2013-10-27,7.0,8.0,,WAS,DEN,L 21-45,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Thompson,False,21,45
2013.0,2013-11-03,8.0,9.0,,WAS,SDG,W 30-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Chris Thompson,True,30,24
2013.0,2013-11-07,9.0,10.0,,WAS,MIN,L 27-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Chris Thompson,False,27,34
2013.0,2013-11-17,10.0,11.0,,WAS,PHI,L 16-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Chris Thompson,False,16,24
