Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2019,2019-12-01,12,13,24.198,LAC,@,DEN,L 20-23,False,9,16,1.78,0,5,4,51,12.75,1,80.0%,10.20,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,52%,0,0%,0,0%,True,Austin Ekeler
2019,2019-12-08,13,14,24.205,LAC,@,JAX,W 45-10,True,8,101,12.63,0,5,4,112,28.00,1,80.0%,22.40,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,29,48%,0,0%,0,0%,True,Austin Ekeler
2019,2019-12-15,14,15,24.212,LAC,,MIN,L 10-39,False,7,19,2.71,0,7,5,62,12.40,0,71.4%,8.86,0,0,,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,30,48%,0,0%,0,0%,False,Austin Ekeler
2019,2019-12-22,15,16,24.219,LAC,,OAK,L 17-24,True,4,11,2.75,0,6,5,58,11.60,0,83.3%,9.67,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,54%,0,0%,1,4%,False,Austin Ekeler
2019,2019-12-29,16,17,24.226,LAC,@,KAN,L 21-31,False,9,46,5.11,0,11,9,43,4.78,0,81.8%,3.91,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,58%,0,0%,0,0%,True,Austin Ekeler
2020,2020-09-13,1,1,25.119,LAC,@,CIN,W 16-13,True,19,84,4.42,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,50,68%,0,0%,0,0%,True,Austin Ekeler
2020,2020-09-20,2,2,25.126,LAC,,KAN,L 20-23,True,16,93,5.81,0,4,4,55,13.75,0,100.0%,13.75,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,47,57%,0,0%,0,0%,False,Austin Ekeler
2020,2020-09-27,3,3,25.133,LAC,,CAR,L 16-21,True,12,59,4.92,1,11,11,84,7.64,0,100.0%,7.64,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,56,72%,0,0%,0,0%,False,Austin Ekeler
2020,2020-10-04,4,4,25.140,LAC,@,TAM,L 31-38,True,2,12,6.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,6%,0,0%,0,0%,True,Austin Ekeler
2020,2020-10-12,5,5,,LAC,@,NOR,L 27-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Austin Ekeler
