Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2015,2015-09-13,1,1,,MIA,@,WAS,W 17-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Jay Ajayi
2015,2015-09-20,2,2,,MIA,@,JAX,L 20-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Jay Ajayi
2015,2015-09-27,3,3,,MIA,,BUF,L 14-41,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jay Ajayi
2015,2015-10-04,4,4,,MIA,,NYJ,L 14-27,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jay Ajayi
2015,2015-10-18,5,6,,MIA,@,TEN,W 38-10,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Jay Ajayi
2015,2015-10-25,6,7,,MIA,,HOU,W 44-26,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Jay Ajayi
2015,2015-10-29,7,8,,MIA,@,NWE,L 7-36,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Jay Ajayi
2015,2015-11-08,8,9,22.146,MIA,@,BUF,L 17-33,False,5,41,8.20,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,7,10%,0,0%,4,16%,True,Jay Ajayi
2015,2015-11-15,9,10,22.153,MIA,@,PHI,W 20-19,False,6,48,8.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,12,18%,0,0%,4,12%,True,Jay Ajayi
2015,2015-11-22,10,11,22.160,MIA,,DAL,L 14-24,False,4,13,3.25,0,2,2,23,11.50,0,100.0%,11.50,0,0,,0,,0,0,0,0,0,0,0,0,12,25%,0,0%,0,0%,False,Jay Ajayi
2015,2015-11-29,11,12,22.167,MIA,@,NYJ,L 20-38,False,3,6,2.00,0,6,4,52,13.00,0,66.7%,8.67,0,0,,0,,0,0,0,0,0,0,0,0,41,57%,0,0%,7,21%,True,Jay Ajayi
2015,2015-12-06,12,13,22.174,MIA,,BAL,W 15-13,False,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,,0,1,0,2,0,0,0,0,0,0,9,19%,0,0%,4,14%,False,Jay Ajayi
2015,2015-12-14,13,14,22.182,MIA,,NYG,L 24-31,False,5,15,3.00,0,0,0,0,,0,0.0%,,1,20,20.00,0,,0,0,0,0,0,0,0,0,17,25%,0,0%,11,34%,False,Jay Ajayi
2015,2015-12-20,14,15,22.188,MIA,@,SDG,L 14-30,False,6,27,4.50,1,3,1,15,15.00,0,33.3%,5.00,0,0,,0,,1,6,0,0,0,0,0,0,31,54%,0,0%,14,48%,True,Jay Ajayi
2015,2015-12-27,15,16,22.195,MIA,,IND,L 12-18,False,9,23,2.56,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,13,18%,0,0%,7,30%,False,Jay Ajayi
2015,2016-01-03,16,17,22.202,MIA,,NWE,W 20-10,False,7,2,0.29,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0,0,0,0,0,0,16,21%,0,0%,9,30%,False,Jay Ajayi
2016,2016-09-11,1,1,,MIA,@,SEA,L 10-12,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Jay Ajayi
2016,2016-09-18,2,2,23.095,MIA,@,NWE,L 24-31,False,5,14,2.80,0,4,4,31,7.75,0,100.0%,7.75,0,0,,0,,0,0,1,1,0,0,0,0,36,56%,0,0%,9,32%,True,Jay Ajayi
2016,2016-09-25,3,3,23.102,MIA,,CLE,W 30-24,False,7,28,4.00,1,0,0,0,,0,0.0%,,0,0,,0,,1,6,0,0,0,0,0,0,18,27%,0,0%,5,15%,False,Jay Ajayi
2016,2016-09-29,4,4,23.106,MIA,@,CIN,L 7-22,False,6,33,5.50,0,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,0,0,0,0,0,0,0,0,14,31%,0,0%,1,4%,True,Jay Ajayi
2016,2016-10-09,5,5,23.116,MIA,,TEN,L 17-30,True,13,42,3.23,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,0,0,0,0,0,30,68%,0,0%,2,7%,False,Jay Ajayi
2016,2016-10-16,6,6,23.123,MIA,,PIT,W 30-15,True,25,204,8.16,2,2,1,3,3.00,0,50.0%,1.50,0,0,,0,,2,12,0,0,0,0,0,0,48,69%,0,0%,0,0%,False,Jay Ajayi
2016,2016-10-23,7,7,23.130,MIA,,BUF,W 28-25,True,28,214,7.64,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,1,6,0,0,0,0,0,0,47,64%,0,0%,0,0%,False,Jay Ajayi
2016,2016-11-06,8,9,23.144,MIA,,NYJ,W 27-23,True,24,111,4.63,1,4,3,19,6.33,0,75.0%,4.75,0,0,,0,,1,6,1,0,0,1,0,0,46,73%,0,0%,0,0%,False,Jay Ajayi
2016,2016-11-13,9,10,23.151,MIA,@,SDG,W 31-24,True,19,79,4.16,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0,0,0,0,0,0,38,75%,0,0%,0,0%,True,Jay Ajayi
2016,2016-11-20,10,11,23.158,MIA,@,LAR,W 14-10,True,16,77,4.81,0,4,3,7,2.33,0,75.0%,1.75,0,0,,0,,0,0,0,0,0,0,0,0,48,80%,0,0%,0,0%,True,Jay Ajayi
2016,2016-11-27,11,12,23.165,MIA,,SFO,W 31-24,True,18,45,2.50,1,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,1,6,0,0,0,0,0,0,47,80%,0,0%,0,0%,False,Jay Ajayi
2016,2016-12-04,12,13,23.172,MIA,@,BAL,L 6-38,True,12,61,5.08,0,7,6,26,4.33,0,85.7%,3.71,0,0,,0,,0,0,0,0,0,0,0,0,40,65%,0,0%,0,0%,True,Jay Ajayi
2016,2016-12-11,13,14,23.179,MIA,,ARI,W 26-23,True,20,48,2.40,0,3,1,15,15.00,0,33.3%,5.00,0,0,,0,,0,0,1,0,0,1,0,0,42,70%,0,0%,0,0%,False,Jay Ajayi
2016,2016-12-17,14,15,23.185,MIA,@,NYJ,W 34-13,True,19,51,2.68,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,1,0,0,0,0,0,41,85%,0,0%,0,0%,True,Jay Ajayi
2016,2016-12-24,15,16,23.192,MIA,@,BUF,W 34-31,True,32,206,6.44,1,1,1,3,3.00,0,100.0%,3.00,0,0,,0,,1,6,0,0,0,0,0,0,52,75%,0,0%,0,0%,True,Jay Ajayi
2016,2017-01-01,16,17,23.200,MIA,,NWE,L 14-35,True,16,59,3.69,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,,0,0,0,0,0,0,0,0,34,58%,0,0%,0,0%,False,Jay Ajayi
2017,2017-09-17,1,2,24.094,MIA,@,LAC,W 19-17,True,28,122,4.36,0,2,2,4,2.00,0,100.0%,2.00,0,0,,0,,0,0,0,0,0,0,0,0,64,94%,0,0%,0,0%,True,Jay Ajayi
2017,2017-09-24,2,3,24.101,MIA,@,NYJ,L 6-20,True,11,16,1.45,0,3,2,9,4.50,0,66.7%,3.00,0,0,,0,,0,0,0,0,0,0,0,0,33,52%,0,0%,0,0%,True,Jay Ajayi
2017,2017-10-01,3,4,24.108,MIA,,NOR,L 0-20,True,12,46,3.83,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,,0,0,0,0,0,0,0,0,32,62%,0,0%,0,0%,False,Jay Ajayi
