Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,23.313,CHI,DET,True,7,3,52,17.33,0,42.9%,7.43,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,False,True,19,14,Johnny Knox
2010,2010-09-19,2,2,23.320,CHI,DAL,True,5,4,86,21.50,0,80.0%,17.20,0,0,,0,1,42,42.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,True,27,20,Johnny Knox
2010,2010-09-27,3,3,23.328,CHI,GNB,True,6,4,94,23.50,0,66.7%,15.67,1,2,2.00,0,2,47,23.50,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,True,20,17,Johnny Knox
2010,2010-10-03,4,4,23.334,CHI,NYG,True,2,1,26,26.00,0,50.0%,13.00,0,0,,0,1,13,13.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,False,3,17,Johnny Knox
2010,2010-10-10,5,5,23.341,CHI,CAR,True,4,1,14,14.00,0,25.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,True,True,23,6,Johnny Knox
2010,2010-10-17,6,6,23.348,CHI,SEA,True,11,5,120,24.00,0,45.5%,10.91,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,False,False,20,23,Johnny Knox
2010,2010-10-24,7,7,23.355,CHI,WAS,True,12,6,86,14.33,1,50.0%,7.17,0,0,,0,0,0,,0,0,0,,0,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,False,False,14,17,Johnny Knox
2010,2010-11-07,8,9,24.004,CHI,BUF,True,5,3,49,16.33,0,60.0%,9.80,0,0,,0,3,69,23.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,True,True,22,19,Johnny Knox
2010,2010-11-14,9,10,24.011,CHI,MIN,True,7,5,90,18.00,0,71.4%,12.86,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,False,True,27,13,Johnny Knox
2010,2010-11-18,10,11,24.015,CHI,MIA,True,8,5,55,11.00,0,62.5%,6.88,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,True,True,16,0,Johnny Knox
