Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,22.16,GNB,SEA,W 17-9,False,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,7%,0,0%,0,0%,False,Jamaal Williams,True,17,9
2017.0,2017-09-17,2.0,2.0,22.167,GNB,ATL,L 23-34,False,2,6,3.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,13%,0,0%,0,0%,True,Jamaal Williams,False,23,34
2017.0,2017-09-24,3.0,3.0,22.174,GNB,CIN,W 27-24,False,1,6,6.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,8,24%,False,Jamaal Williams,True,27,24
2017.0,2017-09-28,4.0,4.0,22.178,GNB,CHI,W 35-14,False,4,11,2.75,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,22%,0,0%,5,19%,False,Jamaal Williams,True,35,14
2017.0,2017-10-08,5.0,5.0,22.188,GNB,DAL,W 35-31,False,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2,3%,0,0%,12,46%,True,Jamaal Williams,True,35,31
2017.0,2017-10-15,6.0,6.0,22.195,GNB,MIN,L 10-23,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0%,0,0%,9,35%,True,Jamaal Williams,False,10,23
2017.0,2017-10-22,7.0,7.0,22.202,GNB,NOR,L 17-26,False,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0%,0,0%,11,42%,False,Jamaal Williams,False,17,26
2017.0,2017-11-06,8.0,9.0,22.217,GNB,DET,L 17-30,False,1,1,1.00,1,2,2,31,15.50,0,100.0%,15.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,9,15%,0,0%,9,39%,False,Jamaal Williams,False,17,30
2017.0,2017-11-12,9.0,10.0,22.223,GNB,CHI,W 23-16,False,20,67,3.35,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,35,53%,0,0%,7,24%,True,Jamaal Williams,True,23,16
2017.0,2017-11-19,10.0,11.0,22.23,GNB,BAL,L 0-23,True,18,57,3.17,0,6,4,38,9.50,0,66.7%,6.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,88%,0,0%,0,0%,False,Jamaal Williams,False,0,23
2017.0,2017-11-26,11.0,12.0,22.237,GNB,PIT,L 28-31,True,21,66,3.14,1,5,4,69,17.25,1,80.0%,13.80,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,45,82%,0,0%,0,0%,True,Jamaal Williams,False,28,31
2017.0,2017-12-03,12.0,13.0,22.244,GNB,TAM,W 26-20,True,21,113,5.38,1,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,48,87%,0,0%,0,0%,False,Jamaal Williams,True,26,20
2017.0,2017-12-10,13.0,14.0,22.251,GNB,CLE,W 27-21,True,15,49,3.27,1,7,7,69,9.86,1,100.0%,9.86,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,50,66%,0,0%,0,0%,True,Jamaal Williams,True,27,21
2017.0,2017-12-17,14.0,15.0,22.258,GNB,CAR,L 24-31,True,10,30,3.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,42,61%,0,0%,0,0%,True,Jamaal Williams,False,24,31
2017.0,2017-12-23,15.0,16.0,22.264,GNB,MIN,L 0-16,True,15,58,3.87,0,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,93%,0,0%,0,0%,False,Jamaal Williams,False,0,16
2017.0,2017-12-31,16.0,17.0,22.272,GNB,DET,L 11-35,True,22,82,3.73,0,5,3,31,10.33,0,60.0%,6.20,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,82%,0,0%,0,0%,True,Jamaal Williams,False,11,35
2018.0,2018-09-09,1.0,1.0,23.159,GNB,CHI,W 24-23,True,15,47,3.13,0,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,37,62%,0,0%,0,0%,False,Jamaal Williams,True,24,23
2018.0,2018-09-16,2.0,2.0,23.166,GNB,MIN,T 29-29,True,16,59,3.69,0,4,3,12,4.00,0,75.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,61%,0,0%,0,0%,False,Jamaal Williams,False,29,29
2018.0,2018-09-23,3.0,3.0,23.173,GNB,WAS,L 17-31,True,5,29,5.80,0,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,30,43%,0,0%,0,0%,True,Jamaal Williams,False,17,31
2018.0,2018-09-30,4.0,4.0,23.18,GNB,BUF,W 22-0,True,11,27,2.45,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,37%,0,0%,0,0%,False,Jamaal Williams,True,22,0
2018.0,2018-10-07,5.0,5.0,23.187,GNB,DET,L 23-31,True,6,33,5.50,0,4,2,19,9.50,0,50.0%,4.75,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,33,41%,0,0%,3,11%,True,Jamaal Williams,False,23,31
2018.0,2018-10-15,6.0,6.0,23.195,GNB,SFO,W 33-30,False,6,29,4.83,0,3,1,10,10.00,0,33.3%,3.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,38%,0,0%,3,9%,False,Jamaal Williams,True,33,30
2018.0,2018-10-28,7.0,8.0,23.208,GNB,LAR,L 27-29,False,4,9,2.25,1,1,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,13,25%,0,0%,4,12%,True,Jamaal Williams,False,27,29
2018.0,2018-11-04,8.0,9.0,23.215,GNB,NWE,L 17-31,False,7,34,4.86,0,2,2,20,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,31,42%,0,0%,4,15%,True,Jamaal Williams,False,17,31
2018.0,2018-11-11,9.0,10.0,23.222,GNB,MIA,W 31-12,False,3,3,1.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,25%,0,0%,5,19%,False,Jamaal Williams,True,31,12
2018.0,2018-11-15,10.0,11.0,23.226,GNB,SEA,L 24-27,False,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,4,8%,0,0%,6,19%,True,Jamaal Williams,False,24,27
2018.0,2018-11-25,11.0,12.0,23.236,GNB,MIN,L 17-24,False,1,5,5.00,0,0,0,0,,0,0.0%,,1,23,23.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,13,25%,0,0%,9,32%,True,Jamaal Williams,False,17,24
2018.0,2018-12-02,12.0,13.0,23.243,GNB,ARI,L 17-20,False,7,13,1.86,0,4,4,14,3.50,0,100.0%,3.50,3,72,24.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,50%,0,0%,6,19%,False,Jamaal Williams,False,17,20
2018.0,2018-12-09,13.0,14.0,23.25,GNB,ATL,W 34-20,True,4,17,4.25,0,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,37%,0,0%,8,29%,False,Jamaal Williams,True,34,20
2018.0,2018-12-16,14.0,15.0,23.257,GNB,CHI,L 17-24,False,12,55,4.58,1,5,4,42,10.50,0,80.0%,8.40,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,87%,0,0%,2,7%,True,Jamaal Williams,False,17,24
2018.0,2018-12-23,15.0,16.0,23.264,GNB,NYJ,W 44-38,True,15,95,6.33,1,9,6,61,10.17,0,66.7%,6.78,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,85,94%,0,0%,0,0%,True,Jamaal Williams,True,44,38
2018.0,2018-12-30,16.0,17.0,23.271,GNB,DET,L 0-31,True,8,4,0.50,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,39,70%,0,0%,0,0%,False,Jamaal Williams,False,0,31
2019.0,2019-09-05,1.0,1.0,24.155,GNB,CHI,W 10-3,False,5,0,0.00,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,24,39%,0,0%,13,52%,True,Jamaal Williams,True,10,3
2019.0,2019-09-15,2.0,2.0,24.165,GNB,MIN,W 21-16,False,9,28,3.11,0,4,3,13,4.33,1,75.0%,3.25,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,32,45%,0,0%,12,42%,False,Jamaal Williams,True,21,16
