Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2007,2007-10-21,7,7,,SEA,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,33,6,Deion Branch
2007,2007-11-04,8,9,,SEA,CLE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,30,33,Deion Branch
2007,2007-11-12,9,10,,SEA,SFO,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,0,Deion Branch
2007,2007-11-18,10,11,28.123,SEA,CHI,True,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,30,23,Deion Branch
2007,2007-11-25,11,12,28.130,SEA,STL,True,10,5,92,18.40,1,50.0%,9.20,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,True,24,19,Deion Branch
2007,2007-12-02,12,13,28.137,SEA,PHI,True,10,5,40,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,True,True,28,24,Deion Branch
2007,2007-12-09,13,14,28.144,SEA,ARI,True,4,3,52,17.33,1,75.0%,13.00,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,False,True,42,21,Deion Branch
2007,2007-12-16,14,15,28.151,SEA,CAR,True,12,8,79,9.88,1,66.7%,6.58,0,0,,0,0,0,,0,0,0,,0,1,6,0,,0,0,0,0,,,,,,,True,False,10,13,Deion Branch
2007,2007-12-23,15,16,28.158,SEA,BAL,True,6,2,24,12.00,0,33.3%,4.00,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,False,True,27,6,Deion Branch
2007,2007-12-30,16,17,,SEA,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,41,44,Deion Branch
