Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2014,2014-09-07,1,1,21.017,TAM,,CAR,L 14-20,True,9,5,37,7.40,0,55.6%,4.11,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,95%,0,0%,0,0%,False,Mike Evans
2014,2014-09-14,2,2,21.024,TAM,,STL,L 17-19,True,4,4,49,12.25,0,100.0%,12.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,89%,0,0%,0,0%,False,Mike Evans
2014,2014-09-18,3,3,21.028,TAM,@,ATL,L 14-56,True,7,4,52,13.00,0,57.1%,7.43,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,67%,0,0%,0,0%,True,Mike Evans
2014,2014-09-28,4,4,21.038,TAM,@,PIT,W 27-24,True,7,4,65,16.25,1,57.1%,9.29,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,34,52%,0,0%,0,0%,True,Mike Evans
2014,2014-10-05,5,5,,TAM,@,NOR,L 31-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Mike Evans
2014,2014-10-12,6,6,21.052,TAM,,BAL,L 17-48,True,8,4,55,13.75,1,50.0%,6.88,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,79%,0,0%,0,0%,False,Mike Evans
2014,2014-10-26,7,8,21.066,TAM,,MIN,L 13-19,True,7,4,78,19.50,0,57.1%,11.14,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,87%,0,0%,0,0%,False,Mike Evans
2014,2014-11-02,8,9,21.073,TAM,@,CLE,L 17-22,True,11,7,124,17.71,2,63.6%,11.27,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,52,80%,0,0%,0,0%,True,Mike Evans
2014,2014-11-09,9,10,21.080,TAM,,ATL,L 17-27,True,9,7,125,17.86,1,77.8%,13.89,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,61,85%,0,0%,0,0%,False,Mike Evans
2014,2014-11-16,10,11,21.087,TAM,@,WAS,W 27-7,True,9,7,209,29.86,2,77.8%,23.22,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,47,94%,0,0%,0,0%,True,Mike Evans
2014,2014-11-23,11,12,21.094,TAM,@,CHI,L 13-21,True,11,3,47,15.67,1,27.3%,4.27,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,74,97%,0,0%,0,0%,True,Mike Evans
2014,2014-11-30,12,13,21.101,TAM,,CIN,L 13-14,True,8,4,49,12.25,0,50.0%,6.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,91%,0,0%,0,0%,False,Mike Evans
2014,2014-12-07,13,14,21.108,TAM,@,DET,L 17-34,True,11,4,45,11.25,2,36.4%,4.09,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,61,95%,0,0%,0,0%,True,Mike Evans
2014,2014-12-14,14,15,21.115,TAM,@,CAR,L 17-19,True,8,2,13,6.50,1,25.0%,1.63,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,53,96%,0,0%,0,0%,True,Mike Evans
2014,2014-12-21,15,16,21.122,TAM,,GNB,L 3-20,True,7,4,49,12.25,0,57.1%,7.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,92%,0,0%,0,0%,False,Mike Evans
2014,2014-12-28,16,17,21.129,TAM,,NOR,L 20-23,True,6,5,54,10.80,1,83.3%,9.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,32,48%,0,0%,0,0%,False,Mike Evans
2015,2015-09-13,1,1,,TAM,,TEN,L 14-42,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Mike Evans
2015,2015-09-20,2,2,22.030,TAM,@,NOR,W 26-19,False,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,61%,0,0%,0,0%,True,Mike Evans
2015,2015-09-27,3,3,22.037,TAM,@,HOU,L 9-19,True,17,7,101,14.43,0,41.2%,5.94,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,49,83%,0,0%,0,0%,True,Mike Evans
2015,2015-10-04,4,4,22.044,TAM,,CAR,L 23-37,True,8,3,32,10.67,0,37.5%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,91%,0,0%,0,0%,False,Mike Evans
2015,2015-10-11,5,5,22.051,TAM,,JAX,W 38-31,True,5,3,41,13.67,0,60.0%,8.20,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,61%,0,0%,1,3%,False,Mike Evans
2015,2015-10-25,6,7,22.065,TAM,@,WAS,L 30-31,True,12,8,164,20.50,1,66.7%,13.67,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,75%,0,0%,0,0%,True,Mike Evans
2015,2015-11-01,7,8,22.072,TAM,@,ATL,W 23-20,True,9,3,48,16.00,0,33.3%,5.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,74%,0,0%,0,0%,True,Mike Evans
2015,2015-11-08,8,9,22.079,TAM,,NYG,L 18-32,True,19,8,150,18.75,0,42.1%,7.89,0,0,,0,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,57,90%,0,0%,0,0%,False,Mike Evans
2015,2015-11-15,9,10,22.086,TAM,,DAL,W 10-6,True,13,8,126,15.75,0,61.5%,9.69,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,89%,0,0%,0,0%,False,Mike Evans
2015,2015-11-22,10,11,22.093,TAM,@,PHI,W 45-17,True,7,4,63,15.75,1,57.1%,9.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,64,82%,0,0%,1,3%,True,Mike Evans
2015,2015-11-29,11,12,22.100,TAM,@,IND,L 12-25,True,10,5,64,12.80,0,50.0%,6.40,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,96%,0,0%,0,0%,True,Mike Evans
2015,2015-12-06,12,13,22.107,TAM,,ATL,W 23-19,True,7,5,61,12.20,1,71.4%,8.71,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,62,87%,0,0%,0,0%,False,Mike Evans
2015,2015-12-13,13,14,22.114,TAM,,NOR,L 17-24,True,4,3,39,13.00,0,75.0%,9.75,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,95%,0,0%,0,0%,False,Mike Evans
2015,2015-12-17,14,15,22.118,TAM,@,STL,L 23-31,True,17,9,157,17.44,0,52.9%,9.24,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,74,91%,0,0%,1,3%,True,Mike Evans
2015,2015-12-27,15,16,22.128,TAM,,CHI,L 21-26,True,8,4,61,15.25,0,50.0%,7.63,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,91%,0,0%,1,3%,False,Mike Evans
2015,2016-01-03,16,17,22.135,TAM,@,CAR,L 10-38,True,9,4,99,24.75,0,44.4%,11.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,92%,0,0%,0,0%,True,Mike Evans
2016,2016-09-11,1,1,23.021,TAM,@,ATL,W 31-24,True,7,5,99,19.80,1,71.4%,14.14,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,86%,0,0%,0,0%,True,Mike Evans
2016,2016-09-18,2,2,23.028,TAM,@,ARI,L 7-40,True,18,6,70,11.67,1,33.3%,3.89,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,87%,0,0%,0,0%,True,Mike Evans
2016,2016-09-25,3,3,23.035,TAM,,LAR,L 32-37,True,14,10,132,13.20,1,71.4%,9.43,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,78,87%,0,0%,0,0%,False,Mike Evans
2016,2016-10-02,4,4,23.042,TAM,,DEN,L 7-27,True,11,5,59,11.80,0,45.5%,5.36,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,87%,0,0%,0,0%,False,Mike Evans
2016,2016-10-10,5,5,23.050,TAM,@,CAR,W 17-14,True,12,6,89,14.83,1,50.0%,7.42,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,64,88%,0,0%,0,0%,True,Mike Evans
2016,2016-10-23,6,7,23.063,TAM,@,SFO,W 34-17,True,13,8,96,12.00,2,61.5%,7.38,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,57,76%,0,0%,0,0%,True,Mike Evans
2016,2016-10-30,7,8,23.070,TAM,,OAK,L 24-30,True,11,4,50,12.50,0,36.4%,4.55,0,0,,0,1,0,2,0.0,0,0,0,,,0,0,0,0,0,0,60,88%,0,0%,0,0%,False,Mike Evans
2016,2016-11-03,8,9,23.074,TAM,,ATL,L 28-43,True,17,11,150,13.64,2,64.7%,8.82,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,50,62%,0,0%,0,0%,False,Mike Evans
2016,2016-11-13,9,10,23.084,TAM,,CHI,W 36-10,True,5,4,66,16.50,0,80.0%,13.20,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,85%,0,0%,0,0%,False,Mike Evans
2016,2016-11-20,10,11,23.091,TAM,@,KAN,W 19-17,True,13,6,105,17.50,0,46.2%,8.08,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,83%,1,2%,0,0%,True,Mike Evans
2016,2016-11-27,11,12,23.098,TAM,,SEA,W 14-5,True,11,8,104,13.00,2,72.7%,9.45,0,0,,0,,2,12,0.0,0,0,0,,,0,0,0,0,0,0,55,82%,0,0%,0,0%,False,Mike Evans
2016,2016-12-04,12,13,23.105,TAM,@,SDG,W 28-21,True,6,3,38,12.67,0,50.0%,6.33,0,0,,0,1,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,56,86%,0,0%,0,0%,True,Mike Evans
2016,2016-12-11,13,14,23.112,TAM,,NOR,W 16-11,True,8,4,42,10.50,0,50.0%,5.25,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,77%,0,0%,0,0%,False,Mike Evans
2016,2016-12-18,14,15,23.119,TAM,@,DAL,L 20-26,True,8,4,59,14.75,0,50.0%,7.38,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,52,85%,0,0%,0,0%,True,Mike Evans
2016,2016-12-24,15,16,23.125,TAM,@,NOR,L 24-31,True,8,7,97,13.86,1,87.5%,12.13,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,90%,0,0%,0,0%,True,Mike Evans
2016,2017-01-01,16,17,23.133,TAM,,CAR,W 17-16,True,11,5,65,13.00,1,45.5%,5.91,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,86%,0,0%,0,0%,False,Mike Evans
2017,2017-09-17,1,2,24.027,TAM,,CHI,W 29-7,True,9,7,93,13.29,1,77.8%,10.33,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,55,77%,0,0%,0,0%,False,Mike Evans
2017,2017-09-24,2,3,24.034,TAM,@,MIN,L 17-34,True,12,7,67,9.57,0,58.3%,5.58,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,89%,0,0%,0,0%,True,Mike Evans
2017,2017-10-01,3,4,24.041,TAM,,NYG,W 25-23,True,11,5,67,13.40,1,45.5%,6.09,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,59,92%,0,0%,0,0%,False,Mike Evans
2017,2017-10-05,4,5,24.045,TAM,,NWE,L 14-19,True,8,5,49,9.80,0,62.5%,6.13,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,94%,0,0%,0,0%,False,Mike Evans
2017,2017-10-15,5,6,24.055,TAM,@,ARI,L 33-38,True,8,3,95,31.67,1,37.5%,11.88,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,64,91%,0,0%,0,0%,True,Mike Evans
2017,2017-10-22,6,7,24.062,TAM,@,BUF,L 27-30,True,10,7,88,12.57,1,70.0%,8.80,0,0,,0,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,63,88%,0,0%,0,0%,True,Mike Evans
