Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,22.066,CLE,TEN,L 13-43,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,5,233,46.60,0,0,0%,0,0%,8,24%,False,Jamie Gillan,False,13,43
2019.0,2019-09-16,2.0,2.0,22.074,CLE,NYJ,W 23-3,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,231,38.50,0,0,0%,0,0%,11,42%,True,Jamie Gillan,True,23,3
2019.0,2019-09-22,3.0,3.0,22.08,CLE,LAR,L 13-20,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,240,40.00,0,0,0%,0,0%,9,38%,False,Jamie Gillan,False,13,20
2019.0,2019-09-29,4.0,4.0,22.087,CLE,BAL,W 40-25,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,127,42.33,0,0,0%,0,0%,9,32%,True,Jamie Gillan,True,40,25
2019.0,2019-10-07,5.0,5.0,22.095,CLE,SFO,L 3-31,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,397,56.71,0,0,0%,0,0%,8,29%,True,Jamie Gillan,False,3,31
2019.0,2019-10-13,6.0,6.0,22.101,CLE,SEA,L 28-32,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,61,61.00,1,0,0%,0,0%,5,19%,False,Jamie Gillan,False,28,32
2019.0,2019-10-27,7.0,8.0,22.115,CLE,NWE,L 13-27,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,178,44.50,0,0,0%,0,0%,9,29%,True,Jamie Gillan,False,13,27
2019.0,2019-11-03,8.0,9.0,22.122,CLE,DEN,L 19-24,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,160,53.33,0,0,0%,0,0%,8,30%,True,Jamie Gillan,False,19,24
2019.0,2019-11-10,9.0,10.0,22.129,CLE,BUF,W 19-16,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,146,48.67,0,0,0%,0,0%,8,33%,False,Jamie Gillan,True,19,16
2019.0,2019-11-14,10.0,11.0,22.133,CLE,PIT,W 21-7,False,0,0,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,8,366,45.75,0,0,0%,0,0%,13,50%,False,Jamie Gillan,True,21,7
