Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-11,1,1,22.194,KAN,,SDG,W 33-27,False,1,1,9,9.00,1,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,35,11.67,0,1,6,0.0,1,0,1,0,0,0,0,0,0,0,0,10,14%,0,0%,10,29%,False,Tyreek Hill
2016,2016-09-18,2,2,22.201,KAN,@,HOU,L 12-19,False,2,2,8,4.00,0,100.0%,4.00,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,3,83,27.67,0,4,63,15.75,0,0,0,0.0,1,1,2,0,0,0,0,0,0,0,0,7,11%,0,0%,15,47%,True,Tyreek Hill
2016,2016-09-25,3,3,22.208,KAN,,NYJ,W 24-3,False,4,3,26,8.67,0,75.0%,6.50,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,2,21,10.50,0,2,29,14.50,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,12,19%,0,0%,8,44%,False,Tyreek Hill
2016,2016-10-02,4,4,22.215,KAN,@,PIT,L 14-43,False,7,5,24,4.80,1,71.4%,3.43,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,2,54,27.00,0,2,20,10.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,24%,0,0%,15,52%,True,Tyreek Hill
2016,2016-10-16,5,6,22.229,KAN,@,OAK,W 26-10,False,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,1,50,50.00,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,18,28%,0,0%,8,35%,True,Tyreek Hill
2016,2016-10-23,6,7,22.236,KAN,,NOR,W 27-21,False,1,1,38,38.00,1,100.0%,38.00,2,23,11.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,18,35%,0,0%,12,46%,False,Tyreek Hill
2016,2016-10-30,7,8,22.243,KAN,@,IND,W 30-14,False,6,5,98,19.60,1,83.3%,16.33,1,7,7.00,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,3,57,19.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,21,28%,0,0%,13,41%,True,Tyreek Hill
2016,2016-11-06,8,9,22.250,KAN,,JAX,W 19-14,False,5,3,11,3.67,0,60.0%,2.20,2,21,10.50,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,2,46,23.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,59%,0,0%,8,29%,False,Tyreek Hill
2016,2016-11-13,9,10,22.257,KAN,@,CAR,W 20-17,False,13,10,89,8.90,0,76.9%,6.85,1,12,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,27,9.00,0,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,39,61%,0,0%,5,19%,True,Tyreek Hill
2016,2016-11-20,10,11,22.264,KAN,,TAM,L 17-19,False,5,4,53,13.25,0,80.0%,10.60,1,8,8.00,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,1,20,20.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,36,68%,0,0%,4,17%,False,Tyreek Hill
2016,2016-11-27,11,12,22.271,KAN,@,DEN,W 30-27,False,10,9,52,5.78,1,90.0%,5.20,1,3,3.00,1,0,0,,0,0,0,,0,0,,,1,86,86.00,1,2,28,14.00,0,3,18,0.0,0,0,0,,,0,0,0,0,0,0,57,67%,0,0%,9,22%,True,Tyreek Hill
2016,2016-12-04,12,13,22.278,KAN,@,ATL,W 29-28,True,6,5,53,10.60,0,83.3%,8.83,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-1,-1.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,51%,0,0%,1,4%,True,Tyreek Hill
2016,2016-12-08,13,14,22.282,KAN,,OAK,W 21-13,False,6,6,66,11.00,1,100.0%,11.00,1,2,2.00,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,6,99,16.50,1,2,12,0.0,1,0,1,0,0,1,1,0,0,0,0,25,45%,0,0%,10,34%,False,Tyreek Hill
2016,2016-12-18,14,15,22.292,KAN,,TEN,L 17-19,False,3,0,0,,0,0.0%,0.00,1,68,68.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,3,3,1.00,0,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,30,52%,0,0%,5,21%,False,Tyreek Hill
2016,2016-12-25,15,16,22.299,KAN,,DEN,W 33-10,False,5,0,0,,0,0.0%,0.00,6,95,15.83,1,0,0,,0,0,0,,0,0,,,1,17,17.00,0,4,21,5.25,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,28,37%,0,0%,8,26%,False,Tyreek Hill
2016,2017-01-01,16,17,22.306,KAN,@,SDG,W 37-27,False,7,5,46,9.20,0,71.4%,6.57,3,15,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,95,95.00,1,1,6,0.0,0,0,0,,,0,0,0,0,0,0,38,62%,0,0%,3,11%,True,Tyreek Hill
2017,2017-09-07,1,1,23.190,KAN,@,NWE,W 42-27,False,8,7,133,19.00,1,87.5%,16.63,2,5,2.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,50,74%,0,0%,4,11%,True,Tyreek Hill
2017,2017-09-17,2,2,23.200,KAN,,PHI,W 27-20,True,6,4,43,10.75,0,66.7%,7.17,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,89%,0,0%,4,13%,False,Tyreek Hill
2017,2017-09-24,3,3,23.207,KAN,@,LAC,W 24-10,True,8,5,77,15.40,1,62.5%,9.63,3,13,4.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,39,74%,0,0%,5,19%,True,Tyreek Hill
2017,2017-10-02,4,4,23.215,KAN,,WAS,W 29-20,True,6,5,35,7.00,0,83.3%,5.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,58,76%,0,0%,4,14%,False,Tyreek Hill
2017,2017-10-08,5,5,23.221,KAN,@,HOU,W 42-34,True,6,4,68,17.00,0,66.7%,11.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,75,37.50,1,1,6,0.0,0,0,0,,,0,0,0,0,0,0,46,60%,0,0%,4,12%,True,Tyreek Hill
