Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
1996,1996-09-01,1,1,22.269,SFO,NOR,False,,0,0,,0,0.0%,,,,,,0,0,,0,,0,0,0.0,,,,,,,,,,0,,,0,0,0,False,True,27,11,Terrell Owens
1996,1996-09-08,2,2,22.276,SFO,STL,False,,0,0,,0,0.0%,,,,,,0,0,,0,,0,0,0.0,,,,,,,,,,0,,,0,0,0,False,True,34,0,Terrell Owens
1996,1996-09-22,3,4,22.290,SFO,CAR,False,4,2,6,3.00,0,50.0%,1.50,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,False,7,23,Terrell Owens
1996,1996-09-29,4,5,22.297,SFO,ATL,False,1,1,26,26.00,0,100.0%,26.00,0,0,,0,1,17,17.00,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,39,17,Terrell Owens
1996,1996-10-06,5,6,22.304,SFO,STL,False,1,0,0,,0,0.0%,0.00,0,0,,0,1,18,18.00,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,28,11,Terrell Owens
1996,1996-10-14,6,7,22.312,SFO,GNB,False,1,0,0,,0,0.0%,0.00,,,,,0,0,,0,,0,0,0.0,,,,,,,,,,0,,,0,0,0,True,False,20,23,Terrell Owens
1996,1996-10-20,7,8,22.318,SFO,CIN,True,6,4,94,23.50,1,66.7%,15.67,0,0,,0,1,12,12.00,0,,1,6,0.0,,,,,,0,0,0,0,1,1,0,0,0,0,False,True,28,21,Terrell Owens
1996,1996-10-27,8,9,22.325,SFO,HOU,True,8,4,42,10.50,1,50.0%,5.25,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,10,9,Terrell Owens
1996,1996-11-03,9,10,22.332,SFO,NOR,True,5,2,26,13.00,0,40.0%,5.20,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,24,17,Terrell Owens
1996,1996-11-10,10,11,22.339,SFO,DAL,True,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,False,17,20,Terrell Owens
1996,1996-11-17,11,12,22.346,SFO,BAL,True,4,4,68,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,38,20,Terrell Owens
1996,1996-11-24,12,13,22.353,SFO,WAS,True,3,3,39,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,19,16,Terrell Owens
1996,1996-12-02,13,14,22.361,SFO,ATL,True,9,5,55,11.00,0,55.6%,6.11,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,34,10,Terrell Owens
1996,1996-12-08,14,15,23.001,SFO,CAR,True,7,5,110,22.00,1,71.4%,15.71,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,False,24,30,Terrell Owens
1996,1996-12-15,15,16,23.008,SFO,PIT,True,5,3,45,15.00,1,60.0%,9.00,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,25,15,Terrell Owens
1996,1996-12-23,16,17,23.016,SFO,DET,True,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,24,14,Terrell Owens
1997,1997-08-31,1,1,23.267,SFO,TAM,False,1,1,12,12.00,0,100.0%,12.00,0,0,,0,2,31,15.50,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,False,6,13,Terrell Owens
1997,1997-09-07,2,2,23.274,SFO,STL,True,11,2,24,12.00,0,18.2%,2.18,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,15,12,Terrell Owens
1997,1997-09-14,3,3,23.281,SFO,NOR,True,4,3,74,24.67,0,75.0%,18.50,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,1,0,0,1,0,0,False,True,33,7,Terrell Owens
1997,1997-09-21,4,4,23.288,SFO,ATL,True,5,1,56,56.00,1,20.0%,11.20,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,34,7,Terrell Owens
1997,1997-09-29,5,5,23.296,SFO,CAR,True,7,5,48,9.60,1,71.4%,6.86,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,34,21,Terrell Owens
1997,1997-10-12,6,7,23.309,SFO,STL,True,8,5,86,17.20,2,62.5%,10.75,0,0,,0,0,0,,0,,2,12,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,30,10,Terrell Owens
1997,1997-10-19,7,8,23.316,SFO,ATL,True,7,6,93,15.50,2,85.7%,13.29,0,0,,0,0,0,,0,,2,12,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,35,28,Terrell Owens
1997,1997-10-26,8,9,23.323,SFO,NOR,True,12,7,94,13.43,0,58.3%,7.83,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,23,0,Terrell Owens
1997,1997-11-02,9,10,23.330,SFO,DAL,True,6,3,57,19.00,0,50.0%,9.50,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,17,10,Terrell Owens
1997,1997-11-10,10,11,23.338,SFO,PHI,True,3,3,50,16.67,0,100.0%,16.67,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,24,12,Terrell Owens
1997,1997-11-16,11,12,23.344,SFO,CAR,True,4,3,40,13.33,0,75.0%,10.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,27,19,Terrell Owens
1997,1997-11-23,12,13,23.351,SFO,SDG,True,8,4,84,21.00,1,50.0%,10.50,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,17,10,Terrell Owens
1997,1997-11-30,13,14,23.358,SFO,KAN,True,8,6,68,11.33,0,75.0%,8.50,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,False,9,44,Terrell Owens
1997,1997-12-07,14,15,24.000,SFO,MIN,True,7,6,74,12.33,1,85.7%,10.57,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,28,17,Terrell Owens
1997,1997-12-15,15,16,24.008,SFO,DEN,True,6,3,39,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,34,17,Terrell Owens
1997,1997-12-21,16,17,24.014,SFO,SEA,True,6,2,37,18.50,0,33.3%,6.17,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,False,9,38,Terrell Owens
1998,1998-09-06,1,1,24.273,SFO,NYJ,True,5,3,60,20.00,0,60.0%,12.00,0,0,,0,0,0,,0,,0,0,0.0,,,,,,0,0,0,0,0,,0,0,0,0,False,True,36,30,Terrell Owens
1998,1998-09-14,2,2,24.281,SFO,WAS,True,6,4,67,16.75,1,66.7%,11.17,0,0,,0,0,0,,0,,1,6,0.0,,,,,,0,0,0,0,0,,0,0,0,0,True,True,45,10,Terrell Owens
