Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,22.082,WAS,PHI,W 27-17,True,9,36,4.00,0,2,2,8,4.00,0,100.0%,4.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,18,26%,0,0%,0,0%,False,Antonio Gibson,True,27,17
2020.0,2020-09-20,2.0,2.0,22.089,WAS,ARI,L 15-30,True,13,55,4.23,1,2,1,-3,-3.00,0,50.0%,-1.50,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,43,65%,0,0%,0,0%,True,Antonio Gibson,False,15,30
2020.0,2020-09-27,3.0,3.0,22.096,WAS,CLE,L 20-34,False,9,49,5.44,1,3,3,11,3.67,0,100.0%,3.67,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,25,39%,0,0%,0,0%,True,Antonio Gibson,False,20,34
2020.0,2020-10-04,4.0,4.0,22.103,WAS,BAL,L 17-31,False,13,46,3.54,1,5,4,82,20.50,0,80.0%,16.40,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,31,44%,0,0%,0,0%,False,Antonio Gibson,False,17,31
2020.0,2020-10-11,5.0,5.0,22.11,WAS,LAR,L 10-30,True,11,27,2.45,0,5,5,24,4.80,0,100.0%,4.80,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,56%,0,0%,0,0%,False,Antonio Gibson,False,10,30
2020.0,2020-10-18,6.0,6.0,22.117,WAS,NYG,L 19-20,True,9,30,3.33,0,5,4,25,6.25,0,80.0%,5.00,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,37%,0,0%,0,0%,True,Antonio Gibson,False,19,20
2020.0,2020-10-25,7.0,7.0,22.124,WAS,DAL,W 25-3,False,20,128,6.40,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,48%,0,0%,0,0%,False,Antonio Gibson,True,25,3
2020.0,2020-11-08,8.0,9.0,22.138,WAS,NYG,L 20-23,True,6,20,3.33,1,3,3,35,11.67,0,100.0%,11.67,,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,25,46%,0,0%,0,0%,False,Antonio Gibson,False,20,23
2020.0,2020-11-15,9.0,10.0,22.145,WAS,DET,L 27-30,False,13,45,3.46,2,4,4,20,5.00,0,100.0%,5.00,,2,12,0.0,0,0,0,0,0,0,0,0,0,0,0,33,38%,0,0%,0,0%,True,Antonio Gibson,False,27,30
2020.0,2020-11-22,10.0,11.0,22.152,WAS,CIN,W 20-9,True,16,94,5.88,1,2,1,10,10.00,0,50.0%,5.00,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,33,53%,0,0%,0,0%,False,Antonio Gibson,True,20,9
2020.0,2020-11-26,11.0,12.0,22.156,WAS,DAL,W 41-16,True,20,115,5.75,3,7,5,21,4.20,0,71.4%,3.00,,3,18,0.0,0,0,0,0,0,0,0,0,0,0,0,45,65%,0,0%,0,0%,True,Antonio Gibson,True,41,16
2020.0,2020-12-07,12.0,13.0,22.167,WAS,PIT,W 23-17,True,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,4,6%,0,0%,0,0%,True,Antonio Gibson,True,23,17
