Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-11,1.0,1.0,21.301,CIN,NYJ,W 23-22,False,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,44,77%,0,0%,0,0%,True,Tyler Boyd,True,23,22
2016.0,2016-09-18,2.0,2.0,21.308,CIN,PIT,L 16-24,False,8,6,78,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,1,1,0,0,0,0,60,79%,0,0%,0,0%,True,Tyler Boyd,False,16,24
2016.0,2016-09-25,3.0,3.0,21.315,CIN,DEN,L 17-29,False,4,3,18,6.00,0,75.0%,4.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,36%,0,0%,0,0%,False,Tyler Boyd,False,17,29
2016.0,2016-09-29,4.0,4.0,21.319,CIN,MIA,W 22-7,False,3,1,10,10.00,0,33.3%,3.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,40%,0,0%,0,0%,False,Tyler Boyd,True,22,7
2016.0,2016-10-09,5.0,5.0,21.329,CIN,DAL,L 14-28,False,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,50,71%,0,0%,0,0%,True,Tyler Boyd,False,14,28
2016.0,2016-10-16,6.0,6.0,21.336,CIN,NWE,L 17-35,False,5,4,79,19.75,0,80.0%,15.80,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,81%,0,0%,0,0%,True,Tyler Boyd,False,17,35
2016.0,2016-10-23,7.0,7.0,21.343,CIN,CLE,W 31-17,False,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,41,67%,0,0%,0,0%,False,Tyler Boyd,True,31,17
2016.0,2016-10-30,8.0,8.0,21.35,CIN,WAS,T 27-27,False,7,5,38,7.60,0,71.4%,5.43,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,82%,0,0%,0,0%,False,Tyler Boyd,False,27,27
2016.0,2016-11-14,9.0,10.0,21.365,CIN,NYG,L 20-21,False,4,2,12,6.00,0,50.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,55%,0,0%,0,0%,True,Tyler Boyd,False,20,21
2016.0,2016-11-20,10.0,11.0,22.005,CIN,BUF,L 12-16,False,8,6,54,9.00,1,75.0%,6.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,54,74%,0,0%,0,0%,False,Tyler Boyd,False,12,16
