Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2019.0,2019-09-08,1.0,1.0,22.067,DET,ARI,T 27-27,True,9,6,131,21.83,1,66.7%,14.56,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,71%,0,0%,0,0%,True,T.J. Hockenson,False,27,27
2019.0,2019-09-15,2.0,2.0,22.074,DET,LAC,W 13-10,True,3,1,7,7.00,0,33.3%,2.33,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,78%,0,0%,0,0%,False,T.J. Hockenson,True,13,10
2019.0,2019-09-22,3.0,3.0,22.081,DET,PHI,W 27-24,False,4,1,1,1.00,0,25.0%,0.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,39,64%,0,0%,0,0%,True,T.J. Hockenson,True,27,24
2019.0,2019-09-29,4.0,4.0,22.088,DET,KAN,L 30-34,True,3,3,27,9.00,1,100.0%,9.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,41,54%,0,0%,0,0%,False,T.J. Hockenson,False,30,34
2019.0,2019-10-14,5.0,6.0,22.103,DET,GNB,L 22-23,True,6,4,21,5.25,0,66.7%,3.50,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,56%,0,0%,0,0%,True,T.J. Hockenson,False,22,23
2019.0,2019-10-20,6.0,7.0,22.109,DET,MIN,L 30-42,True,5,3,32,10.67,0,60.0%,6.40,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,51,68%,0,0%,0,0%,False,T.J. Hockenson,False,30,42
2019.0,2019-10-27,7.0,8.0,22.116,DET,NYG,W 31-26,False,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,66%,0,0%,1,4%,False,T.J. Hockenson,True,31,26
2019.0,2019-11-03,8.0,9.0,22.123,DET,OAK,L 24-31,False,7,3,56,18.67,0,42.9%,8.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,45,65%,0,0%,0,0%,True,T.J. Hockenson,False,24,31
2019.0,2019-11-10,9.0,10.0,22.13,DET,CHI,L 13-20,True,6,3,47,15.67,0,50.0%,7.83,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,57%,0,0%,0,0%,True,T.J. Hockenson,False,13,20
2019.0,2019-11-17,10.0,11.0,22.137,DET,DAL,L 27-35,False,2,1,6,6.00,0,50.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,47,76%,0,0%,1,3%,False,T.J. Hockenson,False,27,35
2019.0,2019-11-24,11.0,12.0,22.144,DET,WAS,L 16-19,False,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,33,45%,0,0%,0,0%,True,T.J. Hockenson,False,16,19
2019.0,2019-11-28,12.0,13.0,22.148,DET,CHI,L 20-24,True,11,6,18,3.00,0,54.5%,1.64,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,43,58%,0,0%,0,0%,False,T.J. Hockenson,False,20,24
2019.0,2019-12-08,13.0,14.0,,DET,MIN,L 7-20,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,T.J. Hockenson,False,7,20
2019.0,2019-12-15,14.0,15.0,,DET,TAM,L 17-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,T.J. Hockenson,False,17,38
