Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-11,1,1,22.278,WAS,NYG,False,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,28,14,Roy Helu
2011,2011-09-18,2,2,22.285,WAS,ARI,False,10,74,7.40,0,4,3,38,12.67,0,75.0%,9.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,22,21,Roy Helu
2011,2011-09-26,3,3,22.293,WAS,DAL,False,5,15,3.00,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,16,18,Roy Helu
2011,2011-10-02,4,4,22.299,WAS,STL,False,8,35,4.38,0,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,10,Roy Helu
2011,2011-10-16,5,6,22.313,WAS,PHI,False,2,6,3.00,0,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,20,Roy Helu
2011,2011-10-23,6,7,22.320,WAS,CAR,False,1,-1,-1.00,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,33,Roy Helu
2011,2011-10-30,7,8,22.327,WAS,BUF,False,0,0,,0,4,3,20,6.67,0,75.0%,5.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,0,23,Roy Helu
2011,2011-11-06,8,9,22.334,WAS,SFO,True,10,41,4.10,0,16,14,105,7.50,0,87.5%,6.56,0,0,,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,11,19,Roy Helu
2011,2011-11-13,9,10,22.341,WAS,MIA,False,6,41,6.83,0,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,9,20,Roy Helu
2011,2011-11-20,10,11,22.348,WAS,DAL,False,8,35,4.38,0,2,2,3,1.50,0,100.0%,1.50,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,27,Roy Helu
2011,2011-11-27,11,12,22.355,WAS,SEA,True,23,108,4.70,1,7,7,54,7.71,0,100.0%,7.71,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,17,Roy Helu
2011,2011-12-04,12,13,22.362,WAS,NYJ,True,23,100,4.35,1,6,4,42,10.50,0,66.7%,7.00,0,0,,0,1,6,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,False,False,19,34,Roy Helu
2011,2011-12-11,13,14,23.004,WAS,NWE,True,27,126,4.67,0,3,2,6,3.00,0,66.7%,2.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,False,False,27,34,Roy Helu
2011,2011-12-18,14,15,23.011,WAS,NYG,True,23,53,2.30,0,4,3,16,5.33,0,75.0%,4.00,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,10,Roy Helu
2011,2011-12-24,15,16,,WAS,MIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,26,33,Roy Helu
2011,2012-01-01,16,17,23.025,WAS,PHI,False,4,5,1.25,0,2,2,48,24.00,1,100.0%,24.00,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,34,Roy Helu
2012,2012-09-09,1,1,23.277,WAS,NOR,False,2,2,1.00,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,25%,0,0%,0,0%,True,True,40,32,Roy Helu
2012,2012-09-16,2,2,23.284,WAS,STL,False,0,0,,0,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,6,10%,0,0%,0,0%,True,False,28,31,Roy Helu
2012,2012-09-23,3,3,23.291,WAS,CIN,False,0,0,,0,3,3,20,6.67,0,100.0%,6.67,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,25%,0,0%,0,0%,False,False,31,38,Roy Helu
2012,2012-09-30,4,4,,WAS,TAM,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,24,22,Roy Helu
2012,2012-10-07,5,5,,WAS,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,17,24,Roy Helu
2012,2012-10-14,6,6,,WAS,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,38,26,Roy Helu
2012,2012-10-21,7,7,,WAS,NYG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,23,27,Roy Helu
2012,2012-10-28,8,8,,WAS,PIT,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,12,27,Roy Helu
2012,2012-11-04,9,9,,WAS,CAR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,13,21,Roy Helu
2012,2012-11-18,10,11,,WAS,PHI,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,31,6,Roy Helu
2012,2012-11-22,11,12,,WAS,DAL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,38,31,Roy Helu
2012,2012-12-03,12,13,,WAS,NYG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,17,16,Roy Helu
