Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2009,2009-09-13,1,1,21.108,MIN,CLE,False,4,3,36,12.00,1,75.0%,9.00,2,22,11.00,0,3,99,33.00,0,,1,6,0,,0,0,0,0,,,,,,,True,True,34,20,Percy Harvin
2009,2009-09-20,2,2,21.115,MIN,DET,False,5,5,41,8.20,1,100.0%,8.20,2,14,7.00,0,3,79,26.33,0,,1,6,0,,0,0,0,0,,,,,,,True,True,27,13,Percy Harvin
2009,2009-09-27,3,3,21.122,MIN,SFO,False,9,4,51,12.75,0,44.4%,5.67,1,-8,-8.00,0,4,180,45.00,1,,1,6,1,0,0,0,0,0,,,,,,,False,True,27,24,Percy Harvin
2009,2009-10-05,4,4,21.130,MIN,GNB,True,2,2,39,19.50,0,100.0%,19.50,0,0,,0,3,52,17.33,0,,0,0,0,,0,0,0,0,,,,,,,False,True,30,23,Percy Harvin
2009,2009-10-11,5,5,21.136,MIN,STL,True,5,4,66,16.50,0,80.0%,13.20,0,0,,0,1,27,27.00,0,,0,0,0,,0,0,0,0,,,,,,,True,True,38,10,Percy Harvin
2009,2009-10-18,6,6,21.143,MIN,BAL,False,4,2,10,5.00,0,50.0%,2.50,1,2,2.00,0,4,81,20.25,0,,0,0,0,,0,0,0,0,,,,,,,False,True,33,31,Percy Harvin
2009,2009-10-25,7,7,21.150,MIN,PIT,True,10,3,42,14.00,0,30.0%,4.20,1,7,7.00,0,5,167,33.40,1,,1,6,0,,0,0,0,0,,,,,,,True,False,17,27,Percy Harvin
2009,2009-11-01,8,8,21.157,MIN,GNB,False,7,5,84,16.80,1,71.4%,12.00,1,2,2.00,0,5,175,35.00,0,,1,6,0,,0,0,0,0,,,,,,,True,True,38,26,Percy Harvin
2009,2009-11-15,9,10,21.171,MIN,DET,True,4,3,53,17.67,0,75.0%,13.25,1,7,7.00,0,1,29,29.00,0,,0,0,0,,0,0,0,0,,,,,,,False,True,27,10,Percy Harvin
2009,2009-11-22,10,11,21.178,MIN,SEA,True,5,5,79,15.80,1,100.0%,15.80,0,0,,0,2,35,17.50,0,,1,6,0,,0,0,0,0,,,,,,,False,True,35,9,Percy Harvin
