Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2016.0,2016-09-12,1.0,1.0,23.255,LAR,SFO,L 0-28,False,4,1,2,2.00,0,25.0%,0.50,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,34%,0,0%,0,0%,True,Tyler Higbee,False,0,28
2016.0,2016-09-18,2.0,2.0,23.261,LAR,SEA,W 9-3,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,42%,0,0%,0,0%,False,Tyler Higbee,True,9,3
2016.0,2016-09-25,3.0,3.0,23.268,LAR,TAM,W 37-32,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,21,32%,0,0%,4,13%,True,Tyler Higbee,True,37,32
2016.0,2016-10-02,4.0,4.0,23.275,LAR,ARI,W 17-13,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,31%,0,0%,0,0%,True,Tyler Higbee,True,17,13
2016.0,2016-10-09,5.0,5.0,23.282,LAR,BUF,L 19-30,False,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,32,48%,0,0%,0,0%,False,Tyler Higbee,False,19,30
2016.0,2016-10-16,6.0,6.0,23.289,LAR,DET,L 28-31,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,33%,0,0%,0,0%,True,Tyler Higbee,False,28,31
2016.0,2016-10-23,7.0,7.0,23.296,LAR,NYG,L 10-17,False,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,29,37%,0,0%,0,0%,False,Tyler Higbee,False,10,17
2016.0,2016-11-06,8.0,9.0,23.31,LAR,CAR,L 10-13,True,7,1,31,31.00,0,14.3%,4.43,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,46%,0,0%,0,0%,False,Tyler Higbee,False,10,13
2016.0,2016-11-13,9.0,10.0,23.317,LAR,NYJ,W 9-6,True,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,36%,0,0%,2,8%,True,Tyler Higbee,True,9,6
2016.0,2016-11-20,10.0,11.0,23.324,LAR,MIA,L 10-14,True,3,2,4,2.00,0,66.7%,1.33,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,24,39%,0,0%,5,17%,False,Tyler Higbee,False,10,14
2016.0,2016-11-27,11.0,12.0,23.331,LAR,NOR,L 21-49,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,23,43%,0,0%,7,22%,True,Tyler Higbee,False,21,49
2016.0,2016-12-04,12.0,13.0,23.338,LAR,NWE,L 10-26,False,4,2,16,8.00,0,50.0%,4.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,28,55%,0,0%,1,3%,True,Tyler Higbee,False,10,26
2016.0,2016-12-11,13.0,14.0,23.345,LAR,ATL,L 14-42,False,4,1,8,8.00,0,25.0%,2.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,38,53%,0,0%,1,3%,False,Tyler Higbee,False,14,42
2016.0,2016-12-15,14.0,15.0,23.349,LAR,SEA,L 3-24,False,1,1,15,15.00,0,100.0%,15.00,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,43%,0,0%,0,0%,True,Tyler Higbee,False,3,24
2016.0,2016-12-24,15.0,16.0,23.358,LAR,SFO,L 21-22,True,2,2,5,2.50,1,100.0%,2.50,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,30,51%,0,0%,0,0%,False,Tyler Higbee,False,21,22
2016.0,2017-01-01,16.0,17.0,24.0,LAR,ARI,L 6-44,False,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,12,20%,0,0%,0,0%,False,Tyler Higbee,False,6,44
2017.0,2017-09-10,1.0,1.0,24.252,LAR,IND,W 46-9,True,3,2,17,8.50,0,66.7%,5.67,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,82%,0,0%,8,23%,False,Tyler Higbee,True,46,9
2017.0,2017-09-17,2.0,2.0,24.259,LAR,WAS,L 20-27,True,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,41,82%,0,0%,4,13%,False,Tyler Higbee,False,20,27
2017.0,2017-09-21,3.0,3.0,24.263,LAR,SFO,W 41-39,True,3,1,4,4.00,0,33.3%,1.33,0,0,,0,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,59,91%,0,0%,15,44%,True,Tyler Higbee,True,41,39
