Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2015.0,2015-11-26,11.0,12.0,22.186,PHI,DET,L 14-45,True,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,39,66%,0,0%,0,0%,True,Nelson Agholor,False,14,45
2015.0,2015-12-06,12.0,13.0,22.196,PHI,NWE,W 35-28,True,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,33,54%,0,0%,0,0%,True,Nelson Agholor,True,35,28
2015.0,2015-12-13,13.0,14.0,22.203,PHI,BUF,W 23-20,True,6,3,62,20.67,1,50.0%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,59,77%,0,0%,0,0%,False,Nelson Agholor,True,23,20
2015.0,2015-12-20,14.0,15.0,22.21,PHI,ARI,L 17-40,True,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,57,89%,0,0%,0,0%,False,Nelson Agholor,False,17,40
2015.0,2015-12-26,15.0,16.0,22.216,PHI,WAS,L 24-38,True,5,2,35,17.50,0,40.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,68,84%,0,0%,0,0%,False,Nelson Agholor,False,24,38
2015.0,2016-01-03,16.0,17.0,22.224,PHI,NYG,W 35-30,True,3,2,23,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,46,70%,0,0%,0,0%,True,Nelson Agholor,True,35,30
2016.0,2016-09-11,1.0,1.0,23.11,PHI,CLE,W 29-10,True,5,4,57,14.25,1,80.0%,11.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,67,87%,0,0%,1,3%,False,Nelson Agholor,True,29,10
2016.0,2016-09-19,2.0,2.0,23.118,PHI,CHI,W 29-14,True,7,4,42,10.50,0,57.1%,6.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,56,78%,0,0%,0,0%,True,Nelson Agholor,True,29,14
2016.0,2016-09-25,3.0,3.0,23.124,PHI,PIT,W 34-3,True,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,52,80%,0,0%,0,0%,False,Nelson Agholor,True,34,3
2016.0,2016-10-09,4.0,5.0,23.138,PHI,DET,L 23-24,True,7,2,27,13.50,0,28.6%,3.86,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,48,79%,0,0%,0,0%,True,Nelson Agholor,False,23,24
