Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
1999,1999-09-12,1,1,,PHI,ARI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,24,25,Donovan McNabb
1999,1999-09-19,2,2,22.298,PHI,TAM,False,4,11,36.36,26,0,0,44.9,6,42,2.36,2.36,5,38,7.60,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,False,False,5,19,Donovan McNabb
1999,1999-09-26,3,3,22.305,PHI,BUF,False,6,11,54.55,34,0,0,60.4,0,0,3.09,3.09,1,10,10.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,True,False,0,26,Donovan McNabb
1999,1999-10-03,4,4,22.312,PHI,NYG,False,3,7,42.86,38,0,0,60.4,4,22,5.43,5.43,1,13,13.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,True,False,15,16,Donovan McNabb
1999,1999-10-10,5,5,,PHI,DAL,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,13,10,Donovan McNabb
1999,1999-10-17,6,6,22.326,PHI,CHI,False,,,,,,,,0,,,,,,,,,,,,,0.0%,,,0,0,0,,,0,0,0,True,True,20,16,Donovan McNabb
1999,1999-10-24,7,7,,PHI,MIA,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,13,16,Donovan McNabb
1999,1999-10-31,8,8,22.340,PHI,NYG,False,1,2,50.00,0,0,0,56.2,0,0,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,False,False,17,23,Donovan McNabb
1999,1999-11-07,9,9,22.347,PHI,CAR,False,8,20,40.00,68,0,1,28.7,2,9,3.40,1.15,3,21,7.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,True,False,7,33,Donovan McNabb
1999,1999-11-14,10,10,22.354,PHI,WAS,True,8,21,38.10,60,0,0,46.3,3,22,2.86,2.86,9,49,5.44,0,0,0,0,,0,0.0%,,1,0,2,0,,0,0,0,0,False,True,35,28,Donovan McNabb
1999,1999-11-21,11,11,22.361,PHI,IND,True,19,36,52.78,165,1,2,51.3,4,47,4.58,2.64,3,13,4.33,0,0,0,0,,0,0.0%,,,0,0,3,0,0,0,-3,0,False,False,17,44,Donovan McNabb
1999,1999-11-28,12,12,23.003,PHI,WAS,True,16,28,57.14,172,2,0,99.1,2,16,6.14,7.57,8,71,8.88,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,True,False,17,20,Donovan McNabb
1999,1999-12-05,13,13,23.010,PHI,ARI,True,19,31,61.29,157,2,1,82.3,1,9,5.06,4.90,9,67,7.44,0,1,1,-6,-6.00,0,100.0%,-6.00,,0,0,1,1,0,0,0,0,True,False,17,21,Donovan McNabb
1999,1999-12-12,14,14,23.017,PHI,DAL,True,7,17,41.18,49,0,1,24.4,3,14,2.88,0.24,3,24,8.00,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,0,0,True,False,10,20,Donovan McNabb
1999,1999-12-19,15,15,,PHI,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,24,9,Donovan McNabb
1999,2000-01-02,16,17,23.038,PHI,STL,True,15,32,46.88,179,3,2,69.7,3,23,5.59,4.66,5,7,1.40,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,False,True,38,31,Donovan McNabb
2000,2000-09-03,1,1,23.283,PHI,DAL,True,16,28,57.14,130,1,2,51.2,1,11,4.64,2.14,5,29,5.80,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,True,True,41,14,Donovan McNabb
