Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-11-27,11,12,23.269,NOR,,LAR,W 49-21,False,10,9,108,12.00,2,90.0%,10.80,0,0,,0,2,12,0.0,0,0,0,,,0,0,0,0,0,0,50,68%,0,0%,0,0%,False,Michael Thomas
2016,2016-12-04,12,13,23.276,NOR,,DET,L 13-28,True,5,4,42,10.50,0,80.0%,8.40,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,85%,0,0%,0,0%,False,Michael Thomas
2016,2016-12-11,13,14,,NOR,@,TAM,L 11-16,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Michael Thomas
2016,2016-12-18,14,15,23.290,NOR,@,ARI,W 48-41,True,10,7,52,7.43,1,70.0%,5.20,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,70,81%,0,0%,1,3%,True,Michael Thomas
2016,2016-12-24,15,16,23.296,NOR,,TAM,W 31-24,True,8,6,98,16.33,0,75.0%,12.25,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,82%,0,0%,1,4%,False,Michael Thomas
2016,2017-01-01,16,17,23.304,NOR,@,ATL,L 32-38,True,14,10,156,15.60,1,71.4%,11.14,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,66,86%,0,0%,2,6%,True,Michael Thomas
2017,2017-09-11,1,1,24.192,NOR,@,MIN,L 19-29,True,8,5,45,9.00,0,62.5%,5.63,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,94%,0,0%,1,3%,True,Michael Thomas
2017,2017-09-17,2,2,24.198,NOR,,NWE,L 20-36,True,10,5,89,17.80,0,50.0%,8.90,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,89%,0,0%,1,3%,False,Michael Thomas
2017,2017-09-24,3,3,24.205,NOR,@,CAR,W 34-13,True,8,7,87,12.43,1,87.5%,10.88,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,46,79%,0,0%,0,0%,True,Michael Thomas
2017,2017-10-01,4,4,24.212,NOR,@,MIA,W 20-0,True,11,8,89,11.13,1,72.7%,8.09,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,69,93%,0,0%,0,0%,True,Michael Thomas
2017,2017-10-15,5,6,24.226,NOR,,DET,W 52-38,True,6,3,11,3.67,0,50.0%,1.83,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,83%,0,0%,1,2%,False,Michael Thomas
2017,2017-10-22,6,7,24.233,NOR,@,GNB,W 26-17,True,11,7,82,11.71,0,63.6%,7.45,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,79%,0,0%,0,0%,True,Michael Thomas
2017,2017-10-29,7,8,24.240,NOR,,CHI,W 20-12,False,8,7,77,11.00,0,87.5%,9.63,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,77%,0,0%,0,0%,False,Michael Thomas
2017,2017-11-05,8,9,24.247,NOR,,TAM,W 30-10,True,11,8,65,8.13,0,72.7%,5.91,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,49,82%,0,0%,0,0%,False,Michael Thomas
2017,2017-11-12,9,10,24.254,NOR,@,BUF,W 47-10,True,10,9,117,13.00,0,90.0%,11.70,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,73%,0,0%,0,0%,True,Michael Thomas
2017,2017-11-19,10,11,24.261,NOR,,WAS,W 34-31,False,11,6,91,15.17,0,54.5%,8.27,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,80%,0,0%,0,0%,False,Michael Thomas
2017,2017-11-26,11,12,24.268,NOR,@,LAR,L 20-26,True,8,5,52,10.40,0,62.5%,6.50,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,44,77%,0,0%,1,3%,True,Michael Thomas
2017,2017-12-03,12,13,24.275,NOR,,CAR,W 31-21,True,9,5,70,14.00,1,55.6%,7.78,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,48,75%,0,0%,0,0%,False,Michael Thomas
2017,2017-12-07,13,14,24.279,NOR,@,ATL,L 17-20,True,14,10,117,11.70,1,71.4%,8.36,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,45,87%,0,0%,0,0%,True,Michael Thomas
2017,2017-12-17,14,15,24.289,NOR,,NYJ,W 31-19,True,11,9,93,10.33,1,81.8%,8.45,0,0,,0,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,62,93%,0,0%,1,3%,False,Michael Thomas
2017,2017-12-24,15,16,24.296,NOR,,ATL,W 23-13,True,5,4,66,16.50,0,80.0%,13.20,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,40,62%,0,0%,0,0%,False,Michael Thomas
