Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2017.0,2017-09-10,1.0,1.0,22.254,NYG,DAL,L 3-19,False,,,,1,1,100.0,0,3,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,3,12%,True,Aldrick Rosas,False,3,19
2017.0,2017-09-18,2.0,2.0,22.262,NYG,DET,L 10-24,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,20%,False,Aldrick Rosas,False,10,24
2017.0,2017-09-24,3.0,3.0,22.268,NYG,PHI,L 24-27,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,32%,True,Aldrick Rosas,False,24,27
2017.0,2017-10-01,4.0,4.0,22.275,NYG,TAM,L 23-25,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,31%,True,Aldrick Rosas,False,23,25
2017.0,2017-10-08,5.0,5.0,22.282,NYG,LAC,L 22-27,False,2,2,100.0,,,,0,2,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,19%,False,Aldrick Rosas,False,22,27
2017.0,2017-10-15,6.0,6.0,22.289,NYG,DEN,W 23-10,False,2,2,100.0,3,4,75.0,0,11,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,43%,True,Aldrick Rosas,True,23,10
2017.0,2017-10-22,7.0,7.0,22.296,NYG,SEA,L 7-24,False,1,1,100.0,,1,0.0,0,1,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,4,15%,False,Aldrick Rosas,False,7,24
2017.0,2017-11-05,8.0,9.0,22.31,NYG,LAR,L 17-51,False,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,24%,False,Aldrick Rosas,False,17,51
2017.0,2017-11-12,9.0,10.0,22.317,NYG,SFO,L 21-31,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,9,38%,True,Aldrick Rosas,False,21,31
2017.0,2017-11-19,10.0,11.0,22.324,NYG,KAN,W 12-9,False,,1,0.0,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,False,Aldrick Rosas,True,12,9
2017.0,2017-11-23,11.0,12.0,22.328,NYG,WAS,L 10-20,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,True,Aldrick Rosas,False,10,20
2017.0,2017-12-03,12.0,13.0,22.338,NYG,OAK,L 17-24,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,25%,True,Aldrick Rosas,False,17,24
2017.0,2017-12-10,13.0,14.0,22.345,NYG,DAL,L 10-30,False,1,1,100.0,1,1,100.0,0,4,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,5,17%,False,Aldrick Rosas,False,10,30
2017.0,2017-12-17,14.0,15.0,22.352,NYG,PHI,L 29-34,False,2,3,66.7,1,2,50.0,0,5,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,35%,False,Aldrick Rosas,False,29,34
2017.0,2017-12-24,15.0,16.0,22.359,NYG,ARI,L 0-23,False,,,,,1,0.0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,2,8%,True,Aldrick Rosas,False,0,23
2017.0,2017-12-31,16.0,17.0,23.001,NYG,WAS,W 18-10,False,,1,0.0,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,26%,False,Aldrick Rosas,True,18,10
2018.0,2018-09-09,1.0,1.0,23.253,NYG,JAX,L 15-20,False,,,,3,3,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,28%,False,Aldrick Rosas,False,15,20
2018.0,2018-09-16,2.0,2.0,23.26,NYG,DAL,L 13-20,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,True,Aldrick Rosas,False,13,20
2018.0,2018-09-23,3.0,3.0,23.267,NYG,HOU,W 27-22,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,41%,True,Aldrick Rosas,True,27,22
2018.0,2018-09-30,4.0,4.0,23.274,NYG,NOR,L 18-33,False,1,1,100.0,1,1,100.0,0,4,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,6,21%,False,Aldrick Rosas,False,18,33
2018.0,2018-10-07,5.0,5.0,23.281,NYG,CAR,L 31-33,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,38%,True,Aldrick Rosas,False,31,33
2018.0,2018-10-11,6.0,6.0,23.285,NYG,PHI,L 13-34,False,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,8,25%,False,Aldrick Rosas,False,13,34
2018.0,2018-10-22,7.0,7.0,23.296,NYG,ATL,L 20-23,False,,,,2,2,100.0,0,6,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,28%,True,Aldrick Rosas,False,20,23
2018.0,2018-10-28,8.0,8.0,23.302,NYG,WAS,L 13-20,False,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,24%,False,Aldrick Rosas,False,13,20
2018.0,2018-11-12,9.0,10.0,23.317,NYG,SFO,W 27-23,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,37%,True,Aldrick Rosas,True,27,23
2018.0,2018-11-18,10.0,11.0,23.323,NYG,TAM,W 38-35,False,5,5,100.0,1,1,100.0,0,8,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,13,45%,False,Aldrick Rosas,True,38,35
2018.0,2018-11-25,11.0,12.0,23.33,NYG,PHI,L 22-25,False,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,10,38%,True,Aldrick Rosas,False,22,25
2018.0,2018-12-02,12.0,13.0,23.337,NYG,CHI,W 30-27,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,32%,False,Aldrick Rosas,True,30,27
2018.0,2018-12-09,13.0,14.0,23.344,NYG,WAS,W 40-16,False,4,5,80.0,2,2,100.0,0,10,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,14,45%,True,Aldrick Rosas,True,40,16
2018.0,2018-12-16,14.0,15.0,23.351,NYG,TEN,L 0-17,False,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,1,5%,False,Aldrick Rosas,False,0,17
2018.0,2018-12-23,15.0,16.0,23.358,NYG,IND,L 27-28,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,11,41%,True,Aldrick Rosas,False,27,28
2018.0,2018-12-30,16.0,17.0,24.0,NYG,DAL,L 35-36,False,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,12,43%,False,Aldrick Rosas,False,35,36
2019.0,2019-09-08,1.0,1.0,24.252,NYG,DAL,L 17-35,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0%,0,0%,7,27%,True,Aldrick Rosas,False,17,35
