Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2010,2010-10-03,4,4,23.037,OAK,,HOU,L 24-31,True,12,47,3.92,0,7,6,82,13.67,0,85.7%,11.71,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2010,2010-10-10,5,5,,OAK,,SDG,W 35-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2010,2010-10-17,6,6,,OAK,@,SFO,L 9-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2010,2010-10-24,7,7,23.058,OAK,@,DEN,W 59-14,True,16,165,10.31,3,2,2,31,15.50,1,100.0%,15.50,0,0,,0,0,0,,,,,,0,0,,0,,4,24,0,,0,0,0,0,,,,,,,True,Darren McFadden
2010,2010-10-31,8,8,23.065,OAK,,SEA,W 33-3,True,21,111,5.29,0,2,2,24,12.00,0,100.0%,12.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2010,2010-11-07,9,9,23.072,OAK,,KAN,W 23-20,True,17,89,5.24,0,4,4,25,6.25,0,100.0%,6.25,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Darren McFadden
2010,2010-11-21,10,11,23.086,OAK,@,PIT,L 3-35,True,10,14,1.40,0,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2010,2010-11-28,11,12,23.093,OAK,,MIA,L 17-33,True,8,2,0.25,0,10,7,63,9.00,0,70.0%,6.30,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2010,2010-12-05,12,13,23.100,OAK,@,SDG,W 28-13,True,19,97,5.11,1,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,1,1,0,0,0,0,,,,,,,True,Darren McFadden
2010,2010-12-12,13,14,23.107,OAK,@,JAX,L 31-38,True,16,123,7.69,2,3,3,86,28.67,1,100.0%,28.67,0,0,,0,0,0,,,,,,0,0,,0,,3,18,0,,0,0,0,0,,,,,,,True,Darren McFadden
2010,2010-12-19,14,15,23.114,OAK,,DEN,W 39-23,True,20,119,5.95,0,4,4,39,9.75,0,100.0%,9.75,0,0,,0,0,0,,,,,,0,0,,0,,0,0,1,1,0,0,0,0,,,,,,,False,Darren McFadden
2010,2010-12-26,15,16,23.121,OAK,,IND,L 26-31,True,11,45,4.09,0,6,4,31,7.75,0,66.7%,5.17,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2010,2011-01-02,16,17,,OAK,@,KAN,W 31-10,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2011,2011-09-12,1,1,24.016,OAK,@,DEN,W 23-20,True,22,150,6.82,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,1,0,0,,,,,,,True,Darren McFadden
2011,2011-09-18,2,2,24.022,OAK,@,BUF,L 35-38,True,20,72,3.60,1,8,7,71,10.14,1,87.5%,8.88,0,0,,0,0,0,,,0,,,0,0,,0,,2,12,1,1,0,0,0,0,,,,,,,True,Darren McFadden
2011,2011-09-25,3,3,24.029,OAK,,NYJ,W 34-24,True,19,171,9.00,2,3,3,7,2.33,0,100.0%,2.33,0,0,,0,0,0,,,0,,,0,0,,0,,2,12,0,,0,0,0,0,,,,,,,False,Darren McFadden
2011,2011-10-02,4,4,24.036,OAK,,NWE,L 19-31,True,14,75,5.36,0,6,4,48,12.00,0,66.7%,8.00,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2011,2011-10-09,5,5,24.043,OAK,@,HOU,W 25-20,True,16,51,3.19,0,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Darren McFadden
2011,2011-10-16,6,6,24.050,OAK,,CLE,W 24-17,True,20,91,4.55,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0,,0,1,0,0,,,,,,,False,Darren McFadden
2011,2011-10-23,7,7,24.057,OAK,,KAN,L 0-28,True,2,4,2.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Darren McFadden
2011,2011-11-06,8,9,,OAK,,DEN,L 24-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2011,2011-11-10,9,10,,OAK,@,SDG,W 24-17,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2011,2011-11-20,10,11,,OAK,@,MIN,W 27-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2011,2011-11-27,11,12,,OAK,,CHI,W 25-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2011,2011-12-04,12,13,,OAK,@,MIA,L 14-34,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2011,2011-12-11,13,14,,OAK,@,GNB,L 16-46,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2011,2011-12-18,14,15,,OAK,,DET,L 27-28,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2011,2011-12-24,15,16,,OAK,@,KAN,W 16-13,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Darren McFadden
2011,2012-01-01,16,17,,OAK,,SDG,L 26-38,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Darren McFadden
2012,2012-09-10,1,1,25.014,OAK,,SDG,L 14-22,True,15,32,2.13,0,18,13,86,6.62,0,72.2%,4.78,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,68,94%,0,0%,0,0%,False,Darren McFadden
2012,2012-09-16,2,2,25.020,OAK,@,MIA,L 13-35,True,11,22,2.00,0,7,2,19,9.50,0,28.6%,2.71,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,48,74%,0,0%,0,0%,True,Darren McFadden
2012,2012-09-23,3,3,25.027,OAK,,PIT,W 34-31,True,18,113,6.28,1,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,0,0,0,0,0,0,54,95%,0,0%,0,0%,False,Darren McFadden
2012,2012-09-30,4,4,25.034,OAK,@,DEN,L 6-37,True,13,34,2.62,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,35,64%,0,0%,0,0%,True,Darren McFadden
2012,2012-10-14,5,6,25.048,OAK,@,ATL,L 20-23,True,27,70,2.59,1,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,,0,,,0,0,,0,,1,6,1,1,0,0,0,0,61,84%,0,0%,0,0%,True,Darren McFadden
2012,2012-10-21,6,7,25.055,OAK,,JAX,W 26-23,True,19,53,2.79,0,7,4,28,7.00,0,57.1%,4.00,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,71,91%,0,0%,0,0%,False,Darren McFadden
2012,2012-10-28,7,8,25.062,OAK,@,KAN,W 26-16,True,29,114,3.93,0,6,4,23,5.75,0,66.7%,3.83,0,0,,0,0,0,,,0,,,0,0,,0,,0,0,0,0,0,0,0,0,57,90%,0,0%,0,0%,True,Darren McFadden
