Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-09-07,1.0,1.0,,PIT,CLE,W 30-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Martavis Bryant,True,30,27
2014.0,2014-09-11,2.0,2.0,,PIT,BAL,L 6-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Martavis Bryant,False,6,26
2014.0,2014-09-21,3.0,3.0,,PIT,CAR,W 37-19,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Martavis Bryant,True,37,19
2014.0,2014-09-28,4.0,4.0,,PIT,TAM,L 24-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Martavis Bryant,False,24,27
2014.0,2014-10-05,5.0,5.0,,PIT,JAX,W 17-9,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Martavis Bryant,True,17,9
2014.0,2014-10-12,6.0,6.0,,PIT,CLE,L 10-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Martavis Bryant,False,10,31
2014.0,2014-10-20,7.0,7.0,22.304,PIT,HOU,W 30-23,False,5,2,40,20.00,1,40.0%,8.00,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,22,34%,0,0%,1,3%,False,Martavis Bryant,True,30,23
2014.0,2014-10-26,8.0,8.0,22.31,PIT,IND,W 51-34,False,7,5,83,16.60,2,71.4%,11.86,0,0,,0,0,0,,0,,2,12,0,0,0,0,0,0,32,38%,0,0%,0,0%,False,Martavis Bryant,True,51,34
2014.0,2014-11-02,9.0,9.0,22.317,PIT,BAL,W 43-23,True,5,3,44,14.67,2,60.0%,8.80,1,3,3.00,0,0,0,,0,,2,12,0,0,0,0,0,0,34,49%,0,0%,1,3%,False,Martavis Bryant,True,43,23
2014.0,2014-11-09,10.0,10.0,22.324,PIT,NYJ,L 13-20,True,7,4,143,35.75,1,57.1%,20.43,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,38,59%,0,0%,0,0%,True,Martavis Bryant,False,13,20
2014.0,2014-11-17,11.0,11.0,22.332,PIT,TEN,W 27-24,False,5,2,11,5.50,0,40.0%,2.20,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,33,45%,0,0%,0,0%,True,Martavis Bryant,True,27,24
2014.0,2014-11-30,12.0,13.0,22.345,PIT,NOR,L 32-35,False,4,1,23,23.00,0,25.0%,5.75,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,32,36%,0,0%,0,0%,False,Martavis Bryant,False,32,35
