Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Away_status,Win,Score,Opp Score,Player
2010,2010-09-12,1,1,21.225,DET,CHI,True,14,20,1.43,2,6,5,16,3.20,0,83.3%,2.67,0,0,,0,0,0,,0,,,,2,12,0,,0,0,0,0,True,False,14,19,Jahvid Best
2010,2010-09-19,2,2,21.232,DET,PHI,True,17,78,4.59,2,14,9,154,17.11,1,64.3%,11.00,0,0,,0,0,0,,0,,,,3,18,0,,0,0,0,0,False,False,32,35,Jahvid Best
2010,2010-09-26,3,3,21.239,DET,MIN,True,7,26,3.71,0,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,False,10,24,Jahvid Best
2010,2010-10-03,4,4,21.246,DET,GNB,True,12,50,4.17,0,7,5,34,6.80,0,71.4%,4.86,0,0,,0,0,0,,0,,,,0,0,1,1,0,0,0,0,True,False,26,28,Jahvid Best
2010,2010-10-10,5,5,21.253,DET,STL,True,17,59,3.47,0,4,4,37,9.25,0,100.0%,9.25,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,0,,0,0,0,0,False,True,44,6,Jahvid Best
2010,2010-10-17,6,6,21.260,DET,NYG,True,12,16,1.33,0,6,6,31,5.17,0,100.0%,5.17,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,False,20,28,Jahvid Best
2010,2010-10-31,7,8,21.274,DET,WAS,True,12,48,4.00,0,8,5,31,6.20,0,62.5%,3.88,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,37,25,Jahvid Best
2010,2010-11-07,8,9,21.281,DET,NYJ,True,16,48,3.00,0,9,5,40,8.00,0,55.6%,4.44,0,0,,0,0,0,,0,,,,0,0,0,,0,1,0,0,False,False,20,23,Jahvid Best
2010,2010-11-14,9,10,21.288,DET,BUF,True,17,35,2.06,0,5,4,4,1.00,0,80.0%,0.80,0,0,,0,0,0,,0,,,,0,0,0,,0,1,0,0,True,False,12,14,Jahvid Best
2010,2010-11-21,10,11,21.295,DET,DAL,False,3,2,0.67,0,5,4,15,3.75,0,80.0%,3.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,False,19,35,Jahvid Best
2010,2010-11-25,11,12,21.299,DET,NWE,False,,,,,,,,,,0.0%,,,,,,,,,0,,,,0,0,0,,,0,0,0,False,False,24,45,Jahvid Best
2010,2010-12-05,12,13,21.309,DET,CHI,False,9,65,7.22,0,1,1,32,32.00,0,100.0%,32.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,False,20,24,Jahvid Best
2010,2010-12-12,13,14,21.316,DET,GNB,False,13,38,2.92,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,7,3,Jahvid Best
2010,2010-12-19,14,15,21.323,DET,TAM,False,6,12,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,True,True,23,20,Jahvid Best
2010,2010-12-26,15,16,21.330,DET,MIA,False,6,24,4.00,0,1,1,53,53.00,1,100.0%,53.00,0,0,,0,0,0,,0,,,,1,6,0,,0,0,0,0,True,True,34,27,Jahvid Best
2010,2011-01-02,16,17,21.337,DET,MIN,False,10,34,3.40,0,7,6,23,3.83,0,85.7%,3.29,0,0,,0,0,0,,0,,,,0,0,0,,0,0,0,0,False,True,20,13,Jahvid Best
2011,2011-09-11,1,1,22.224,DET,TAM,True,21,72,3.43,0,5,4,42,10.50,0,80.0%,8.40,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,27,20,Jahvid Best
2011,2011-09-18,2,2,22.231,DET,KAN,True,16,57,3.56,1,8,6,66,11.00,1,75.0%,8.25,0,0,,0,0,0,,0,0,,,2,12,0,,0,0,0,0,False,True,48,3,Jahvid Best
2011,2011-09-25,3,3,22.238,DET,MIN,True,12,14,1.17,0,7,5,74,14.80,0,71.4%,10.57,0,0,,0,0,0,,0,0,,,0,0,0,,0,1,0,0,True,True,26,23,Jahvid Best
2011,2011-10-02,4,4,22.245,DET,DAL,True,11,47,4.27,0,8,2,23,11.50,0,25.0%,2.88,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,True,True,34,30,Jahvid Best
2011,2011-10-10,5,5,22.253,DET,CHI,True,12,163,13.58,1,4,4,9,2.25,0,100.0%,2.25,0,0,,0,0,0,,0,0,,,1,6,0,,0,0,0,0,False,True,24,13,Jahvid Best
2011,2011-10-16,6,6,22.259,DET,SFO,True,12,37,3.08,0,8,6,73,12.17,0,75.0%,9.13,0,0,,0,0,0,,0,0,,,0,0,0,,0,0,0,0,False,False,19,25,Jahvid Best
2011,2011-10-23,7,7,,DET,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,16,23,Jahvid Best
