Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,,DET,STL,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,27,23,Mikel Leshoure
2012,2012-09-16,2,2,,DET,SFO,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,False,19,27,Mikel Leshoure
2012,2012-09-23,3,3,22.177,DET,TEN,True,26,100,3.85,1,4,4,34,8.50,0,100.0%,8.50,1,6,0,0,0,0,0,0,60,62%,0,0%,0,0%,True,False,41,44,Mikel Leshoure
2012,2012-09-30,4,4,22.184,DET,MIN,True,13,26,2.00,0,5,4,37,9.25,0,80.0%,7.40,0,0,1,1,0,0,0,0,34,44%,0,0%,0,0%,False,False,13,20,Mikel Leshoure
2012,2012-10-14,5,6,22.198,DET,PHI,True,15,70,4.67,0,4,3,24,8.00,0,75.0%,6.00,0,0,0,0,0,0,0,0,47,60%,0,0%,0,0%,True,True,26,23,Mikel Leshoure
2012,2012-10-22,6,7,22.206,DET,CHI,True,12,63,5.25,0,7,6,20,3.33,0,85.7%,2.86,0,0,1,1,0,0,0,0,38,56%,0,0%,0,0%,True,False,7,13,Mikel Leshoure
2012,2012-10-28,7,8,22.212,DET,SEA,True,10,46,4.60,0,5,3,9,3.00,0,60.0%,1.80,0,0,0,0,0,0,0,0,30,41%,0,0%,0,0%,False,True,28,24,Mikel Leshoure
2012,2012-11-04,8,9,22.219,DET,JAX,True,16,70,4.38,3,2,0,0,,0,0.0%,0.00,3,18,0,0,0,0,0,0,32,45%,0,0%,0,0%,True,True,31,14,Mikel Leshoure
2012,2012-11-11,9,10,22.226,DET,MIN,True,13,43,3.31,0,3,1,5,5.00,0,33.3%,1.67,0,0,0,0,0,0,0,0,36,57%,0,0%,0,0%,True,False,24,34,Mikel Leshoure
2012,2012-11-18,10,11,22.233,DET,GNB,True,19,84,4.42,1,1,1,-2,-2.00,0,100.0%,-2.00,1,6,0,0,0,0,0,0,39,54%,0,0%,0,0%,False,False,20,24,Mikel Leshoure
2012,2012-11-22,11,12,22.237,DET,HOU,True,12,32,2.67,1,2,2,27,13.50,0,100.0%,13.50,1,6,0,0,0,0,0,0,34,38%,0,0%,0,0%,False,False,31,34,Mikel Leshoure
2012,2012-12-02,12,13,22.247,DET,IND,True,21,57,2.71,1,3,2,16,8.00,0,66.7%,5.33,1,6,0,0,0,0,0,0,43,56%,0,0%,0,0%,False,False,33,35,Mikel Leshoure
2012,2012-12-09,13,14,22.254,DET,GNB,True,14,49,3.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,31,37%,0,0%,0,0%,True,False,20,27,Mikel Leshoure
2012,2012-12-16,14,15,22.261,DET,ARI,True,14,55,3.93,1,3,2,4,2.00,0,66.7%,1.33,1,6,0,0,0,0,0,0,31,40%,0,0%,0,0%,True,False,10,38,Mikel Leshoure
2012,2012-12-22,15,16,22.267,DET,ATL,True,15,46,3.07,1,5,3,20,6.67,0,60.0%,4.00,1,6,1,1,0,0,0,0,28,36%,0,0%,0,0%,False,False,18,31,Mikel Leshoure
2012,2012-12-30,16,17,22.275,DET,CHI,True,15,57,3.80,0,5,3,20,6.67,0,60.0%,4.00,0,0,0,0,0,0,0,0,46,72%,0,0%,0,0%,False,False,24,26,Mikel Leshoure
