Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2010.0,2010-09-12,1.0,1.0,23.181,DEN,JAX,L 17-24,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Eric Decker,False,17,24
2010.0,2010-09-19,2.0,2.0,23.188,DEN,SEA,W 31-14,False,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Eric Decker,True,31,14
2010.0,2010-09-26,3.0,3.0,,DEN,IND,L 13-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Eric Decker,False,13,27
2010.0,2010-10-03,4.0,4.0,23.202,DEN,TEN,W 26-20,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,Eric Decker,True,26,20
2010.0,2010-10-10,5.0,5.0,,DEN,BAL,L 17-31,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Eric Decker,False,17,31
2010.0,2010-10-17,6.0,6.0,23.216,DEN,NYJ,L 20-24,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,Eric Decker,False,20,24
2010.0,2010-10-24,7.0,7.0,23.223,DEN,OAK,L 14-59,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,1,23,23.00,0,0,0,,0,0,0,0.0,1,0,1,0,0,1,0,0,0,0,0,,,,,,,False,Eric Decker,False,14,59
2010.0,2010-10-31,8.0,8.0,23.23,DEN,SFO,L 16-24,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,True,Eric Decker,False,16,24
2010.0,2010-11-14,9.0,10.0,23.244,DEN,KAN,W 49-29,False,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,Eric Decker,True,49,29
2010.0,2010-11-22,10.0,11.0,23.252,DEN,SDG,L 14-35,False,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,True,Eric Decker,False,14,35
