Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2002,2002-10-06,4,5,23.323,IND,CIN,False,2,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,,,,0,0,0,,,0,0,0,,,,,,,False,True,28,21,Reggie Wayne
2002,2002-10-13,5,6,23.330,IND,BAL,True,6,4,44,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,22,20,Reggie Wayne
2002,2002-10-21,6,7,23.338,IND,PIT,False,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,10,28,Reggie Wayne
2002,2002-10-27,7,8,23.344,IND,WAS,False,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,1,0,0,0,0,0,,,,,,,True,False,21,26,Reggie Wayne
2002,2002-11-03,8,9,23.351,IND,TEN,False,6,5,93,18.60,0,83.3%,15.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,False,15,23,Reggie Wayne
2002,2002-11-10,9,10,23.358,IND,PHI,True,6,6,121,20.17,1,100.0%,20.17,0,0,,0,0,0,,0,0,0,,,,,,,1,6,0,,0,0,0,0,,,,,,,True,True,35,13,Reggie Wayne
2002,2002-11-17,10,11,24.000,IND,DAL,True,6,2,9,4.50,0,33.3%,1.50,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,20,3,Reggie Wayne
2002,2002-11-24,11,12,24.007,IND,DEN,True,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,True,23,20,Reggie Wayne
2002,2002-12-01,12,13,24.014,IND,HOU,False,5,3,43,14.33,0,60.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,False,True,19,3,Reggie Wayne
2002,2002-12-08,13,14,24.021,IND,TEN,True,9,5,103,20.60,0,55.6%,11.44,0,0,,0,0,0,,0,0,0,,,,,,,0,0,0,,0,0,0,0,,,,,,,True,False,17,27,Reggie Wayne
