Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-09-09,1,1,23.240,TAM,,CAR,W 16-10,True,24,95,3.96,0,4,4,23,5.75,0,100.0%,5.75,0,0,,0,,0,0,0,0,0,0,0,0,50,77%,0,0%,0,0%,False,Doug Martin
2012,2012-09-16,2,2,23.247,TAM,@,NYG,L 34-41,True,20,66,3.30,1,3,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0,0,0,0,0,0,44,85%,0,0%,1,3%,True,Doug Martin
2012,2012-09-23,3,3,23.254,TAM,@,DAL,L 10-16,True,19,53,2.79,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,,0,0,0,0,0,0,0,0,46,77%,0,0%,0,0%,True,Doug Martin
2012,2012-09-30,4,4,23.261,TAM,,WAS,L 22-24,True,8,33,4.13,0,5,2,9,4.50,0,40.0%,1.80,0,0,,0,,0,0,0,0,0,0,0,0,43,72%,0,0%,1,3%,False,Doug Martin
2012,2012-10-14,5,6,23.275,TAM,,KAN,W 38-10,True,13,76,5.85,0,4,2,55,27.50,0,50.0%,13.75,0,0,,0,,0,0,0,0,0,0,0,0,27,51%,0,0%,0,0%,False,Doug Martin
2012,2012-10-21,6,7,23.282,TAM,,NOR,L 28-35,True,16,85,5.31,1,3,3,37,12.33,0,100.0%,12.33,0,0,,0,,1,6,0,0,0,0,0,0,56,77%,0,0%,0,0%,False,Doug Martin
2012,2012-10-25,7,8,23.286,TAM,@,MIN,W 36-17,True,29,135,4.66,1,6,3,79,26.33,1,50.0%,13.17,0,0,,0,,2,12,0,0,0,0,0,0,54,68%,0,0%,0,0%,True,Doug Martin
2012,2012-11-04,8,9,23.296,TAM,@,OAK,W 42-32,True,25,251,10.04,4,5,4,21,5.25,0,80.0%,4.20,0,0,,0,,4,24,0,0,0,0,0,0,53,82%,0,0%,1,3%,True,Doug Martin
2012,2012-11-11,9,10,23.303,TAM,,SDG,W 34-24,True,19,68,3.58,0,3,3,51,17.00,0,100.0%,17.00,0,0,,0,,0,0,0,0,0,0,0,0,38,88%,0,0%,1,4%,False,Doug Martin
2012,2012-11-18,10,11,23.310,TAM,@,CAR,W 27-21,True,24,138,5.75,0,5,4,23,5.75,0,80.0%,4.60,0,0,,0,,0,0,1,1,0,0,0,0,68,85%,0,0%,0,0%,True,Doug Martin
2012,2012-11-25,11,12,23.317,TAM,,ATL,L 23-24,True,21,50,2.38,2,2,2,13,6.50,0,100.0%,6.50,0,0,,0,,2,12,0,0,0,0,0,0,45,79%,0,0%,0,0%,False,Doug Martin
2012,2012-12-02,12,13,23.324,TAM,@,DEN,L 23-31,True,18,56,3.11,0,4,3,42,14.00,0,75.0%,10.50,0,0,,0,,0,0,0,0,0,0,0,0,56,84%,0,0%,0,0%,True,Doug Martin
2012,2012-12-09,13,14,23.331,TAM,,PHI,L 21-23,True,28,128,4.57,1,5,3,4,1.33,0,60.0%,0.80,0,0,,0,,1,6,0,0,0,1,0,0,63,88%,0,0%,1,3%,False,Doug Martin
2012,2012-12-16,14,15,23.338,TAM,@,NOR,L 0-41,True,9,16,1.78,0,5,3,19,6.33,0,60.0%,3.80,0,0,,0,,0,0,0,0,0,0,0,0,46,62%,0,0%,0,0%,True,Doug Martin
2012,2012-12-23,15,16,23.345,TAM,,STL,L 13-28,True,18,62,3.44,0,8,7,57,8.14,0,87.5%,7.13,0,0,,0,,0,0,0,0,0,0,0,0,70,86%,0,0%,0,0%,False,Doug Martin
