Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2011.0,2011-11-27,11.0,12.0,,MIN,ATL,L 14-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,False,14,24
2011.0,2011-12-04,12.0,13.0,22.025,MIN,DEN,L 32-35,False,1,1,19,19.00,1,100.0%,19.00,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,False,Kyle Rudolph,False,32,35
2011.0,2011-12-11,13.0,14.0,22.032,MIN,DET,L 28-34,True,4,1,0,0.00,0,25.0%,0.00,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,True,Kyle Rudolph,False,28,34
2011.0,2011-12-18,14.0,15.0,22.039,MIN,NOR,L 20-42,False,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Kyle Rudolph,False,20,42
2011.0,2011-12-24,15.0,16.0,22.045,MIN,WAS,W 33-26,True,2,2,23,11.50,1,100.0%,11.50,0,0,,0,,1,6,0,,0,0,0,0,,,,,,,True,Kyle Rudolph,True,33,26
2011.0,2012-01-01,16.0,17.0,22.053,MIN,CHI,L 13-17,True,4,3,15,5.00,0,75.0%,3.75,0,0,,0,,0,0,0,,0,0,0,0,,,,,,,False,Kyle Rudolph,False,13,17
2012.0,2012-09-09,1.0,1.0,22.305,MIN,JAX,W 26-23,True,7,5,67,13.40,0,71.4%,9.57,0,0,,0,,0,0,0,0,0,0,0,0,59,100%,0,0%,6,19%,False,Kyle Rudolph,True,26,23
2012.0,2012-09-16,2.0,2.0,22.312,MIN,IND,L 20-23,True,5,3,35,11.67,1,60.0%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,70,100%,0,0%,4,13%,True,Kyle Rudolph,False,20,23
2012.0,2012-09-23,3.0,3.0,22.319,MIN,SFO,W 24-13,True,6,5,36,7.20,2,83.3%,6.00,0,0,,0,,2,12,0,0,0,0,0,0,67,85%,0,0%,0,0%,False,Kyle Rudolph,True,24,13
2012.0,2012-09-30,4.0,4.0,22.326,MIN,DET,W 20-13,True,5,2,8,4.00,0,40.0%,1.60,0,0,,0,,0,0,0,0,0,0,0,0,58,100%,0,0%,1,4%,True,Kyle Rudolph,True,20,13
2012.0,2012-10-07,5.0,5.0,22.333,MIN,TEN,W 30-7,True,7,4,23,5.75,1,57.1%,3.29,0,0,,0,,1,6,0,0,0,0,0,0,53,77%,0,0%,0,0%,False,Kyle Rudolph,True,30,7
2012.0,2012-10-14,6.0,6.0,22.34,MIN,WAS,L 26-38,True,11,6,56,9.33,1,54.5%,5.09,0,0,,0,1,1,8,0,0,0,0,0,0,84,100%,0,0%,0,0%,True,Kyle Rudolph,False,26,38
2012.0,2012-10-21,7.0,7.0,22.347,MIN,ARI,W 21-14,True,4,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,49,94%,0,0%,1,4%,False,Kyle Rudolph,True,21,14
2012.0,2012-10-25,8.0,8.0,22.351,MIN,TAM,L 17-36,True,2,2,17,8.50,0,100.0%,8.50,0,0,,0,,0,0,0,0,0,0,0,0,57,95%,0,0%,0,0%,False,Kyle Rudolph,False,17,36
2012.0,2012-11-04,9.0,9.0,22.361,MIN,SEA,L 20-30,True,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,True,Kyle Rudolph,False,20,30
2012.0,2012-11-11,10.0,10.0,23.002,MIN,DET,W 34-24,True,9,7,64,9.14,1,77.8%,7.11,0,0,,0,,1,6,0,0,0,0,0,0,68,97%,0,0%,1,3%,False,Kyle Rudolph,True,34,24
2012.0,2012-11-25,11.0,12.0,23.016,MIN,CHI,L 10-28,True,9,5,55,11.00,1,55.6%,6.11,0,0,,0,,1,6,0,0,0,0,0,0,48,73%,0,0%,0,0%,True,Kyle Rudolph,False,10,28
2012.0,2012-12-02,12.0,13.0,23.023,MIN,GNB,L 14-23,True,8,6,51,8.50,1,75.0%,6.38,0,0,,0,,1,6,0,0,0,0,0,0,46,84%,0,0%,0,0%,True,Kyle Rudolph,False,14,23
2012.0,2012-12-09,13.0,14.0,23.03,MIN,CHI,W 21-14,True,2,0,0,,0,0.0%,0.00,1,1,1.00,0,,0,0,0,0,0,0,0,0,50,88%,0,0%,1,4%,False,Kyle Rudolph,True,21,14
2012.0,2012-12-16,14.0,15.0,23.037,MIN,STL,W 36-22,True,4,3,22,7.33,0,75.0%,5.50,0,0,,0,,0,0,0,0,0,0,0,0,55,93%,0,0%,1,3%,True,Kyle Rudolph,True,36,22
2012.0,2012-12-23,15.0,16.0,23.044,MIN,HOU,W 23-6,True,6,3,39,13.00,1,50.0%,6.50,0,0,,0,,1,6,0,0,0,0,0,0,70,95%,0,0%,0,0%,True,Kyle Rudolph,True,23,6
2012.0,2012-12-30,16.0,17.0,23.051,MIN,GNB,W 37-34,True,6,2,20,10.00,0,33.3%,3.33,0,0,,0,,0,0,0,0,0,0,0,0,62,90%,0,0%,0,0%,False,Kyle Rudolph,True,37,34
2013.0,2013-09-08,1.0,1.0,23.303,MIN,DET,L 24-34,True,4,2,27,13.50,0,50.0%,6.75,0,0,,0,,0,0,0,0,0,0,0,0,54,98%,0,0%,0,0%,True,Kyle Rudolph,False,24,34
2013.0,2013-09-15,2.0,2.0,23.31,MIN,CHI,L 30-31,True,6,3,42,14.00,1,50.0%,7.00,0,0,,0,,1,6,0,0,0,0,0,0,63,98%,0,0%,1,3%,True,Kyle Rudolph,False,30,31
2013.0,2013-09-22,3.0,3.0,23.317,MIN,CLE,L 27-31,True,8,5,28,5.60,0,62.5%,3.50,0,0,,0,,0,0,0,0,0,0,0,0,73,92%,0,0%,5,14%,False,Kyle Rudolph,False,27,31
2013.0,2013-09-29,4.0,4.0,23.324,MIN,PIT,W 34-27,True,2,2,6,3.00,0,100.0%,3.00,0,0,,0,,0,0,0,0,0,0,0,0,49,94%,0,0%,8,24%,False,Kyle Rudolph,True,34,27
2013.0,2013-10-13,5.0,6.0,23.338,MIN,CAR,L 10-35,True,11,9,97,10.78,1,81.8%,8.82,0,0,,0,,1,6,0,0,0,0,0,0,48,77%,0,0%,0,0%,False,Kyle Rudolph,False,10,35
2013.0,2013-10-21,6.0,7.0,23.346,MIN,NYG,L 7-23,True,9,3,27,9.00,0,33.3%,3.00,0,0,,0,,0,0,0,0,0,0,0,0,60,85%,0,0%,0,0%,True,Kyle Rudolph,False,7,23
2013.0,2013-10-27,7.0,8.0,23.352,MIN,GNB,L 31-44,True,4,4,51,12.75,0,100.0%,12.75,0,0,,0,,0,0,0,0,0,0,0,0,38,81%,0,0%,5,16%,False,Kyle Rudolph,False,31,44
2013.0,2013-11-03,8.0,9.0,23.359,MIN,DAL,L 23-27,True,2,2,35,17.50,1,100.0%,17.50,0,0,,0,,1,6,0,0,0,0,0,0,39,56%,0,0%,2,7%,True,Kyle Rudolph,False,23,27
2013.0,2013-11-07,9.0,10.0,,MIN,WAS,W 34-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kyle Rudolph,True,34,27
2013.0,2013-11-17,10.0,11.0,,MIN,SEA,L 20-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,False,20,41
2013.0,2013-11-24,11.0,12.0,,MIN,GNB,T 26-26,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,False,26,26
2013.0,2013-12-01,12.0,13.0,,MIN,CHI,W 23-20,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Kyle Rudolph,True,23,20
2013.0,2013-12-08,13.0,14.0,,MIN,BAL,L 26-29,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Kyle Rudolph,False,26,29
2013.0,2013-12-15,14.0,15.0,,MIN,PHI,W 48-30,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kyle Rudolph,True,48,30
2013.0,2013-12-22,15.0,16.0,,MIN,CIN,L 14-42,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Kyle Rudolph,False,14,42
2013.0,2013-12-29,16.0,17.0,,MIN,DET,W 14-13,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Kyle Rudolph,True,14,13
2014.0,2014-09-07,1.0,1.0,24.302,MIN,STL,W 34-6,True,4,2,16,8.00,1,50.0%,4.00,0,0,,0,,1,6,0,0,0,0,0,0,55,93%,0,0%,0,0%,True,Kyle Rudolph,True,34,6
2014.0,2014-09-14,2.0,2.0,24.309,MIN,NWE,L 7-30,True,8,5,53,10.60,0,62.5%,6.63,0,0,,0,,0,0,0,0,0,0,0,0,58,88%,0,0%,0,0%,False,Kyle Rudolph,False,7,30
2014.0,2014-09-21,3.0,3.0,24.316,MIN,NOR,L 9-20,True,5,3,27,9.00,0,60.0%,5.40,0,0,,0,,0,0,0,0,0,0,0,0,46,82%,0,0%,0,0%,True,Kyle Rudolph,False,9,20
