Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-11-27,11,12,23.275,MIN,ATL,True,17,25,68.00,186,1,0,103.1,4,24,7.44,8.24,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,24,Christian Ponder
2011,2011-12-04,12,13,23.282,MIN,DEN,True,29,47,61.70,381,3,2,90.8,3,29,8.11,7.47,1,12,12.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,False,False,32,35,Christian Ponder
2011,2011-12-11,13,14,23.289,MIN,DET,True,11,21,52.38,115,2,3,60.7,3,28,5.48,0.95,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,2,1,0,0,0,0,,,,,,,True,False,28,34,Christian Ponder
2011,2011-12-18,14,15,23.296,MIN,NOR,True,14,31,45.16,120,2,1,63.9,4,18,3.87,3.71,3,34,11.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,20,42,Christian Ponder
2011,2011-12-24,15,16,23.302,MIN,WAS,True,8,13,61.54,68,0,0,75.2,1,1,5.23,5.23,4,20,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,33,26,Christian Ponder
2011,2012-01-01,16,17,23.310,MIN,CHI,True,4,10,40.00,28,0,1,8.3,1,3,2.80,-1.70,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,17,Christian Ponder
2012,2012-09-09,1,1,24.197,MIN,JAX,True,20,27,74.07,270,0,0,105.5,2,4,10.00,10.00,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,59,100%,0,0%,0,0%,False,True,26,23,Christian Ponder
2012,2012-09-16,2,2,24.204,MIN,IND,True,27,35,77.14,245,2,0,114.6,4,13,7.00,8.14,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,70,100%,0,0%,0,0%,True,False,20,23,Christian Ponder
2012,2012-09-23,3,3,24.211,MIN,SFO,True,21,35,60.00,198,2,0,94.7,0,0,5.66,6.80,7,33,4.71,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,79,100%,0,0%,0,0%,False,True,24,13,Christian Ponder
2012,2012-09-30,4,4,24.218,MIN,DET,True,16,26,61.54,111,0,0,71.2,2,11,4.27,4.27,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,True,True,20,13,Christian Ponder
2012,2012-10-07,5,5,24.225,MIN,TEN,True,25,35,71.43,258,2,2,87.6,1,0,7.37,5.94,3,31,10.33,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,96%,0,0%,0,0%,False,True,30,7,Christian Ponder
2012,2012-10-14,6,6,24.232,MIN,WAS,True,35,52,67.31,352,2,2,83.2,4,25,6.77,5.81,4,13,3.25,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,84,100%,0,0%,0,0%,True,False,26,38,Christian Ponder
2012,2012-10-21,7,7,24.239,MIN,ARI,True,8,17,47.06,58,1,2,35.5,3,15,3.41,-0.71,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,52,100%,0,0%,0,0%,False,True,21,14,Christian Ponder
2012,2012-10-25,8,8,24.243,MIN,TAM,True,19,35,54.29,251,1,1,74.8,3,22,7.17,6.46,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,60,100%,0,0%,0,0%,False,False,17,36,Christian Ponder
2012,2012-11-04,9,9,24.253,MIN,SEA,True,11,22,50.00,63,0,1,37.3,4,19,2.86,0.82,5,23,4.60,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,0,0%,True,False,20,30,Christian Ponder
2012,2012-11-11,10,10,24.260,MIN,DET,True,24,32,75.00,221,2,0,114.2,2,14,6.91,8.16,6,22,3.67,0,1,1,-15,-15.00,0,100.0%,-15.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,0,0%,False,True,34,24,Christian Ponder
2012,2012-11-25,11,12,24.274,MIN,CHI,True,22,43,51.16,159,1,1,58.2,2,15,3.70,3.12,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,66,100%,0,0%,0,0%,True,False,10,28,Christian Ponder
2012,2012-12-02,12,13,24.281,MIN,GNB,True,12,25,48.00,119,1,2,41.9,0,0,4.76,1.96,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,55,100%,0,0%,0,0%,True,False,14,23,Christian Ponder
2012,2012-12-09,13,14,24.288,MIN,CHI,True,11,17,64.71,91,0,1,53.8,1,14,5.35,2.71,4,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,57,100%,0,0%,0,0%,False,True,21,14,Christian Ponder
2012,2012-12-16,14,15,24.295,MIN,STL,True,17,24,70.83,131,0,0,83.9,2,22,5.46,5.46,4,6,1.50,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,1,0,0,0,0,0,59,100%,0,0%,0,0%,True,True,36,22,Christian Ponder
2012,2012-12-23,15,16,24.302,MIN,HOU,True,16,30,53.33,174,1,0,81.8,1,3,5.80,6.47,7,48,6.86,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,74,100%,0,0%,0,0%,True,True,23,6,Christian Ponder
2012,2012-12-30,16,17,24.309,MIN,GNB,True,16,28,57.14,234,3,0,120.2,1,7,8.36,10.50,2,16,8.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,69,100%,0,0%,0,0%,False,True,37,34,Christian Ponder
2013,2013-09-08,1,1,25.195,MIN,DET,True,18,28,64.29,236,1,3,63.1,3,11,8.43,4.32,4,12,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,55,100%,0,0%,0,0%,True,False,24,34,Christian Ponder
2013,2013-09-15,2,2,25.202,MIN,CHI,True,16,30,53.33,227,1,1,75.3,1,0,7.57,6.73,6,18,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,False,30,31,Christian Ponder
2013,2013-09-22,3,3,25.209,MIN,CLE,True,25,42,59.52,228,0,1,64.4,6,33,5.43,4.36,5,46,9.20,2,0,0,0,,0,0.0%,,2,12,0.0,0,0,0,,,1,1,0,0,0,0,79,100%,0,0%,0,0%,False,False,27,31,Christian Ponder
2013,2013-09-29,4,4,,MIN,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,34,27,Christian Ponder
2013,2013-10-13,5,6,,MIN,CAR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,10,35,Christian Ponder
2013,2013-10-21,6,7,,MIN,NYG,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,7,23,Christian Ponder
2013,2013-10-27,7,8,25.244,MIN,GNB,True,14,21,66.67,145,0,0,86.4,3,13,6.90,6.90,5,38,7.60,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,47,100%,0,0%,0,0%,False,False,31,44,Christian Ponder
2013,2013-11-03,8,9,25.251,MIN,DAL,True,25,37,67.57,236,1,1,82.7,2,12,6.38,5.70,4,29,7.25,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,,,2,1,0,1,0,0,70,100%,0,0%,0,0%,True,False,23,27,Christian Ponder
2013,2013-11-07,9,10,25.255,MIN,WAS,True,17,21,80.95,174,2,1,113.1,1,5,8.29,8.05,2,13,6.50,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,35,67%,0,0%,0,0%,False,True,34,27,Christian Ponder
2013,2013-11-17,10,11,25.265,MIN,SEA,True,13,22,59.09,129,1,2,53.0,2,3,5.86,2.68,5,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,2,1,0,0,-7,0,56,76%,0,0%,0,0%,True,False,20,41,Christian Ponder
2013,2013-11-24,11,12,25.272,MIN,GNB,True,21,30,70.00,233,1,0,103.9,6,18,7.77,8.43,3,-5,-1.67,0,0,0,0,,0,0.0%,,0,0,0.0,1,0,1,,,0,0,0,0,0,0,80,100%,0,0%,0,0%,True,False,26,26,Christian Ponder
2013,2013-12-01,12,13,25.279,MIN,CHI,True,3,8,37.50,40,0,0,54.2,3,24,5.00,5.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,29%,0,0%,0,0%,False,True,23,20,Christian Ponder
2013,2013-12-08,13,14,,MIN,BAL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,26,29,Christian Ponder
2013,2013-12-15,14,15,,MIN,PHI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,48,30,Christian Ponder
2013,2013-12-22,15,16,,MIN,CIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,14,42,Christian Ponder
2013,2013-12-29,16,17,,MIN,DET,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,14,13,Christian Ponder
2014,2014-09-07,1,1,,MIN,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,34,6,Christian Ponder
2014,2014-09-14,2,2,,MIN,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,7,30,Christian Ponder
2014,2014-09-21,3,3,,MIN,NOR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,9,20,Christian Ponder
2014,2014-09-28,4,4,26.215,MIN,ATL,False,0,0,,0,0,0,,0,0,,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,13%,0,0%,0,0%,False,True,41,28,Christian Ponder
2014,2014-10-02,5,5,26.219,MIN,GNB,True,22,44,50.00,222,0,2,45.8,6,34,5.05,3.00,3,15,5.00,1,0,0,0,,0,0.0%,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,True,False,10,42,Christian Ponder
2014,2014-10-12,6,6,,MIN,DET,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,3,17,Christian Ponder
2014,2014-10-19,7,7,,MIN,BUF,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,16,17,Christian Ponder
2014,2014-10-26,8,8,,MIN,TAM,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,19,13,Christian Ponder
2014,2014-11-02,9,9,,MIN,WAS,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,29,26,Christian Ponder
2014,2014-11-16,10,11,,MIN,CHI,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,13,21,Christian Ponder
2014,2014-11-23,11,12,,MIN,GNB,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,False,21,24,Christian Ponder
2014,2014-11-30,12,13,,MIN,CAR,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,31,13,Christian Ponder
2014,2014-12-07,13,14,,MIN,NYJ,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,True,30,24,Christian Ponder
2014,2014-12-14,14,15,,MIN,DET,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,False,14,16,Christian Ponder
