Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2008.0,2008-09-08,1.0,1.0,23.1,GNB,MIN,W 24-19,False,1,0,0,,0,0.0%,0.00,0,0,,0,1,23,23.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jordy Nelson,True,24,19
2008.0,2008-09-14,2.0,2.0,23.106,GNB,DET,W 48-25,False,2,1,29,29.00,1,50.0%,14.50,0,0,,0,0,0,,0,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Jordy Nelson,True,48,25
2008.0,2008-09-21,3.0,3.0,23.113,GNB,DAL,L 16-27,False,9,4,42,10.50,0,44.4%,4.67,0,0,,0,1,18,18.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Jordy Nelson,False,16,27
2008.0,2008-09-28,4.0,4.0,23.12,GNB,TAM,L 21-30,False,5,4,31,7.75,0,80.0%,6.20,0,0,,0,1,5,5.00,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,Jordy Nelson,False,21,30
2008.0,2008-10-05,5.0,5.0,23.127,GNB,ATL,L 24-27,False,1,1,14,14.00,0,100.0%,14.00,0,0,,0,1,0,0.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jordy Nelson,False,24,27
2008.0,2008-10-12,6.0,6.0,23.134,GNB,SEA,W 27-17,False,4,4,42,10.50,0,100.0%,10.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Jordy Nelson,True,27,17
2008.0,2008-10-19,7.0,7.0,23.141,GNB,IND,W 34-14,False,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,Jordy Nelson,True,34,14
2008.0,2008-11-02,8.0,9.0,23.155,GNB,TEN,L 16-19,True,3,2,34,17.00,0,66.7%,11.33,0,0,,0,1,40,40.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Jordy Nelson,False,16,19
2008.0,2008-11-09,9.0,10.0,23.162,GNB,MIN,L 27-28,True,4,2,17,8.50,0,50.0%,4.25,0,0,,0,2,28,14.00,0,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,Jordy Nelson,False,27,28
2008.0,2008-11-16,10.0,11.0,23.169,GNB,CHI,W 37-3,False,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,Jordy Nelson,True,37,3
