Year,Date,G#,Week,Age,Tm,Opp,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-09-09,1,1,,CHI,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,41,21,Ryan Quigley
2013,2013-09-22,3,3,23.239,NYJ,BUF,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,294,42.00,0,0,0%,0,0%,12,35%,False,True,27,20,Ryan Quigley
2013,2013-09-29,4,4,23.246,NYJ,TEN,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,245,49.00,0,0,0%,0,0%,8,25%,True,False,13,38,Ryan Quigley
2013,2013-10-07,5,5,23.254,NYJ,ATL,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,140,46.67,0,0,0%,0,0%,9,33%,True,True,30,28,Ryan Quigley
2013,2013-10-13,6,6,23.260,NYJ,PIT,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,312,44.57,0,0,0%,0,0%,9,31%,False,False,6,19,Ryan Quigley
2013,2013-10-20,7,7,23.267,NYJ,NWE,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,241,40.17,0,0,0%,0,0%,13,33%,False,True,30,27,Ryan Quigley
2013,2013-10-27,8,8,23.274,NYJ,CIN,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,248,49.60,0,0,0%,0,0%,8,27%,True,False,9,49,Ryan Quigley
2013,2013-11-03,9,9,23.281,NYJ,NOR,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,222,44.40,0,0,0%,0,0%,12,39%,False,True,26,20,Ryan Quigley
2013,2013-11-17,10,11,23.295,NYJ,BUF,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,284,47.33,0,0,0%,0,0%,9,26%,True,False,14,37,Ryan Quigley
2013,2013-11-24,11,12,23.302,NYJ,BAL,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,8,411,51.38,0,0,0%,0,0%,9,32%,True,False,3,19,Ryan Quigley
2013,2013-12-01,12,13,23.309,NYJ,MIA,False,0,0,,0,0,0,,0,0,,,,,,,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,7,316,45.14,0,0,0%,0,0%,8,32%,False,False,3,23,Ryan Quigley
