Year,Date,G#,Week,Age,Tm,Opp,GS,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2008,2008-11-09,9,10,22.177,NOR,ATL,False,2,2,100.0,2,2,100.0,0,8,0.0,1,0,1,0,0,,,,,,,True,False,20,34,Garrett Hartley
2008,2008-11-16,10,11,22.184,NOR,KAN,False,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,,,,,,,True,True,30,20,Garrett Hartley
2008,2008-11-24,11,12,22.192,NOR,GNB,False,6,6,100.0,1,1,100.0,0,9,0.0,0,0,0,,,,,,,,,False,True,51,29,Garrett Hartley
2008,2008-11-30,12,13,22.198,NOR,TAM,False,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,,,,,,,True,False,20,23,Garrett Hartley
2008,2008-12-07,13,14,22.205,NOR,ATL,False,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,,,,,,,False,True,29,25,Garrett Hartley
2008,2008-12-11,14,15,22.209,NOR,CHI,False,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,,,,,,,,,True,False,24,27,Garrett Hartley
2008,2008-12-21,15,16,22.219,NOR,DET,False,6,6,100.0,,,,0,6,0.0,0,0,0,,,,,,,,,True,True,42,7,Garrett Hartley
2008,2008-12-28,16,17,22.226,NOR,CAR,False,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,,,,,,,False,False,31,33,Garrett Hartley
2009,2009-09-13,1,1,,NOR,DET,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,45,27,Garrett Hartley
2009,2009-09-20,2,2,,NOR,PHI,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,True,48,22,Garrett Hartley
2009,2009-09-27,3,3,,NOR,BUF,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,True,True,27,7,Garrett Hartley
2009,2009-10-04,4,4,,NOR,NYJ,True,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,False,True,24,10,Garrett Hartley
2009,2009-10-18,5,6,,NOR,NYG,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,48,27,Garrett Hartley
2009,2009-10-25,6,7,,NOR,MIA,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,46,34,Garrett Hartley
2009,2009-11-02,7,8,,NOR,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,35,27,Garrett Hartley
2009,2009-11-08,8,9,,NOR,CAR,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,30,20,Garrett Hartley
2009,2009-11-15,9,10,,NOR,STL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,28,23,Garrett Hartley
2009,2009-11-22,10,11,,NOR,TAM,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,38,7,Garrett Hartley
2009,2009-11-30,11,12,,NOR,NWE,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,17,Garrett Hartley
2009,2009-12-06,12,13,23.204,NOR,WAS,False,3,3,100.0,4,5,80.0,0,15,0.0,0,0,0,,,,,,,,,True,True,33,30,Garrett Hartley
2009,2009-12-13,13,14,23.211,NOR,ATL,False,2,3,66.7,2,2,100.0,0,8,0.0,0,0,0,,,,,,,,,True,True,26,23,Garrett Hartley
2009,2009-12-19,14,15,23.217,NOR,DAL,False,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,,,,,,,False,False,17,24,Garrett Hartley
