Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2011,2011-11-27,11,12,22.043,JAX,,HOU,L 13-20,True,13,29,44.83,136,0,1,44.6,6,35,4.69,3.14,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,False,Blaine Gabbert
2011,2011-12-05,12,13,22.051,JAX,,SDG,L 14-38,True,19,33,57.58,195,2,1,82.3,2,18,5.91,5.76,6,19,3.17,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-2,0,,,,,,,False,Blaine Gabbert
2011,2011-12-11,13,14,22.057,JAX,,TAM,W 41-14,True,19,33,57.58,217,2,2,72.4,1,8,6.58,5.06,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,-2,0,,,,,,,False,Blaine Gabbert
2011,2011-12-15,14,15,22.061,JAX,@,ATL,L 14-41,True,12,22,54.55,141,1,1,70.5,5,50,6.41,5.27,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,,,,,,,True,Blaine Gabbert
2011,2011-12-24,15,16,22.070,JAX,@,TEN,L 17-23,True,21,42,50.00,198,0,1,53.5,1,11,4.71,3.64,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,True,Blaine Gabbert
2011,2012-01-01,16,17,22.078,JAX,,IND,W 19-13,True,11,19,57.89,92,1,0,88.0,3,21,4.84,5.89,3,-3,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,False,Blaine Gabbert
2012,2012-09-09,1,1,22.330,JAX,@,MIN,L 23-26,True,23,39,58.97,260,2,0,96.1,2,18,6.67,7.69,5,6,1.20,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,79,100%,0,0%,0,0%,True,Blaine Gabbert
2012,2012-09-16,2,2,22.337,JAX,,HOU,L 7-27,True,7,19,36.84,53,1,0,62.8,3,24,2.79,3.84,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,38,88%,0,0%,0,0%,False,Blaine Gabbert
2012,2012-09-23,3,3,22.344,JAX,@,IND,W 22-17,True,10,21,47.62,155,1,0,88.4,1,7,7.38,8.33,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,True,Blaine Gabbert
2012,2012-09-30,4,4,22.351,JAX,,CIN,L 10-27,True,23,34,67.65,186,1,1,78.8,6,43,5.47,4.74,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Blaine Gabbert
2012,2012-10-07,5,5,22.358,JAX,,CHI,L 3-41,True,17,33,51.52,142,0,2,37.7,3,13,4.30,1.58,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,False,Blaine Gabbert
2012,2012-10-21,6,7,23.006,JAX,@,OAK,L 23-26,True,8,12,66.67,110,1,0,123.6,0,0,9.17,10.83,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,27,42%,0,0%,0,0%,True,Blaine Gabbert
2012,2012-10-28,7,8,23.013,JAX,@,GNB,L 15-24,True,27,49,55.10,303,1,0,80.6,2,24,6.18,6.59,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,77,100%,0,0%,0,0%,True,Blaine Gabbert
2012,2012-11-04,8,9,23.020,JAX,,DET,L 14-31,True,27,38,71.05,220,2,2,81.0,1,5,5.79,4.47,3,4,1.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,False,Blaine Gabbert
2012,2012-11-08,9,10,23.024,JAX,,IND,L 10-27,True,18,31,58.06,209,0,1,65.1,3,24,6.74,5.29,1,10,10.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,50,71%,0,0%,0,0%,False,Blaine Gabbert
2012,2012-11-18,10,11,23.034,JAX,@,HOU,L 37-43,True,2,2,100.00,24,0,0,116.7,1,0,12.00,12.00,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,5,8%,0,0%,0,0%,True,Blaine Gabbert
2012,2012-11-25,11,12,,JAX,,TEN,W 24-19,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Blaine Gabbert
2012,2012-12-02,12,13,,JAX,@,BUF,L 18-34,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Blaine Gabbert
2012,2012-12-09,13,14,,JAX,,NYJ,L 10-17,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Blaine Gabbert
2012,2012-12-16,14,15,,JAX,@,MIA,L 3-24,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Blaine Gabbert
2012,2012-12-23,15,16,,JAX,,NWE,L 16-23,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,Blaine Gabbert
2012,2012-12-30,16,17,,JAX,@,TEN,L 20-38,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,Blaine Gabbert
2013,2013-09-08,1,1,23.328,JAX,,KAN,L 2-28,True,16,35,45.71,121,0,2,30.8,6,50,3.46,0.89,4,16,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,65,92%,0,0%,0,0%,False,Blaine Gabbert
