Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_Sfty,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2013.0,2013-09-29,4.0,4.0,23.235,SEA,HOU,W 23-20,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,30,49%,0,0%,13,38%,True,Jermaine Kearse,True,23,20
2013.0,2013-10-06,5.0,5.0,23.242,SEA,IND,L 28-34,False,1,1,28,28.00,1,100.0%,28.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,1,1,8,0.0,0,0,0,0,0,0,0,0,0,0,0,25,36%,0,0%,16,52%,True,Jermaine Kearse,False,28,34
2013.0,2013-10-13,6.0,6.0,23.249,SEA,TEN,W 20-13,False,3,3,17,5.67,0,100.0%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,3,95,31.67,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,25,37%,0,0%,11,46%,False,Jermaine Kearse,True,20,13
2013.0,2013-10-17,7.0,7.0,23.253,SEA,ARI,W 34-22,False,3,1,17,17.00,0,33.3%,5.67,0,0,,0,0,0,,0,0,0,,0,0,,,2,18,9.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,28,42%,0,0%,13,43%,True,Jermaine Kearse,True,34,22
2013.0,2013-10-28,8.0,8.0,23.264,SEA,STL,W 14-9,False,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,61%,0,0%,10,38%,True,Jermaine Kearse,True,14,9
2013.0,2013-11-03,9.0,9.0,23.27,SEA,TAM,W 27-24,False,2,2,43,21.50,1,100.0%,21.50,0,0,,0,0,0,,0,0,0,,0,0,,,3,56,18.67,0,,1,6,0.0,0,1,1,0,0,1,1,0,0,0,0,38,60%,0,0%,12,41%,False,Jermaine Kearse,True,27,24
2013.0,2013-11-10,10.0,10.0,23.277,SEA,ATL,W 33-10,False,4,3,75,25.00,1,75.0%,18.75,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,,1,6,0.0,2,0,2,0,0,0,0,0,0,0,0,47,68%,0,0%,15,56%,True,Jermaine Kearse,True,33,10
2013.0,2013-11-17,11.0,11.0,23.284,SEA,MIN,W 41-20,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,3,6%,0,0%,3,9%,False,Jermaine Kearse,True,41,20
2013.0,2013-12-02,12.0,13.0,23.299,SEA,NOR,W 34-7,True,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,55,77%,0,0%,9,36%,False,Jermaine Kearse,True,34,7
2013.0,2013-12-08,13.0,14.0,23.305,SEA,SFO,L 17-19,True,5,2,15,7.50,0,40.0%,3.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,40,75%,0,0%,6,21%,True,Jermaine Kearse,False,17,19
