Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-10-23,6,7,28.208,WAS,CAR,False,4,1,9,9.00,0,25.0%,2.25,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,33,Anthony Armstrong
2011,2011-10-30,7,8,28.215,WAS,BUF,True,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,0,23,Anthony Armstrong
2011,2011-11-06,8,9,28.222,WAS,SFO,False,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,11,19,Anthony Armstrong
2011,2011-11-13,9,10,28.229,WAS,MIA,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,9,20,Anthony Armstrong
2011,2011-11-20,10,11,28.236,WAS,DAL,True,2,0,0,,0,0.0%,0.00,1,5,5.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,24,27,Anthony Armstrong
2011,2011-11-27,11,12,28.243,WAS,SEA,False,1,1,50,50.00,1,100.0%,50.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,17,Anthony Armstrong
2011,2011-12-04,12,13,28.250,WAS,NYJ,False,0,0,0,,0,0.0%,,0,0,,0,1,28,28.00,0,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,19,34,Anthony Armstrong
2011,2011-12-11,13,14,28.257,WAS,NWE,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,0,0,0,,,0,0,0,,,,,,,False,False,27,34,Anthony Armstrong
2011,2011-12-18,14,15,28.264,WAS,NYG,False,1,0,0,,0,0.0%,0.00,1,14,14.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,23,10,Anthony Armstrong
2011,2011-12-24,15,16,28.270,WAS,MIN,False,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,,0,0,0,0,,,,,,,False,False,26,33,Anthony Armstrong
2011,2012-01-01,16,17,28.278,WAS,PHI,False,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,34,Anthony Armstrong
2012,2012-09-09,1,1,29.164,MIA,HOU,False,3,1,3,3.00,0,33.3%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,34,55%,0,0%,0,0%,True,False,10,30,Anthony Armstrong
2012,2012-09-16,2,2,,MIA,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,35,13,Anthony Armstrong
2012,2012-09-23,3,3,29.178,MIA,NYJ,False,6,2,9,4.50,0,33.3%,1.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,27,33%,0,0%,0,0%,False,False,20,23,Anthony Armstrong
2012,2012-09-30,4,4,29.185,MIA,ARI,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,6,8%,0,0%,6,19%,True,False,21,24,Anthony Armstrong
2012,2012-10-07,5,5,29.192,MIA,CIN,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,1,2%,0,0%,3,11%,True,True,17,13,Anthony Armstrong
2012,2012-10-14,6,6,29.199,MIA,STL,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,1,2%,0,0%,3,11%,False,True,17,14,Anthony Armstrong
2012,2012-10-28,7,8,,MIA,NYJ,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,30,9,Anthony Armstrong
2012,2012-11-04,8,9,,JAX,DET,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,14,31,Anthony Armstrong
2012,2012-11-08,9,10,,JAX,IND,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,10,27,Anthony Armstrong
2012,2012-12-02,12,13,,DAL,PHI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,33,Anthony Armstrong
2012,2012-12-09,13,14,,DAL,CIN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,True,20,19,Anthony Armstrong
2012,2012-12-16,14,15,29.262,DAL,PIT,False,,,,,,0.0%,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,0,0%,0,0%,21,66%,False,True,27,24,Anthony Armstrong
,35 Games,,,,,,False,122,54,986,18.26,5,44.3%,8.08,2,19,9.50,0,1,28,28.00,0,5,30,0.0,7,3,10,0,0,1,1,0,1,0,0,,,,,,,False,False,22,0,Anthony Armstrong
