Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2012,2012-11-11,9,10,27.262,DET,MIN,False,9,3,32,10.67,1,33.3%,3.56,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,37,59%,0,0%,4,12%,True,False,24,34,Brandon Pettigrew
2012,2012-11-18,10,11,27.269,DET,GNB,True,7,4,22,5.50,0,57.1%,3.14,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,86%,0,0%,4,15%,False,False,20,24,Brandon Pettigrew
2012,2012-11-22,11,12,27.273,DET,HOU,True,15,8,74,9.25,0,53.3%,4.93,0,0,0.0,0,0,0,,,1,1,0,0,0,0,89,100%,0,0%,6,15%,False,False,31,34,Brandon Pettigrew
2012,2012-12-02,12,13,27.283,DET,IND,True,8,3,43,14.33,1,37.5%,5.38,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,60,78%,0,0%,7,18%,False,False,33,35,Brandon Pettigrew
2012,2012-12-09,13,14,27.290,DET,GNB,True,,,,,,0.0%,,0,0,0.0,,,,,,0,,,0,0,0,16,19%,0,0%,1,4%,True,False,20,27,Brandon Pettigrew
2012,2012-12-16,14,15,,DET,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,10,38,Brandon Pettigrew
2012,2012-12-22,15,16,,DET,ATL,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,18,31,Brandon Pettigrew
2012,2012-12-30,16,17,27.311,DET,CHI,False,3,2,11,5.50,0,66.7%,3.67,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,23%,0,0%,0,0%,False,False,24,26,Brandon Pettigrew
2013,2013-09-08,1,1,28.197,DET,MIN,True,4,2,6,3.00,0,50.0%,1.50,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,76,95%,0,0%,7,21%,False,True,34,24,Brandon Pettigrew
2013,2013-09-15,2,2,28.204,DET,ARI,True,6,3,32,10.67,0,50.0%,5.33,0,0,0.0,1,0,1,0,0,0,0,0,0,0,0,56,95%,0,0%,6,19%,True,False,21,25,Brandon Pettigrew
2013,2013-09-22,3,3,28.211,DET,WAS,True,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,81%,0,0%,6,19%,True,True,27,20,Brandon Pettigrew
2013,2013-09-29,4,4,28.218,DET,CHI,True,7,7,54,7.71,0,100.0%,7.71,0,0,0.0,0,0,0,,,0,0,0,0,0,0,59,89%,0,0%,10,29%,False,True,40,32,Brandon Pettigrew
2013,2013-10-06,5,5,28.225,DET,GNB,True,5,4,59,14.75,0,80.0%,11.80,0,0,0.0,0,0,0,,,0,0,0,0,0,0,64,96%,0,0%,1,4%,True,False,9,22,Brandon Pettigrew
2013,2013-10-13,6,6,28.232,DET,CLE,True,4,4,36,9.00,0,100.0%,9.00,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,91%,0,0%,6,21%,True,True,31,17,Brandon Pettigrew
