Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2012.0,2012-09-09,1.0,1.0,22.255,CLE,PHI,L 16-17,False,6,1,12,12.00,0,16.7%,2.00,1,35,35.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,22,36%,0,0%,0,0%,False,Travis Benjamin,False,16,17
2012.0,2012-09-16,2.0,2.0,22.262,CLE,CIN,L 27-34,True,0,0,0,,0,0.0%,,2,15,7.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,18,28%,0,0%,1,3%,True,Travis Benjamin,False,27,34
2012.0,2012-09-23,3.0,3.0,22.269,CLE,BUF,L 14-24,False,4,2,44,22.00,1,50.0%,11.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,39,62%,0,0%,0,0%,False,Travis Benjamin,False,14,24
2012.0,2012-09-27,4.0,4.0,22.273,CLE,BAL,L 16-23,False,5,2,26,13.00,0,40.0%,5.20,1,0,0.00,0,0,0,,0,0,0,,0,0,,,2,47,23.50,0,1,40,40.00,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,45,63%,0,0%,8,24%,True,Travis Benjamin,False,16,23
2012.0,2012-10-07,5.0,5.0,,CLE,NYG,L 27-41,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Travis Benjamin,False,27,41
2012.0,2012-10-14,6.0,6.0,,CLE,CIN,W 34-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,Travis Benjamin,True,34,24
2012.0,2012-10-21,7.0,7.0,22.297,CLE,IND,L 13-17,False,5,3,33,11.00,0,60.0%,6.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,20%,0,0%,0,0%,True,Travis Benjamin,False,13,17
2012.0,2012-10-28,8.0,8.0,22.304,CLE,SDG,W 7-6,False,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,5,8%,0,0%,0,0%,False,Travis Benjamin,True,7,6
2012.0,2012-11-04,9.0,9.0,22.311,CLE,BAL,L 15-25,False,3,1,19,19.00,0,33.3%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,21,30%,0,0%,0,0%,False,Travis Benjamin,False,15,25
2012.0,2012-11-18,10.0,11.0,22.325,CLE,DAL,L 20-23,False,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,10,14%,0,0%,1,3%,True,Travis Benjamin,False,20,23
