Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_TD,Scoring_Pts,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_PD,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2014.0,2014-10-12,5.0,6.0,,CIN,CAR,T 37-37,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,A.J. Green,False,37,37
2014.0,2014-10-19,6.0,7.0,,CIN,IND,L 0-27,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,A.J. Green,False,0,27
2014.0,2014-10-26,7.0,8.0,,CIN,BAL,W 27-24,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,A.J. Green,True,27,24
2014.0,2014-11-02,8.0,9.0,26.094,CIN,JAX,W 33-23,True,6,3,44,14.67,1,50.0%,7.33,1,-3,-3.00,0,1,6,0,0,0,0,1,0,0,0,0,0,38,56%,0,0%,0,0%,False,A.J. Green,True,33,23
2014.0,2014-11-06,9.0,10.0,26.098,CIN,CLE,L 3-24,True,10,3,23,7.67,0,30.0%,2.30,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,60,88%,0,0%,0,0%,False,A.J. Green,False,3,24
2014.0,2014-11-16,10.0,11.0,26.108,CIN,NOR,W 27-10,True,8,6,127,21.17,1,75.0%,15.88,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,55,90%,0,0%,0,0%,True,A.J. Green,True,27,10
2014.0,2014-11-23,11.0,12.0,26.115,CIN,HOU,W 22-13,True,16,12,121,10.08,0,75.0%,7.56,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,74,91%,0,0%,0,0%,True,A.J. Green,True,22,13
2014.0,2014-11-30,12.0,13.0,26.122,CIN,TAM,W 14-13,True,8,4,57,14.25,1,50.0%,7.13,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,56,92%,0,0%,0,0%,True,A.J. Green,True,14,13
2014.0,2014-12-07,13.0,14.0,26.129,CIN,PIT,L 21-42,True,15,11,224,20.36,1,73.3%,14.93,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,54,89%,0,0%,0,0%,False,A.J. Green,False,21,42
2014.0,2014-12-14,14.0,15.0,26.136,CIN,CLE,W 30-0,True,11,5,49,9.80,0,45.5%,4.45,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,64,86%,0,0%,0,0%,True,A.J. Green,True,30,0
2014.0,2014-12-22,15.0,16.0,26.144,CIN,DEN,W 37-28,True,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,40%,0,0%,0,0%,False,A.J. Green,True,37,28
2014.0,2014-12-28,16.0,17.0,26.15,CIN,PIT,L 17-27,True,13,8,82,10.25,0,61.5%,6.31,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,63,89%,0,0%,0,0%,True,A.J. Green,False,17,27
2015.0,2015-09-13,1.0,1.0,27.044,CIN,OAK,W 33-13,True,8,5,63,12.60,0,62.5%,7.88,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,58,85%,0,0%,0,0%,True,A.J. Green,True,33,13
2015.0,2015-09-20,2.0,2.0,27.051,CIN,SDG,W 24-19,True,4,3,45,15.00,1,75.0%,11.25,0,0,,0,1,6,0,0,0,0,0,0,0,0,0,0,61,92%,0,0%,0,0%,False,A.J. Green,True,24,19
