Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2016,2016-09-11,1,1,22.148,HOU,,CHI,W 23-14,True,11,5,107,21.40,1,45.5%,9.73,0,0,,0,0,0,,0,0,0,,0,,1,6,0,0,0,0,0,0,54,72%,0,0%,3,11%,False,Will Fuller
2016,2016-09-18,2,2,22.155,HOU,,KAN,W 19-12,True,7,4,104,26.00,0,57.1%,14.86,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,65,90%,0,0%,2,6%,False,Will Fuller
2016,2016-09-22,3,3,22.159,HOU,@,NWE,L 0-27,True,7,3,31,10.33,0,42.9%,4.43,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Will Fuller
2016,2016-10-02,4,4,22.169,HOU,,TEN,W 27-20,True,9,7,81,11.57,1,77.8%,9.00,0,0,,0,0,0,,0,1,67,67.00,1,,2,12,0,0,0,0,0,0,56,88%,0,0%,1,3%,False,Will Fuller
2016,2016-10-09,5,5,22.176,HOU,@,MIN,L 13-31,True,6,1,4,4.00,0,16.7%,0.67,0,0,,0,0,0,,0,1,14,14.00,0,,0,0,0,0,0,0,0,0,64,100%,0,0%,3,10%,True,Will Fuller
2016,2016-10-16,6,6,,HOU,,IND,W 26-23,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,Will Fuller
2016,2016-10-24,7,7,22.191,HOU,@,DEN,L 9-27,True,7,4,22,5.50,0,57.1%,3.14,0,0,,0,1,19,19.00,0,0,0,,0,,0,0,0,0,0,0,0,0,66,94%,0,0%,4,13%,True,Will Fuller
2016,2016-10-30,8,8,22.197,HOU,,DET,W 20-13,True,4,1,23,23.00,0,25.0%,5.75,0,0,,0,0,0,,0,1,3,3.00,0,,0,0,0,0,0,0,0,0,47,70%,0,0%,2,8%,False,Will Fuller
2016,2016-11-13,9,10,,HOU,@,JAX,W 24-21,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,Will Fuller
2016,2016-11-21,10,11,22.219,HOU,@,OAK,L 20-27,False,4,1,17,17.00,0,25.0%,4.25,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,41,54%,0,0%,0,0%,True,Will Fuller
2016,2016-11-27,11,12,22.225,HOU,,SDG,L 13-21,True,6,4,60,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,3,27,9.00,0,,0,0,1,0,0,0,0,0,53,77%,0,0%,6,23%,False,Will Fuller
2016,2016-12-04,12,13,22.232,HOU,@,GNB,L 13-21,True,6,5,59,11.80,0,83.3%,9.83,0,0,,0,0,0,,0,1,16,16.00,0,,0,0,0,0,0,0,0,0,52,79%,0,0%,5,23%,True,Will Fuller
2016,2016-12-11,13,14,22.239,HOU,@,IND,W 22-17,True,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,0,58,81%,0,0%,2,8%,True,Will Fuller
