Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2011,2011-09-11,1,1,24.153,IND,HOU,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,7,34,Donald Brown
2011,2011-09-18,2,2,24.160,IND,CLE,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,19,27,Donald Brown
2011,2011-09-25,3,3,24.167,IND,PIT,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,20,23,Donald Brown
2011,2011-10-03,4,4,24.175,IND,TAM,False,,,,,,,,,,0.0%,,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,17,24,Donald Brown
2011,2011-10-09,5,5,24.181,IND,KAN,False,8,38,4.75,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,24,28,Donald Brown
2011,2011-10-16,6,6,24.188,IND,CIN,False,5,35,7.00,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,17,27,Donald Brown
2011,2011-10-23,7,7,24.195,IND,NOR,False,9,47,5.22,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,62,Donald Brown
2011,2011-10-30,8,8,24.202,IND,TEN,False,10,33,3.30,1,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,1,6,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,10,27,Donald Brown
2011,2011-11-06,9,9,24.209,IND,ATL,False,16,70,4.38,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,7,31,Donald Brown
2011,2011-11-13,10,10,24.216,IND,JAX,True,14,53,3.79,0,4,4,12,3.00,0,100.0%,3.00,0,0,,0,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,False,False,3,17,Donald Brown
2011,2011-11-27,11,12,24.230,IND,CAR,False,14,80,5.71,1,1,1,17,17.00,0,100.0%,17.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,19,27,Donald Brown
2011,2011-12-04,12,13,24.237,IND,NWE,False,14,41,2.93,1,1,1,15,15.00,0,100.0%,15.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,24,31,Donald Brown
2011,2011-12-11,13,14,24.244,IND,BAL,True,9,28,3.11,0,1,1,-6,-6.00,0,100.0%,-6.00,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,24,Donald Brown
2011,2011-12-18,14,15,24.251,IND,TEN,False,16,161,10.06,1,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,27,13,Donald Brown
2011,2011-12-22,15,16,24.255,IND,HOU,False,11,35,3.18,0,3,2,13,6.50,0,66.7%,4.33,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,19,16,Donald Brown
2011,2012-01-01,16,17,24.265,IND,JAX,False,8,24,3.00,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,13,19,Donald Brown
2012,2012-09-09,1,1,25.151,IND,CHI,True,9,48,5.33,1,2,0,0,,0,0.0%,0.00,0,0,,0,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,28,42%,0,0%,0,0%,True,False,21,41,Donald Brown
2012,2012-09-16,2,2,25.158,IND,MIN,True,16,45,2.81,0,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,32,48%,0,0%,0,0%,False,True,23,20,Donald Brown
