Year,Date,G#,Week,Age,Tm,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player,Win,Score,Opp Score
2020.0,2020-09-13,1.0,1.0,,LAC,CIN,W 16-13,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,Justin Herbert,True,16,13
2020.0,2020-09-20,2.0,2.0,22.194,LAC,KAN,L 20-23,True,22,33,66.67,311,1,1,94.4,2,15,9.42,8.67,4,18,4.50,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,83,100%,0,0%,0,0%,False,Justin Herbert,False,20,23
2020.0,2020-09-27,3.0,3.0,22.201,LAC,CAR,L 16-21,True,35,49,71.43,330,1,1,88.0,2,11,6.73,6.22,3,15,5.00,0,,0,0,0.0,0,0,0,0,0,2,1,0,0,-11,0,78,100%,0,0%,0,0%,False,Justin Herbert,False,16,21
2020.0,2020-10-04,4.0,4.0,22.208,LAC,TAM,L 31-38,True,20,25,80.00,290,3,1,137.9,2,12,11.60,12.20,5,14,2.80,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,True,Justin Herbert,False,31,38
2020.0,2020-10-12,5.0,5.0,22.216,LAC,NOR,L 27-30,True,20,34,58.82,264,4,0,122.7,3,25,7.76,10.12,4,8,2.00,0,,0,0,0.0,0,0,0,0,0,1,0,0,1,-1,0,71,100%,0,0%,0,0%,True,Justin Herbert,False,27,30
2020.0,2020-10-25,6.0,7.0,22.229,LAC,JAX,W 39-29,True,27,43,62.79,347,3,0,111.3,1,2,8.07,9.47,9,66,7.33,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,79,98%,0,0%,0,0%,False,Justin Herbert,True,39,29
2020.0,2020-11-01,7.0,8.0,22.236,LAC,DEN,L 30-31,True,29,43,67.44,278,3,2,89.1,2,3,6.47,5.77,3,21,7.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,87,100%,0,0%,0,0%,True,Justin Herbert,False,30,31
2020.0,2020-11-08,8.0,9.0,22.243,LAC,LVR,L 26-31,True,28,42,66.67,326,2,0,105.9,2,14,7.76,8.71,5,24,4.80,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,78,99%,0,0%,0,0%,False,Justin Herbert,False,26,31
2020.0,2020-11-15,9.0,10.0,22.25,LAC,MIA,L 21-29,True,20,32,62.50,187,2,1,86.3,2,13,5.84,5.69,4,10,2.50,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,98%,0,0%,0,0%,True,Justin Herbert,False,21,29
2020.0,2020-11-22,10.0,11.0,22.257,LAC,NYJ,W 34-28,True,37,49,75.51,366,3,0,116.5,3,19,7.47,8.69,2,11,5.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,False,Justin Herbert,True,34,28
2020.0,2020-11-29,11.0,12.0,22.264,LAC,BUF,L 17-27,True,31,52,59.62,316,1,1,75.5,3,25,6.08,5.60,2,-2,-1.00,0,,0,0,0.0,0,0,0,0,0,2,0,0,2,0,0,83,100%,0,0%,0,0%,True,Justin Herbert,False,17,27
2020.0,2020-12-06,12.0,13.0,22.271,LAC,NWE,L 0-45,True,26,53,49.06,209,0,2,43.7,3,21,3.94,2.25,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,False,Justin Herbert,False,0,45
2020.0,2020-12-13,13.0,14.0,22.278,LAC,ATL,W 20-17,True,36,44,81.82,243,2,1,95.4,1,3,5.52,5.41,0,0,,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,False,Justin Herbert,True,20,17
2020.0,2020-12-17,14.0,15.0,22.282,LAC,LVR,W 30-27,True,22,32,68.75,314,2,0,121.1,1,8,9.81,11.06,4,14,3.50,1,,1,6,0.0,0,0,0,0,0,1,0,0,0,0,0,66,100%,0,0%,0,0%,True,Justin Herbert,True,30,27
2020.0,2020-12-27,15.0,16.0,22.292,LAC,DEN,W 19-16,True,21,33,63.64,253,1,0,97.2,2,26,7.67,8.27,4,26,6.50,0,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,False,Justin Herbert,True,19,16
2020.0,2021-01-03,16.0,17.0,22.299,LAC,KAN,W 38-21,True,22,31,70.97,302,3,0,134.1,3,21,9.74,11.68,6,9,1.50,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,True,Justin Herbert,True,38,21
2021.0,2021-09-12,1.0,1.0,23.186,LAC,WAS,W 20-16,True,31,47,65.96,337,1,1,85.2,2,3,7.17,6.64,4,-1,-0.25,0,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,81,100%,0,0%,0,0%,True,Justin Herbert,True,20,16
2021.0,2021-09-19,2.0,2.0,23.193,LAC,DAL,L 17-20,True,31,41,75.61,338,1,2,87.2,2,25,8.24,6.54,4,12,3.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,False,Justin Herbert,False,17,20
2021.0,2021-09-26,3.0,3.0,23.2,LAC,KAN,W 30-24,True,26,38,68.42,281,4,0,125.0,1,6,7.39,9.50,4,16,4.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,True,Justin Herbert,True,30,24
2021.0,2021-10-04,4.0,4.0,23.208,LAC,LVR,W 28-14,True,25,38,65.79,222,3,0,107.6,2,10,5.84,7.42,3,4,1.33,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Justin Herbert,True,28,14
2021.0,2021-10-10,5.0,5.0,23.214,LAC,CLE,W 47-42,True,26,43,60.47,398,4,0,122.0,2,17,9.26,11.12,4,29,7.25,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,False,Justin Herbert,True,47,42
2021.0,2021-10-17,6.0,6.0,23.221,LAC,BAL,L 6-34,True,22,39,56.41,195,1,1,67.8,2,13,5.00,4.36,2,12,6.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,True,Justin Herbert,False,6,34
2021.0,2021-10-31,7.0,8.0,23.235,LAC,NWE,L 24-27,True,18,35,51.43,223,2,2,66.7,3,17,6.37,4.94,2,9,4.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,False,Justin Herbert,False,24,27
2021.0,2021-11-07,8.0,9.0,23.242,LAC,PHI,W 27-24,True,32,38,84.21,356,2,0,123.2,0,0,9.37,10.42,5,14,2.80,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,True,Justin Herbert,True,27,24
2021.0,2021-11-14,9.0,10.0,23.249,LAC,MIN,L 20-27,True,20,34,58.82,195,1,1,72.5,2,24,5.74,5.00,2,22,11.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,False,Justin Herbert,False,20,27
2021.0,2021-11-21,10.0,11.0,23.256,LAC,PIT,W 41-37,True,30,41,73.17,382,3,1,116.1,2,8,9.32,9.68,9,90,10.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,76,100%,0,0%,0,0%,False,Justin Herbert,True,41,37
2021.0,2021-11-28,11.0,12.0,23.263,LAC,DEN,L 13-28,True,28,44,63.64,303,2,2,80.0,3,18,6.89,5.75,4,36,9.00,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,True,Justin Herbert,False,13,28
2021.0,2021-12-05,12.0,13.0,23.27,LAC,CIN,W 41-22,True,26,35,74.29,317,3,1,118.4,4,33,9.06,9.49,1,6,6.00,0,1,0,2,0.0,1,0,1,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,True,Justin Herbert,True,41,22
2021.0,2021-12-12,13.0,14.0,23.277,LAC,NYG,W 37-21,True,23,31,74.19,275,3,0,133.1,2,4,8.87,10.81,4,19,4.75,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,66,93%,0,0%,0,0%,False,Justin Herbert,True,37,21
2021.0,2021-12-16,14.0,15.0,23.281,LAC,KAN,L 28-34,True,22,38,57.89,236,2,1,82.8,0,0,6.21,6.08,5,16,3.20,1,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,False,Justin Herbert,False,28,34
2021.0,2021-12-26,15.0,16.0,23.291,LAC,HOU,L 29-41,True,27,35,77.14,336,1,2,92.1,1,8,9.60,7.60,4,15,3.75,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,True,Justin Herbert,False,29,41
2021.0,2022-01-02,16.0,17.0,23.298,LAC,DEN,W 34-13,True,22,31,70.97,237,2,0,114.6,0,0,7.65,8.94,4,2,0.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,False,Justin Herbert,True,34,13
2021.0,2022-01-09,17.0,18.0,23.305,LAC,LVR,L 32-35,True,34,64,53.13,383,3,1,80.4,3,28,5.98,6.22,2,1,0.50,0,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,93,100%,0,0%,0,0%,True,Justin Herbert,False,32,35
,32 Games,,,,,,15-17-0,False,839,1267,66.22,9350,69,25,97.9,63,432,7.38,7.58,118,536,4.54,8,1,8,50,0.0,1,0,1,0,0,9,2,0,3,-12,0,,,,,,,False,Justin Herbert,False,17,0
