Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Blck,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2000,2000-11-05,10,10,25.332,PHI,DAL,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,True,16,13,David Akers
2000,2000-11-12,11,11,25.339,PHI,PIT,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,4,5,80.0,0,14,0.0,1,0,1,0,,0,0,,0,,,,,,,True,True,26,23,David Akers
2000,2000-11-19,12,12,25.346,PHI,ARI,False,0,0,,0,0,0,,0,0,0,,,,,,4,4,100.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,True,34,9,David Akers
2000,2000-11-26,13,13,25.353,PHI,WAS,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,3,3,100.0,0,11,0.0,,,,,,0,0,,0,,,,,,,True,True,23,20,David Akers
2000,2000-12-03,14,14,25.360,PHI,TEN,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0.0,,,,,,0,0,,0,,,,,,,False,False,13,15,David Akers
2000,2000-12-10,15,15,26.001,PHI,CLE,False,0,0,,0,0,0,,0,0,,,,,,,5,5,100.0,,,,0,5,0.0,,,,,,0,0,,,,,,,,,True,True,35,24,David Akers
2000,2000-12-24,16,17,26.015,PHI,CIN,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,3,4,75.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,True,16,7,David Akers
2001,2001-09-09,1,1,26.274,PHI,STL,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0,0,,0,,,,,,,False,False,17,20,David Akers
2001,2001-09-23,2,2,26.288,PHI,SEA,False,0,0,,0,0,0,,0,0,0,,,,,,3,3,100.0,2,3,66.7,0,9,0.0,,,,,,0,0,,0,,,,,,,True,True,27,3,David Akers
2001,2001-09-30,3,3,26.295,PHI,DAL,False,0,0,,0,0,0,,0,0,0,,,,,,4,5,80.0,2,2,100.0,0,10,0.0,,,,,,0,0,,0,,,,,,,False,True,40,18,David Akers
2001,2001-10-07,4,4,26.302,PHI,ARI,False,0,0,,0,0,0,,0,0,0,,,,,,2,2,100.0,2,2,100.0,0,8,0.0,,,,,,0,0,,0,,,,,,,False,False,20,21,David Akers
2001,2001-10-22,5,6,26.317,PHI,NYG,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,2,50.0,0,4,0.0,0,0,0,0,,0,0,,0,,,,,,,True,True,10,9,David Akers
2001,2001-10-28,6,7,26.323,PHI,OAK,False,0,0,,0,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0.0,,,,,,0,0,,0,,,,,,,False,False,10,20,David Akers
2001,2001-11-04,7,8,26.330,PHI,ARI,False,0,0,,0,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,0.0,0,0,0,0,,0,0,,,,,,,,,True,True,21,7,David Akers
