Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2004,2004-09-12,1,1,22.063,WAS,TAM,True,2,1,16,16.00,0,50.0%,8.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,16,10,Chris Cooley
2004,2004-09-19,2,2,22.070,WAS,NYG,True,4,3,14,4.67,1,75.0%,3.50,0,0,,0,,1,6,0.0,1,0,1,0,,0,,1,0,0,0,,,,,,,True,False,14,20,Chris Cooley
2004,2004-09-27,3,3,22.078,WAS,DAL,False,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,18,21,Chris Cooley
2004,2004-10-03,4,4,22.084,WAS,CLE,True,4,0,0,,0,0.0%,0.00,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,False,13,17,Chris Cooley
2004,2004-10-10,5,5,22.091,WAS,BAL,False,4,2,12,6.00,1,50.0%,3.00,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,10,17,Chris Cooley
2004,2004-10-17,6,6,22.098,WAS,CHI,True,1,0,0,,0,0.0%,0.00,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,13,10,Chris Cooley
2004,2004-10-31,7,8,22.112,WAS,GNB,False,3,2,23,11.50,0,66.7%,7.67,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,14,28,Chris Cooley
2004,2004-11-07,8,9,22.119,WAS,DET,True,1,0,0,,0,0.0%,0.00,,,,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,17,10,Chris Cooley
2004,2004-11-14,9,10,22.126,WAS,CIN,False,3,1,9,9.00,1,33.3%,3.00,0,0,,0,,1,6,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,False,False,10,17,Chris Cooley
2004,2004-11-21,10,11,22.133,WAS,PHI,True,3,2,22,11.00,0,66.7%,7.33,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,6,28,Chris Cooley
2004,2004-11-28,11,12,22.140,WAS,PIT,True,10,7,31,4.43,1,70.0%,3.10,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,7,16,Chris Cooley
2004,2004-12-05,12,13,22.147,WAS,NYG,True,3,3,21,7.00,1,100.0%,7.00,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,31,7,Chris Cooley
2004,2004-12-12,13,14,22.154,WAS,PHI,False,9,5,75,15.00,0,55.6%,8.33,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,14,17,Chris Cooley
2004,2004-12-18,14,15,22.160,WAS,SFO,False,3,3,21,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,26,16,Chris Cooley
2004,2004-12-26,15,16,22.168,WAS,DAL,True,5,3,24,8.00,0,60.0%,4.80,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,10,13,Chris Cooley
2004,2005-01-02,16,17,22.175,WAS,MIN,False,5,3,24,8.00,1,60.0%,4.80,0,0,,0,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,21,18,Chris Cooley
2005,2005-09-11,1,1,23.062,WAS,CHI,True,6,3,34,11.33,0,50.0%,5.67,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,9,7,Chris Cooley
2005,2005-09-19,2,2,23.070,WAS,DAL,True,3,2,20,10.00,0,66.7%,6.67,0,0,,0,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,True,True,14,13,Chris Cooley
2005,2005-10-02,3,4,23.083,WAS,SEA,True,6,4,61,15.25,0,66.7%,10.17,0,0,,0,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,20,17,Chris Cooley
