Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2010,2010-11-28,11,12,,BUF,PIT,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,16,19,C.J. Spiller
2010,2010-12-05,12,13,23.122,BUF,MIN,False,7,35,5.00,0,2,2,1,0.50,0,100.0%,0.50,3,54,18.00,0,2,12,6.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,14,38,C.J. Spiller
2010,2010-12-12,13,14,23.129,BUF,CLE,False,8,33,4.13,0,0,0,0,,0,0.0%,,1,18,18.00,0,3,41,13.67,0,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,False,True,13,6,C.J. Spiller
2010,2010-12-19,14,15,23.136,BUF,MIA,False,9,16,1.78,0,2,2,21,10.50,0,100.0%,10.50,1,14,14.00,0,1,34,34.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,17,14,C.J. Spiller
2010,2010-12-26,15,16,23.143,BUF,NWE,False,6,30,5.00,0,3,2,54,27.00,0,66.7%,18.00,5,84,16.80,0,1,0,0.00,0,0,0,0.0,1,0,1,0,0,2,2,0,0,0,0,,,,,,,False,False,3,34,C.J. Spiller
2010,2011-01-02,16,17,23.150,BUF,NYJ,False,3,5,1.67,0,0,0,0,,0,0.0%,,4,81,20.25,0,2,44,22.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,7,38,C.J. Spiller
2011,2011-09-11,1,1,24.037,BUF,KAN,False,5,16,3.20,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,True,41,7,C.J. Spiller
2011,2011-09-18,2,2,24.044,BUF,OAK,False,4,63,15.75,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,38,35,C.J. Spiller
2011,2011-09-25,3,3,24.051,BUF,NWE,True,1,3,3.00,0,1,1,-7,-7.00,0,100.0%,-7.00,1,16,16.00,0,2,20,10.00,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,34,31,C.J. Spiller
2011,2011-10-02,4,4,24.058,BUF,CIN,True,3,12,4.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,20,23,C.J. Spiller
