Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2014,2014-11-13,10,11,,BUF,MIA,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,9,22,C.J. Spiller
2014,2014-11-24,11,12,,BUF,NYJ,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,38,3,C.J. Spiller
2014,2014-11-30,12,13,,BUF,CLE,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,26,10,C.J. Spiller
2014,2014-12-07,13,14,,BUF,DEN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,17,24,C.J. Spiller
2014,2014-12-14,14,15,,BUF,GNB,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,21,13,C.J. Spiller
2014,2014-12-21,15,16,27.138,BUF,OAK,False,4,-4,-1.00,0,4,4,14,3.50,0,100.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,17,25%,0,0%,0,0%,True,False,24,26,C.J. Spiller
2014,2014-12-28,16,17,27.145,BUF,NWE,False,5,17,3.40,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,14,24%,0,0%,0,0%,True,True,17,9,C.J. Spiller
2015,2015-09-13,1,1,,NOR,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,19,31,C.J. Spiller
2015,2015-09-20,2,2,28.046,NOR,TAM,False,3,7,2.33,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,7,9%,0,0%,0,0%,False,False,19,26,C.J. Spiller
2015,2015-09-27,3,3,28.053,NOR,CAR,True,1,4,4.00,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,21%,0,0%,0,0%,True,False,22,27,C.J. Spiller
2015,2015-10-04,4,4,28.060,NOR,DAL,False,2,10,5.00,0,5,5,99,19.80,1,100.0%,19.80,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,21,29%,0,0%,0,0%,False,True,26,20,C.J. Spiller
2015,2015-10-11,5,5,28.067,NOR,PHI,True,3,10,3.33,0,4,3,-8,-2.67,0,75.0%,-2.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,19,28%,0,0%,0,0%,True,False,17,39,C.J. Spiller
2015,2015-10-15,6,6,28.071,NOR,ATL,False,3,10,3.33,0,5,4,17,4.25,0,80.0%,3.40,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,16,22%,0,0%,1,4%,False,True,31,21,C.J. Spiller
2015,2015-10-25,7,7,28.081,NOR,IND,False,4,16,4.00,0,6,6,32,5.33,0,100.0%,5.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,20,23%,0,0%,0,0%,True,True,27,21,C.J. Spiller
2015,2015-11-01,8,8,28.088,NOR,NYG,False,4,21,5.25,0,4,2,15,7.50,1,50.0%,3.75,0,0,,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,20,26%,0,0%,0,0%,False,True,52,49,C.J. Spiller
2015,2015-11-08,9,9,28.095,NOR,TEN,False,2,8,4.00,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,6,8%,0,0%,0,0%,False,False,28,34,C.J. Spiller
2015,2015-11-15,10,10,28.102,NOR,WAS,False,8,24,3.00,0,2,2,10,5.00,0,100.0%,5.00,3,59,19.67,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,18,32%,0,0%,9,31%,True,False,14,47,C.J. Spiller
2015,2015-11-29,11,12,28.116,NOR,HOU,False,1,-2,-2.00,0,3,2,8,4.00,0,66.7%,2.67,2,40,20.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,21%,0,0%,5,21%,True,False,6,24,C.J. Spiller
2015,2015-12-06,12,13,28.123,NOR,CAR,False,0,0,,0,2,1,0,0.00,0,50.0%,0.00,1,26,26.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,5,8%,0,0%,7,22%,False,False,38,41,C.J. Spiller
2015,2015-12-13,13,14,28.130,NOR,TAM,False,3,2,0.67,0,3,3,7,2.33,0,100.0%,2.33,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,15,18%,0,0%,2,8%,True,True,24,17,C.J. Spiller
2015,2015-12-21,14,15,28.138,NOR,DET,False,2,2,1.00,0,5,2,16,8.00,0,40.0%,3.20,1,24,24.00,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,26,34%,0,0%,5,17%,False,False,27,35,C.J. Spiller
2015,2015-12-27,15,16,,NOR,JAX,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,True,38,27,C.J. Spiller
2015,2016-01-03,16,17,,NOR,ATL,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,True,20,17,C.J. Spiller
2016,2016-09-11,1,1,,NOR,OAK,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,False,False,34,35,C.J. Spiller
2016,2016-10-02,4,4,29.058,SEA,NYJ,False,2,12,6.00,0,3,2,5,2.50,1,66.7%,1.67,1,22,22.00,0,0,0,,0,1,6,0.0,0,0,0,,,0,0,0,0,0,0,9,15%,0,0%,3,11%,True,True,27,17,C.J. Spiller
2016,2016-10-16,5,6,29.072,SEA,ATL,False,1,-3,-3.00,0,6,3,38,12.67,0,50.0%,6.33,1,24,24.00,0,0,0,,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,15,23%,0,0%,2,7%,False,True,26,24,C.J. Spiller
2016,2016-10-23,6,7,,SEA,ARI,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,6,6,C.J. Spiller
2016,2016-11-06,9,9,29.093,NYJ,MIA,False,0,0,,0,0,0,0,,0,0.0%,,2,37,18.50,0,0,0,,0,0,0,0.0,1,0,1,0,0,0,0,1,0,0,0,3,5%,0,0%,10,31%,True,False,23,27,C.J. Spiller
2016,2016-11-13,10,10,29.100,NYJ,LAR,False,1,4,4.00,0,1,0,0,,0,0.0%,0.00,3,59,19.67,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,8,13%,0,0%,4,16%,False,False,6,9,C.J. Spiller
2016,2016-11-27,11,12,29.114,NYJ,NWE,False,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,18%,0,0%,0,0%,False,False,17,22,C.J. Spiller
2016,2016-12-05,12,13,29.122,NYJ,IND,False,2,5,2.50,0,2,1,7,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,10,19%,0,0%,1,4%,False,False,10,41,C.J. Spiller
2017,2017-10-19,7,7,30.075,KAN,OAK,False,2,0,0.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,0,0,0,,,0,0,0,0,0,0,12,19%,0,0%,5,16%,True,False,30,31,C.J. Spiller
,90 Games,,,,,,False,712,3451,4.85,12,263,198,1484,7.49,9,75.3%,5.64,74,1754,23.70,2,27,302,11.19,0,23,138,0.0,2,0,2,0,0,19,8,1,6,0,0,,,,,,,False,False,57,0,C.J. Spiller
