Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Passing_Cmp,Passing_Att,Passing_Cmp%,Passing_Yds,Passing_TD,Passing_Int,Passing_Rate,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_AY/A,Scoring_XPM,Scoring_XPA,Scoring_XP%,Scoring_FGM,Scoring_FGA,Scoring_FG%,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Player
2012,2012-09-10,1,1,22.294,BAL,,CIN,W 44-13,False,0,0,,0,0,0,,0,0,,,5,5,100.0,3,3,100.0,0,14,0.0,0,0,0,,,0,0%,0,0%,17,57%,False,Justin Tucker
2012,2012-09-16,2,2,22.300,BAL,@,PHI,L 23-24,False,0,0,,0,0,0,,0,0,,,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,,,0,0%,0,0%,11,35%,True,Justin Tucker
2012,2012-09-23,3,3,22.307,BAL,,NWE,W 31-30,False,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,10,32%,False,Justin Tucker
2012,2012-09-27,4,4,22.311,BAL,,CLE,W 23-16,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,10,30%,False,Justin Tucker
2012,2012-10-07,5,5,22.321,BAL,@,KAN,W 9-6,False,0,0,,0,0,0,,0,0,,,,,,3,3,100.0,0,9,0.0,1,0,1,0,0,0,0%,0,0%,7,32%,True,Justin Tucker
2012,2012-10-14,6,6,22.328,BAL,,DAL,W 31-29,False,0,0,,0,0,0,,0,0,,,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,11,39%,False,Justin Tucker
2012,2012-10-21,7,7,22.335,BAL,@,HOU,L 13-43,False,0,0,,0,0,0,,0,0,,,1,1,100.0,2,2,100.0,0,7,0.0,0,0,0,,,0,0%,0,0%,7,21%,True,Justin Tucker
2012,2012-11-04,8,9,22.349,BAL,@,CLE,W 25-15,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,8,27%,True,Justin Tucker
2012,2012-11-11,9,10,22.356,BAL,,OAK,W 55-20,False,0,0,,0,0,0,,0,0,,,7,7,100.0,2,2,100.0,0,13,0.0,0,0,0,,,0,0%,0,0%,20,53%,False,Justin Tucker
2012,2012-11-18,10,11,22.363,BAL,@,PIT,W 13-10,False,0,0,,0,0,0,,0,0,,,1,1,100.0,2,3,66.7,0,7,0.0,0,0,0,,,0,0%,0,0%,8,28%,True,Justin Tucker
2012,2012-11-25,11,12,23.004,BAL,@,SDG,W 16-13,False,0,0,,0,0,0,,0,0,,,1,1,100.0,3,3,100.0,0,10,0.0,0,0,0,,,0,0%,0,0%,8,25%,True,Justin Tucker
2012,2012-12-02,12,13,23.011,BAL,,PIT,L 20-23,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,32%,False,Justin Tucker
2012,2012-12-09,13,14,23.018,BAL,@,WAS,L 28-31,False,0,0,,0,0,0,,0,0,,,4,4,100.0,,,,0,4,0.0,0,0,0,,,0,0%,0,0%,9,28%,True,Justin Tucker
2012,2012-12-16,14,15,23.025,BAL,,DEN,L 17-34,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,19%,False,Justin Tucker
2012,2012-12-23,15,16,23.032,BAL,,NYG,W 33-14,False,0,0,,0,0,0,,0,0,,,3,3,100.0,4,4,100.0,0,15,0.0,0,0,0,,,0,0%,0,0%,15,50%,False,Justin Tucker
2012,2012-12-30,16,17,23.039,BAL,@,CIN,L 17-23,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,2,50.0,0,5,0.0,0,0,0,,,0,0%,0,0%,8,24%,True,Justin Tucker
2013,2013-09-05,1,1,23.288,BAL,@,DEN,L 27-49,False,0,0,,0,0,0,,0,0,,,3,3,100.0,2,2,100.0,0,9,0.0,0,0,0,,,0,0%,0,0%,11,26%,True,Justin Tucker
2013,2013-09-15,2,2,23.298,BAL,,CLE,W 14-6,False,0,0,,0,0,0,,0,0,,,2,2,100.0,,2,0.0,0,2,0.0,0,0,0,,,0,0%,0,0%,7,27%,False,Justin Tucker
2013,2013-09-22,3,3,23.305,BAL,,HOU,W 30-9,False,0,0,,0,0,0,,0,0,,,3,3,100.0,3,3,100.0,0,12,0.0,0,0,0,,,0,0%,0,0%,13,46%,False,Justin Tucker
2013,2013-09-29,4,4,23.312,BAL,@,BUF,L 20-23,False,0,0,,0,0,0,,0,0,,,2,2,100.0,2,2,100.0,0,8,0.0,0,0,0,,,0,0%,0,0%,9,26%,True,Justin Tucker
2013,2013-10-06,5,5,23.319,BAL,@,MIA,W 26-23,False,0,0,,0,0,0,,0,0,,,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,,,0,0%,0,0%,13,34%,True,Justin Tucker
2013,2013-10-13,6,6,23.326,BAL,,GNB,L 17-19,False,0,0,,0,0,0,,0,0,,,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,,,0,0%,0,0%,7,21%,False,Justin Tucker
