Year,Date,G#,Week,Age,Tm,Opp,GS,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2003,2003-09-07,1,1,,SDG,KAN,True,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,True,False,14,27,Antonio Gates
2003,2003-09-14,2,2,23.088,SDG,DEN,False,0,,,,,0.0%,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,13,37,Antonio Gates
2003,2003-09-21,3,3,23.095,SDG,BAL,False,0,,,,,0.0%,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,10,24,Antonio Gates
2003,2003-09-28,4,4,23.102,SDG,OAK,False,2,2,30,15.00,0,100.0%,15.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,31,34,Antonio Gates
2003,2003-10-05,5,5,23.109,SDG,JAX,True,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,1,0,1,0,,1,1,0,0,0,0,,,,,,,True,False,21,27,Antonio Gates
2003,2003-10-19,6,7,23.123,SDG,CLE,True,2,0,0,,0,0.0%,0.00,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,True,True,26,20,Antonio Gates
2003,2003-10-27,7,8,23.131,SDG,MIA,False,,,,,,0.0%,,,0,0,0.0,,,,,,0,,,0,0,0,,,,,,,False,False,10,26,Antonio Gates
2003,2003-11-02,8,9,23.137,SDG,CHI,True,0,,,,,0.0%,,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,True,False,7,20,Antonio Gates
2003,2003-11-09,9,10,23.144,SDG,MIN,True,4,3,55,18.33,1,75.0%,13.75,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,42,28,Antonio Gates
2003,2003-11-16,10,11,23.151,SDG,DEN,True,1,0,0,,0,0.0%,0.00,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,True,False,8,37,Antonio Gates
2003,2003-11-23,11,12,23.158,SDG,CIN,True,2,1,12,12.00,0,50.0%,6.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,27,34,Antonio Gates
2003,2003-11-30,12,13,23.165,SDG,KAN,True,5,3,49,16.33,1,60.0%,9.80,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,24,28,Antonio Gates
2003,2003-12-07,13,14,23.172,SDG,DET,True,3,2,18,9.00,0,66.7%,6.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,14,7,Antonio Gates
2003,2003-12-14,14,15,23.179,SDG,GNB,True,11,5,117,23.40,0,45.5%,10.64,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,False,21,38,Antonio Gates
2003,2003-12-21,15,16,23.186,SDG,PIT,True,8,5,64,12.80,0,62.5%,8.00,,0,0,0.0,1,0,1,0,,0,,0,0,0,0,,,,,,,True,False,24,40,Antonio Gates
2003,2003-12-28,16,17,23.193,SDG,OAK,True,3,2,36,18.00,0,66.7%,12.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,21,14,Antonio Gates
2004,2004-09-12,1,1,24.086,SDG,HOU,True,8,8,123,15.38,0,100.0%,15.38,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,27,20,Antonio Gates
2004,2004-09-19,2,2,24.093,SDG,NYJ,True,10,4,39,9.75,0,40.0%,3.90,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,,,,,,False,False,28,34,Antonio Gates
2004,2004-09-26,3,3,24.100,SDG,DEN,True,5,4,30,7.50,0,80.0%,6.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,23,Antonio Gates
2004,2004-10-03,4,4,24.107,SDG,TEN,True,9,7,57,8.14,1,77.8%,6.33,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,38,17,Antonio Gates
2004,2004-10-10,5,5,24.114,SDG,JAX,True,11,8,93,11.63,2,72.7%,8.45,,2,12,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,34,21,Antonio Gates
2004,2004-10-17,6,6,24.121,SDG,ATL,True,8,6,80,13.33,0,75.0%,10.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,20,21,Antonio Gates
2004,2004-10-24,7,7,24.128,SDG,CAR,True,8,7,61,8.71,0,87.5%,7.63,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,17,6,Antonio Gates
2004,2004-10-31,8,8,24.135,SDG,OAK,True,5,5,63,12.60,2,100.0%,12.60,,2,12,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,42,14,Antonio Gates
2004,2004-11-07,9,9,24.142,SDG,NOR,True,9,5,56,11.20,3,55.6%,6.22,,3,18,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,43,17,Antonio Gates
2004,2004-11-21,10,11,24.156,SDG,OAK,True,9,8,101,12.63,1,88.9%,11.22,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,23,17,Antonio Gates
