Year,Date,G#,Week,Age,Tm,Opp,GS,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_Y/R,Receiving_TD,Receiving_Ctch%,Receiving_Y/Tgt,Scoring_2PM,Scoring_TD,Scoring_Pts,Sk,Tackles_Solo,Tackles_Ast,Tackles_Comb,Tackles_TFL,Tackles_QBHits,Fumbles_Fmb,Fumbles_FL,Fumbles_FF,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Off. Snaps_Num,Off. Snaps_Pct,Def. Snaps_Num,Def. Snaps_Pct,ST Snaps_Num,ST Snaps_Pct,Away_status,Win,Score,Opp Score,Player
2006,2006-09-24,3,3,,CHI,MIN,True,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,True,True,19,16,Cedric Benson
2006,2006-10-01,4,4,23.277,CHI,SEA,False,11,37,3.36,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,37,6,Cedric Benson
2006,2006-10-08,5,5,23.284,CHI,BUF,False,14,48,3.43,2,2,2,14,7.00,0,100.0%,7.00,,2,12,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,40,7,Cedric Benson
2006,2006-10-16,6,6,23.292,CHI,ARI,False,1,4,4.00,0,1,1,8,8.00,0,100.0%,8.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,24,23,Cedric Benson
2006,2006-10-29,7,8,23.305,CHI,SFO,False,8,26,3.25,1,1,1,3,3.00,0,100.0%,3.00,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,41,10,Cedric Benson
2006,2006-11-05,8,9,23.312,CHI,MIA,False,8,34,4.25,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,13,31,Cedric Benson
2006,2006-11-12,9,10,23.319,CHI,NYG,False,6,7,1.17,0,1,1,-1,-1.00,0,100.0%,-1.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,38,20,Cedric Benson
2006,2006-11-19,10,11,23.326,CHI,NYJ,False,10,51,5.10,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,10,0,Cedric Benson
2006,2006-11-26,11,12,23.333,CHI,NWE,False,10,46,4.60,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,13,17,Cedric Benson
2006,2006-12-03,12,13,23.340,CHI,MIN,False,9,60,6.67,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,23,13,Cedric Benson
2006,2006-12-11,13,14,23.348,CHI,STL,False,16,64,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,42,27,Cedric Benson
2006,2006-12-17,14,15,23.354,CHI,TAM,False,15,53,3.53,1,1,0,0,,0,0.0%,0.00,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,34,31,Cedric Benson
2006,2006-12-24,15,16,23.361,CHI,DET,False,15,49,3.27,0,2,2,8,4.00,0,100.0%,4.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,26,21,Cedric Benson
2006,2006-12-31,16,17,24.003,CHI,GNB,False,13,109,8.38,0,1,1,22,22.00,0,100.0%,22.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,7,26,Cedric Benson
2007,2007-09-09,1,1,24.255,CHI,SDG,True,19,42,2.21,0,2,1,11,11.00,0,50.0%,5.50,,0,0,0.0,,,,,,1,1,0,0,0,0,,,,,,,True,False,3,14,Cedric Benson
2007,2007-09-16,2,2,24.262,CHI,KAN,True,24,101,4.21,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,20,10,Cedric Benson
2007,2007-09-23,3,3,24.269,CHI,DAL,True,16,46,2.88,1,1,1,8,8.00,0,100.0%,8.00,,1,6,0.0,,,,,,1,1,0,0,0,0,,,,,,,False,False,10,34,Cedric Benson
2007,2007-09-30,4,4,24.276,CHI,DET,True,15,50,3.33,0,7,5,24,4.80,0,71.4%,3.43,,0,0,0.0,,,,,,1,0,0,0,0,0,,,,,,,True,False,27,37,Cedric Benson
2007,2007-10-07,5,5,24.283,CHI,GNB,True,27,64,2.37,1,2,1,5,5.00,0,50.0%,2.50,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,27,20,Cedric Benson
2007,2007-10-14,6,6,24.290,CHI,MIN,True,18,67,3.72,0,5,2,18,9.00,0,40.0%,3.60,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,False,31,34,Cedric Benson
2007,2007-10-21,7,7,24.297,CHI,PHI,True,17,46,2.71,0,1,1,19,19.00,0,100.0%,19.00,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,True,True,19,16,Cedric Benson
2007,2007-10-28,8,8,24.304,CHI,DET,True,13,50,3.85,0,4,2,10,5.00,0,50.0%,2.50,,0,0,0.0,,,,,,0,,0,1,0,0,,,,,,,False,False,7,16,Cedric Benson
2007,2007-11-11,9,10,24.318,CHI,OAK,True,28,72,2.57,1,2,2,21,10.50,0,100.0%,10.50,,1,6,0.0,,,,,,0,,0,1,0,0,,,,,,,True,True,17,6,Cedric Benson
2007,2007-11-18,10,11,24.325,CHI,SEA,True,11,89,8.09,1,2,1,-2,-2.00,0,50.0%,-1.00,,1,6,0.0,,,,,,0,,0,0,0,0,,,,,,,True,False,23,30,Cedric Benson
2007,2007-11-25,11,12,24.332,CHI,DEN,True,8,47,5.88,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,,,,,,False,True,37,34,Cedric Benson
2007,2007-12-02,12,13,,CHI,NYG,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,False,16,21,Cedric Benson
2007,2007-12-06,13,14,,CHI,WAS,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,16,24,Cedric Benson
2007,2007-12-17,14,15,,CHI,MIN,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,True,False,13,20,Cedric Benson
2007,2007-12-23,15,16,,CHI,GNB,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,35,7,Cedric Benson
2007,2007-12-30,16,17,,CHI,NOR,True,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,False,True,33,25,Cedric Benson
2008,2008-10-05,5,5,25.282,CIN,DAL,False,10,30,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,22,31,Cedric Benson
2008,2008-10-12,6,6,25.289,CIN,NYJ,False,4,6,1.50,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0,0,0,0,0,,0,0,0,0,,,,,,,True,False,14,26,Cedric Benson
2008,2008-10-19,7,7,25.296,CIN,PIT,True,14,52,3.71,0,2,1,10,10.00,0,50.0%,5.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,10,38,Cedric Benson
2008,2008-10-26,8,8,25.303,CIN,HOU,True,13,49,3.77,0,2,2,20,10.00,0,100.0%,10.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,6,35,Cedric Benson
2008,2008-11-02,9,9,25.310,CIN,JAX,True,24,104,4.33,1,2,1,5,5.00,0,50.0%,2.50,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,21,19,Cedric Benson
2008,2008-11-16,10,11,25.324,CIN,PHI,True,23,42,1.83,0,6,6,37,6.17,0,100.0%,6.17,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,13,13,Cedric Benson
2008,2008-11-20,11,12,25.328,CIN,PIT,True,16,35,2.19,0,2,1,4,4.00,0,50.0%,2.00,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,10,27,Cedric Benson
2008,2008-11-30,12,13,25.338,CIN,BAL,True,10,17,1.70,0,2,2,1,0.50,0,100.0%,0.50,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,3,34,Cedric Benson
2008,2008-12-07,13,14,25.345,CIN,IND,True,16,57,3.56,0,2,2,1,0.50,0,100.0%,0.50,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,True,False,3,35,Cedric Benson
2008,2008-12-14,14,15,25.352,CIN,WAS,True,21,73,3.48,0,5,3,88,29.33,0,60.0%,17.60,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,20,13,Cedric Benson
2008,2008-12-21,15,16,25.359,CIN,CLE,True,38,171,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,True,True,14,0,Cedric Benson
2008,2008-12-28,16,17,26.000,CIN,KAN,True,25,111,4.44,1,2,2,19,9.50,0,100.0%,9.50,,1,6,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,False,True,16,6,Cedric Benson
2009,2009-09-13,1,1,26.259,CIN,DEN,True,21,76,3.62,1,4,4,32,8.00,0,100.0%,8.00,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,False,7,12,Cedric Benson
2009,2009-09-20,2,2,26.266,CIN,GNB,True,29,141,4.86,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,,0,1,0,0,,,,,,,True,True,31,24,Cedric Benson
2009,2009-09-27,3,3,26.273,CIN,PIT,True,16,76,4.75,1,2,1,5,5.00,0,50.0%,2.50,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,False,True,23,20,Cedric Benson
2009,2009-10-04,4,4,26.280,CIN,CLE,True,18,74,4.11,0,3,1,12,12.00,0,33.3%,4.00,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,,,,,,,True,True,23,20,Cedric Benson
